Index,Cohort,Feature ID,Feature,Category
1,UK Biobank,Android bone mass - visit 2,Android bone mass - visit 2,Body composition
2,UK Biobank,Android fat mass - visit 2,Android fat mass - visit 2,Body composition
3,UK Biobank,Android lean mass - visit 2,Android lean mass - visit 2,Body composition
4,UK Biobank,Android tissue fat percentage - visit 2,Android tissue fat percentage - visit 2,Body composition
5,UK Biobank,Android total mass - visit 2,Android total mass - visit 2,Body composition
6,UK Biobank,Appendicular lean mass - visit 2,Appendicular lean mass - visit 2,Body composition
7,UK Biobank,Arm BMC (bone mineral content) (left) - visit 2,Arm BMC (bone mineral content) (left) - visit 2,Bone mineral content (BMC)
8,UK Biobank,Arm BMC (bone mineral content) (right) - visit 2,Arm BMC (bone mineral content) (right) - visit 2,Bone mineral content (BMC)
9,UK Biobank,Arm BMD (bone mineral density) (left) - visit 2,Arm BMD (bone mineral density) (left) - visit 2,Bone mineral density (BMD)
10,UK Biobank,Arm BMD (bone mineral density) (right) - visit 2,Arm BMD (bone mineral density) (right) - visit 2,Bone mineral density (BMD)
11,UK Biobank,Arm bone area (left) - visit 2,Arm bone area (left) - visit 2,Bone area and geometry
12,UK Biobank,Arm bone area (right) - visit 2,Arm bone area (right) - visit 2,Bone area and geometry
13,UK Biobank,Arm fat mass (left) - visit 2,Arm fat mass (left) - visit 2,Body composition
14,UK Biobank,Arm fat mass (right) - visit 2,Arm fat mass (right) - visit 2,Body composition
15,UK Biobank,Arm lean mass (left) - visit 2,Arm lean mass (left) - visit 2,Body composition
16,UK Biobank,Arm lean mass (right) - visit 2,Arm lean mass (right) - visit 2,Body composition
17,UK Biobank,Arm tissue fat percentage (left) - visit 2,Arm tissue fat percentage (left) - visit 2,Body composition
18,UK Biobank,Arm tissue fat percentage (right) - visit 2,Arm tissue fat percentage (right) - visit 2,Body composition
19,UK Biobank,Arm total mass (left) - visit 2,Arm total mass (left) - visit 2,Body composition
20,UK Biobank,Arm total mass (right) - visit 2,Arm total mass (right) - visit 2,Body composition
21,UK Biobank,Arms BMC (bone mineral content) - visit 2,Arms BMC (bone mineral content) - visit 2,Bone mineral content (BMC)
22,UK Biobank,Arms BMD (bone mineral density) - visit 2,Arms BMD (bone mineral density) - visit 2,Bone mineral density (BMD)
23,UK Biobank,Arms combined bone area - visit 2,Arms combined bone area - visit 2,Bone area and geometry
24,UK Biobank,Arms fat mass - visit 2,Arms fat mass - visit 2,Body composition
25,UK Biobank,Arms lean mass - visit 2,Arms lean mass - visit 2,Body composition
26,UK Biobank,Arms tissue fat percentage - visit 2,Arms tissue fat percentage - visit 2,Body composition
27,UK Biobank,Arms total mass - visit 2,Arms total mass - visit 2,Body composition
28,UK Biobank,Femur lower neck BMD (bone mineral density) (left) - visit 2,Femur lower neck BMD (bone mineral density) (left) - visit 2,Bone mineral density (BMD)
29,UK Biobank,Femur lower neck BMD (bone mineral density) (right) - visit 2,Femur lower neck BMD (bone mineral density) (right) - visit 2,Bone mineral density (BMD)
30,UK Biobank,Femur neck BMD (bone mineral density) (left) - visit 2,Femur neck BMD (bone mineral density) (left) - visit 2,Bone mineral density (BMD)
31,UK Biobank,Femur neck BMD (bone mineral density) (right) - visit 2,Femur neck BMD (bone mineral density) (right) - visit 2,Bone mineral density (BMD)
32,UK Biobank,Femur neck BMD (bone mineral density) T-score (left) - visit 2,Femur neck BMD (bone mineral density) T-score (left) - visit 2,Bone mineral density (BMD)
33,UK Biobank,Femur neck BMD (bone mineral density) T-score (right) - visit 2,Femur neck BMD (bone mineral density) T-score (right) - visit 2,Bone mineral density (BMD)
34,UK Biobank,Femur shaft BMD (bone mineral density) (left) - visit 2,Femur shaft BMD (bone mineral density) (left) - visit 2,Bone mineral density (BMD)
35,UK Biobank,Femur shaft BMD (bone mineral density) (right) - visit 2,Femur shaft BMD (bone mineral density) (right) - visit 2,Bone mineral density (BMD)
36,UK Biobank,Femur total BMD (bone mineral density) (left) - visit 2,Femur total BMD (bone mineral density) (left) - visit 2,Bone mineral density (BMD)
37,UK Biobank,Femur total BMD (bone mineral density) (right) - visit 2,Femur total BMD (bone mineral density) (right) - visit 2,Bone mineral density (BMD)
38,UK Biobank,Femur total BMD (bone mineral density) T-score (left) - visit 2,Femur total BMD (bone mineral density) T-score (left) - visit 2,Bone mineral density (BMD)
39,UK Biobank,Femur total BMD (bone mineral density) T-score (right) - visit 2,Femur total BMD (bone mineral density) T-score (right) - visit 2,Bone mineral density (BMD)
40,UK Biobank,Femur troch BMD (bone mineral density) (left) - visit 2,Femur troch BMD (bone mineral density) (left) - visit 2,Bone mineral density (BMD)
41,UK Biobank,Femur troch BMD (bone mineral density) (right) - visit 2,Femur troch BMD (bone mineral density) (right) - visit 2,Bone mineral density (BMD)
42,UK Biobank,Femur troch BMD (bone mineral density) T-score (left) - visit 2,Femur troch BMD (bone mineral density) T-score (left) - visit 2,Bone mineral density (BMD)
43,UK Biobank,Femur troch BMD (bone mineral density) T-score (right) - visit 2,Femur troch BMD (bone mineral density) T-score (right) - visit 2,Bone mineral density (BMD)
44,UK Biobank,Femur upper neck BMD (bone mineral density) (left) - visit 2,Femur upper neck BMD (bone mineral density) (left) - visit 2,Bone mineral density (BMD)
45,UK Biobank,Femur upper neck BMD (bone mineral density) (right) - visit 2,Femur upper neck BMD (bone mineral density) (right) - visit 2,Bone mineral density (BMD)
46,UK Biobank,Femur upper neck BMD (bone mineral density) T-score (left) - visit 2,Femur upper neck BMD (bone mineral density) T-score (left) - visit 2,Bone mineral density (BMD)
47,UK Biobank,Femur upper neck BMD (bone mineral density) T-score (right) - visit 2,Femur upper neck BMD (bone mineral density) T-score (right) - visit 2,Bone mineral density (BMD)
48,UK Biobank,Femur wards BMD (bone mineral density) (left) - visit 2,Femur wards BMD (bone mineral density) (left) - visit 2,Bone mineral density (BMD)
49,UK Biobank,Femur wards BMD (bone mineral density) (right) - visit 2,Femur wards BMD (bone mineral density) (right) - visit 2,Bone mineral density (BMD)
50,UK Biobank,Femur wards BMD (bone mineral density) T-score (left) - visit 2,Femur wards BMD (bone mineral density) T-score (left) - visit 2,Bone mineral density (BMD)
51,UK Biobank,Femur wards BMD (bone mineral density) T-score (right) - visit 2,Femur wards BMD (bone mineral density) T-score (right) - visit 2,Bone mineral density (BMD)
52,UK Biobank,Gynoid bone mass - visit 2,Gynoid bone mass - visit 2,Body composition
53,UK Biobank,Gynoid fat mass - visit 2,Gynoid fat mass - visit 2,Body composition
54,UK Biobank,Gynoid lean mass - visit 2,Gynoid lean mass - visit 2,Body composition
55,UK Biobank,Gynoid tissue fat percentage - visit 2,Gynoid tissue fat percentage - visit 2,Body composition
56,UK Biobank,Gynoid total mass - visit 2,Gynoid total mass - visit 2,Body composition
57,UK Biobank,Head BMC (bone mineral content) - visit 2,Head BMC (bone mineral content) - visit 2,Bone mineral content (BMC)
58,UK Biobank,Head BMD (bone mineral density) - visit 2,Head BMD (bone mineral density) - visit 2,Bone mineral density (BMD)
59,UK Biobank,Head bone area - visit 2,Head bone area - visit 2,Bone area and geometry
60,UK Biobank,L1-L4 BMC (bone mineral content) - visit 2,L1-L4 BMC (bone mineral content) - visit 2,Bone mineral content (BMC)
61,UK Biobank,L1-L4 BMD (bone mineral density) - visit 2,L1-L4 BMD (bone mineral density) - visit 2,Bone mineral density (BMD)
62,UK Biobank,L1-L4 BMD (bone mineral density) T-score - visit 2,L1-L4 BMD (bone mineral density) T-score - visit 2,Bone mineral density (BMD)
63,UK Biobank,L1-L4 area - visit 2,L1-L4 area - visit 2,Bone area and geometry
64,UK Biobank,L1-L4 average height - visit 2,L1-L4 average height - visit 2,Bone area and geometry
65,UK Biobank,L1-L4 average width - visit 2,L1-L4 average width - visit 2,Bone area and geometry
66,UK Biobank,Leg BMC (bone mineral content) (left) - visit 2,Leg BMC (bone mineral content) (left) - visit 2,Bone mineral content (BMC)
67,UK Biobank,Leg BMC (bone mineral content) (right) - visit 2,Leg BMC (bone mineral content) (right) - visit 2,Bone mineral content (BMC)
68,UK Biobank,Leg BMD (bone mineral density) (left) - visit 2,Leg BMD (bone mineral density) (left) - visit 2,Bone mineral density (BMD)
69,UK Biobank,Leg BMD (bone mineral density) (right) - visit 2,Leg BMD (bone mineral density) (right) - visit 2,Bone mineral density (BMD)
70,UK Biobank,Leg bone area (left) - visit 2,Leg bone area (left) - visit 2,Bone area and geometry
71,UK Biobank,Leg bone area (right) - visit 2,Leg bone area (right) - visit 2,Bone area and geometry
72,UK Biobank,Leg fat mass (left) - visit 2,Leg fat mass (left) - visit 2,Body composition
73,UK Biobank,Leg fat mass (right) - visit 2,Leg fat mass (right) - visit 2,Body composition
74,UK Biobank,Leg lean mass (left) - visit 2,Leg lean mass (left) - visit 2,Body composition
75,UK Biobank,Leg lean mass (right) - visit 2,Leg lean mass (right) - visit 2,Body composition
76,UK Biobank,Leg tissue fat percentage (left) - visit 2,Leg tissue fat percentage (left) - visit 2,Body composition
77,UK Biobank,Leg tissue fat percentage (right) - visit 2,Leg tissue fat percentage (right) - visit 2,Body composition
78,UK Biobank,Leg total mass (left) - visit 2,Leg total mass (left) - visit 2,Body composition
79,UK Biobank,Leg total mass (right) - visit 2,Leg total mass (right) - visit 2,Body composition
80,UK Biobank,Legs BMC (bone mineral content) - visit 2,Legs BMC (bone mineral content) - visit 2,Bone mineral content (BMC)
81,UK Biobank,Legs BMD (bone mineral density) - visit 2,Legs BMD (bone mineral density) - visit 2,Bone mineral density (BMD)
82,UK Biobank,Legs combined bone area - visit 2,Legs combined bone area - visit 2,Bone area and geometry
83,UK Biobank,Legs fat mass - visit 2,Legs fat mass - visit 2,Body composition
84,UK Biobank,Legs lean mass - visit 2,Legs lean mass - visit 2,Body composition
85,UK Biobank,Legs tissue fat percentage - visit 2,Legs tissue fat percentage - visit 2,Body composition
86,UK Biobank,Legs total mass - visit 2,Legs total mass - visit 2,Body composition
87,UK Biobank,Pelvis BMC (bone mineral content) - visit 2,Pelvis BMC (bone mineral content) - visit 2,Bone mineral content (BMC)
88,UK Biobank,Pelvis BMD (bone mineral density) - visit 2,Pelvis BMD (bone mineral density) - visit 2,Bone mineral density (BMD)
89,UK Biobank,Pelvis bone area - visit 2,Pelvis bone area - visit 2,Bone area and geometry
90,UK Biobank,Ribs BMC (bone mineral content) - visit 2,Ribs BMC (bone mineral content) - visit 2,Bone mineral content (BMC)
91,UK Biobank,Ribs BMD (bone mineral density) - visit 2,Ribs BMD (bone mineral density) - visit 2,Bone mineral density (BMD)
92,UK Biobank,Ribs bone area - visit 2,Ribs bone area - visit 2,Bone area and geometry
93,UK Biobank,Spine BMC (bone mineral content) - visit 2,Spine BMC (bone mineral content) - visit 2,Bone mineral content (BMC)
94,UK Biobank,Spine BMD (bone mineral density) - visit 2,Spine BMD (bone mineral density) - visit 2,Bone mineral density (BMD)
95,UK Biobank,Spine bone area - visit 2,Spine bone area - visit 2,Bone area and geometry
96,UK Biobank,Total BMC (bone mineral content) - visit 2,Total BMC (bone mineral content) - visit 2,Bone mineral content (BMC)
97,UK Biobank,Total BMD (bone mineral density) (left) - visit 2,Total BMD (bone mineral density) (left) - visit 2,Bone mineral density (BMD)
98,UK Biobank,Total BMD (bone mineral density) (right) - visit 2,Total BMD (bone mineral density) (right) - visit 2,Bone mineral density (BMD)
99,UK Biobank,Total BMD (bone mineral density) - visit 2,Total BMD (bone mineral density) - visit 2,Bone mineral density (BMD)
100,UK Biobank,Total BMD (bone mineral density) T-score - visit 2,Total BMD (bone mineral density) T-score - visit 2,Bone mineral density (BMD)
101,UK Biobank,Total fat mass - visit 2,Total fat mass - visit 2,Body composition
102,UK Biobank,Total fat-free mass - visit 2,Total fat-free mass - visit 2,Body composition
103,UK Biobank,Total lean mass - visit 2,Total lean mass - visit 2,Body composition
104,UK Biobank,Total mass - visit 2,Total mass - visit 2,Body composition
105,UK Biobank,Total tissue fat percentage - visit 2,Total tissue fat percentage - visit 2,Body composition
106,UK Biobank,Total tissue mass - visit 2,Total tissue mass - visit 2,Body composition
107,UK Biobank,Trunk BMC (bone mineral content) - visit 2,Trunk BMC (bone mineral content) - visit 2,Bone mineral content (BMC)
108,UK Biobank,Trunk BMD (bone mineral density) (left) - visit 2,Trunk BMD (bone mineral density) (left) - visit 2,Bone mineral density (BMD)
109,UK Biobank,Trunk BMD (bone mineral density) (right) - visit 2,Trunk BMD (bone mineral density) (right) - visit 2,Bone mineral density (BMD)
110,UK Biobank,Trunk BMD (bone mineral density) - visit 2,Trunk BMD (bone mineral density) - visit 2,Bone mineral density (BMD)
111,UK Biobank,Trunk bone area - visit 2,Trunk bone area - visit 2,Bone area and geometry
112,UK Biobank,Trunk fat mass - visit 2,Trunk fat mass - visit 2,Body composition
113,UK Biobank,Trunk lean mass - visit 2,Trunk lean mass - visit 2,Body composition
114,UK Biobank,Trunk tissue fat percentage - visit 2,Trunk tissue fat percentage - visit 2,Body composition
115,UK Biobank,Trunk total mass - visit 2,Trunk total mass - visit 2,Body composition
