Disease,Positive scans (n),Covariates only AUROC,Covariates only s.e.m.,Covariates only seeds (n),LeDXA + covariates AUROC,LeDXA + covariates s.e.m.,LeDXA + covariates seeds (n),DINOv3 + covariates AUROC,DINOv3 + covariates s.e.m.,DINOv3 + covariates seeds (n),DXA-tabular + covariates AUROC,DXA-tabular + covariates s.e.m.,DXA-tabular + covariates seeds (n),LeDXA vs covariates only (adj. P),LeDXA vs covariates only (P),DINOv3 vs covariates only (adj. P),DINOv3 vs covariates only (P),DXA-tabular vs covariates only (adj. P),DXA-tabular vs covariates only (P),LeDXA vs DXA-tabular (adj. P),LeDXA vs DXA-tabular (P),LeDXA vs DINOv3 (adj. P),LeDXA vs DINOv3 (P)
Attention deficit hyperactivity disorder (ADHD),1835,0.579,0.005,10,0.592,0.006,10,0.582,0.005,10,0.579,0.005,10,0.007,0.002,0.518,0.322,0.532,0.432,0.018,0.004,0.027,0.006
Allergy,2246,0.59,0.005,10,0.6,0.005,10,0.598,0.005,10,0.6,0.005,10,0.009,0.004,0.155,0.084,0.009,0.002,1.0,1.0,0.478,0.375
Anal fissure,665,0.5,0.01,10,0.523,0.008,10,0.494,0.011,10,0.508,0.009,10,0.104,0.064,0.869,0.846,0.377,0.275,0.298,0.193,0.114,0.064
Anemia,523,0.667,0.006,10,0.685,0.007,10,0.674,0.007,10,0.675,0.006,10,0.007,0.002,0.056,0.027,0.009,0.002,0.022,0.006,0.018,0.002
Anxiety,390,0.627,0.012,10,0.648,0.014,10,0.639,0.015,10,0.635,0.014,10,0.009,0.004,0.056,0.027,0.255,0.131,0.173,0.084,0.202,0.131
Asthma,573,0.565,0.012,10,0.569,0.008,10,0.616,0.009,10,0.575,0.007,10,0.771,0.625,0.012,0.002,0.325,0.193,0.701,0.625,0.018,0.002
Atopic dermatitis,361,0.578,0.01,10,0.572,0.014,10,0.583,0.013,10,0.569,0.011,10,0.975,0.922,0.837,0.77,0.569,0.492,0.92,0.846,0.791,0.77
Vitamin B12 deficiency,528,0.565,0.009,10,0.592,0.007,10,0.581,0.006,10,0.581,0.009,10,0.007,0.002,0.036,0.014,0.009,0.002,0.205,0.105,0.1,0.049
Back pain,2055,0.546,0.004,10,0.579,0.005,10,0.566,0.003,10,0.574,0.006,10,0.007,0.002,0.021,0.004,0.009,0.002,0.532,0.432,0.042,0.014
Chronic sinusitis,381,0.623,0.009,10,0.617,0.011,10,0.616,0.011,10,0.614,0.012,10,1.0,1.0,0.674,0.492,0.569,0.492,0.701,0.625,0.757,0.695
Depression,390,0.614,0.011,10,0.632,0.013,10,0.647,0.01,10,0.618,0.01,10,0.012,0.006,0.036,0.014,0.624,0.557,0.22,0.131,0.202,0.131
Diabetes,133,0.56,0.022,10,0.738,0.013,10,0.679,0.019,10,0.668,0.019,10,0.007,0.002,0.012,0.002,0.009,0.002,0.033,0.01,0.067,0.027
Episodic vertigo,276,0.616,0.015,10,0.616,0.015,10,0.632,0.013,10,0.623,0.014,10,0.89,0.77,0.036,0.014,0.149,0.064,0.331,0.232,0.052,0.02
Fatty liver disease,606,0.721,0.008,10,0.774,0.007,10,0.76,0.007,10,0.745,0.005,10,0.007,0.002,0.012,0.002,0.009,0.002,0.014,0.002,0.033,0.01
Fibromyalgia,129,0.725,0.017,10,0.757,0.017,10,0.747,0.018,10,0.743,0.015,10,0.012,0.006,0.036,0.014,0.325,0.193,0.364,0.275,0.377,0.275
Folic acid deficiency,100,0.607,0.031,10,0.593,0.022,10,0.543,0.033,10,0.617,0.024,10,0.975,0.922,0.555,0.375,0.735,0.695,0.298,0.193,0.624,0.557
G6PD deficiency,114,0.581,0.012,10,0.572,0.018,10,0.594,0.018,10,0.524,0.02,10,0.771,0.625,0.674,0.492,0.149,0.064,0.22,0.131,0.569,0.492
Gallstone disease,419,0.688,0.014,10,0.714,0.012,10,0.686,0.013,10,0.692,0.014,10,0.009,0.004,0.83,0.695,0.255,0.131,0.018,0.004,0.018,0.002
Haemorrhoids,2167,0.522,0.004,10,0.524,0.004,10,0.521,0.003,10,0.521,0.004,10,1.0,1.0,0.837,0.77,1.0,1.0,1.0,1.0,0.515,0.432
Headache,254,0.628,0.013,10,0.629,0.015,10,0.631,0.013,10,0.648,0.018,10,0.674,0.492,0.869,0.846,0.183,0.084,0.039,0.014,0.478,0.375
Hearing loss,438,0.656,0.014,10,0.655,0.013,10,0.655,0.013,10,0.659,0.014,10,0.89,0.77,0.797,0.625,0.377,0.275,0.331,0.232,1.0,1.0
Heart valve disease,156,0.546,0.015,10,0.529,0.014,10,0.489,0.015,10,0.514,0.011,10,0.736,0.557,0.045,0.02,0.03,0.01,0.532,0.432,0.052,0.02
Hyperlipidemia,2289,0.701,0.005,10,0.735,0.005,10,0.721,0.005,10,0.727,0.005,10,0.007,0.002,0.012,0.002,0.009,0.002,0.039,0.014,0.018,0.002
Hypertension,1095,0.776,0.007,10,0.801,0.006,10,0.796,0.006,10,0.787,0.006,10,0.007,0.002,0.012,0.002,0.02,0.006,0.014,0.002,0.021,0.004
Hyperthyroidism,149,0.607,0.026,10,0.622,0.026,10,0.603,0.024,10,0.603,0.027,10,0.062,0.037,0.837,0.77,0.296,0.16,0.022,0.006,0.1,0.049
Hypothyroidism,696,0.67,0.006,10,0.666,0.007,10,0.659,0.007,10,0.674,0.006,10,0.237,0.16,0.095,0.049,0.374,0.232,0.113,0.049,0.114,0.064
Irritable bowel syndrome (IBS),407,0.634,0.007,10,0.643,0.007,10,0.637,0.007,10,0.643,0.008,10,0.331,0.232,0.922,0.922,0.056,0.02,0.975,0.922,0.125,0.074
Insomnia,173,0.505,0.014,10,0.522,0.014,10,0.554,0.019,10,0.558,0.017,10,0.237,0.16,0.045,0.02,0.016,0.004,0.092,0.037,0.114,0.064
Ischemic heart disease,123,0.751,0.013,10,0.752,0.015,10,0.743,0.01,10,0.756,0.015,10,0.948,0.846,0.555,0.375,0.496,0.375,0.664,0.557,0.515,0.432
Migraine,623,0.658,0.007,10,0.675,0.006,10,0.661,0.006,10,0.665,0.008,10,0.009,0.004,0.736,0.557,0.098,0.037,0.173,0.084,0.033,0.01
Osteoarthritis,303,0.738,0.013,10,0.76,0.012,10,0.743,0.011,10,0.734,0.012,10,0.009,0.004,0.518,0.322,0.377,0.275,0.014,0.002,0.021,0.004
Gastroduodenal ulcer,207,0.614,0.016,10,0.602,0.018,10,0.602,0.016,10,0.609,0.015,10,0.018,0.01,0.186,0.105,0.869,0.846,0.364,0.275,0.791,0.77
Peptic ulcer disease,1132,0.55,0.011,10,0.561,0.01,10,0.552,0.007,10,0.553,0.01,10,0.034,0.02,0.83,0.695,0.532,0.432,0.018,0.004,0.237,0.16
Prediabetes,832,0.68,0.008,10,0.722,0.007,10,0.712,0.006,10,0.715,0.007,10,0.007,0.002,0.012,0.002,0.009,0.002,0.22,0.131,0.033,0.01
