Condition (ICD-10),Cases (n),Cohort size (n),Prevalence (%),Covariates only AUROC,Covariates only s.e.m.,Covariates only seeds (n),Covariates only AUPRC,Covariates only AUPRC s.e.m.,LeDXA + covariates AUROC,LeDXA + covariates s.e.m.,LeDXA + covariates seeds (n),LeDXA + covariates AUPRC,LeDXA + covariates AUPRC s.e.m.,DINOv3 + covariates AUROC,DINOv3 + covariates s.e.m.,DINOv3 + covariates seeds (n),DINOv3 + covariates AUPRC,DINOv3 + covariates AUPRC s.e.m.,DXA-tabular + covariates AUROC,DXA-tabular + covariates s.e.m.,DXA-tabular + covariates seeds (n),DXA-tabular + covariates AUPRC,DXA-tabular + covariates AUPRC s.e.m.,LeDXA vs covariates only (P),LeDXA vs covariates only (adj. P),DINOv3 vs covariates only (P),DINOv3 vs covariates only (adj. P),DXA-tabular vs covariates only (P),DXA-tabular vs covariates only (adj. P),LeDXA vs DXA-tabular (P),LeDXA vs DXA-tabular (adj. P),LeDXA vs DINOv3 (P),LeDXA vs DINOv3 (adj. P)
Anemia,1740,25945,6.71,0.618,0.004,10,0.106,0.002,0.651,0.004,10,0.114,0.002,0.636,0.005,10,0.108,0.002,0.634,0.004,10,0.104,0.002,0.002,0.004,0.002,0.004,0.002,0.004,0.002,0.009,0.002,0.016
Anxiety,1705,25945,6.57,0.587,0.006,10,0.093,0.003,0.622,0.003,10,0.107,0.002,0.615,0.004,10,0.098,0.002,0.596,0.005,10,0.096,0.003,0.002,0.004,0.002,0.004,0.014,0.021,0.002,0.009,0.064,0.095
Asthma,3544,25945,13.66,0.551,0.004,10,0.164,0.002,0.619,0.004,10,0.211,0.003,0.619,0.003,10,0.218,0.003,0.587,0.003,10,0.18,0.002,0.002,0.004,0.002,0.004,0.002,0.004,0.002,0.009,0.375,0.42
Atrial fibrillation,942,25945,3.63,0.713,0.006,10,0.088,0.004,0.725,0.005,10,0.105,0.004,0.717,0.007,10,0.104,0.005,0.72,0.006,10,0.096,0.004,0.002,0.004,0.131,0.174,0.02,0.029,0.105,0.246,0.049,0.091
Back pain,4744,25945,18.29,0.541,0.003,10,0.203,0.002,0.588,0.003,10,0.236,0.002,0.59,0.004,10,0.238,0.003,0.592,0.004,10,0.237,0.003,0.002,0.004,0.002,0.004,0.002,0.004,0.492,0.626,0.322,0.376
Celiac,401,25945,1.55,0.568,0.008,10,0.019,0.001,0.63,0.005,10,0.025,0.001,0.659,0.007,10,0.03,0.001,0.611,0.005,10,0.026,0.002,0.002,0.004,0.002,0.004,0.002,0.004,0.014,0.043,0.004,0.016
Copd,500,25945,1.93,0.658,0.009,10,0.04,0.002,0.761,0.007,10,0.101,0.005,0.765,0.007,10,0.107,0.006,0.73,0.007,10,0.074,0.003,0.002,0.004,0.002,0.004,0.002,0.004,0.002,0.009,0.557,0.557
Depression,2818,25945,10.86,0.611,0.004,10,0.164,0.003,0.622,0.003,10,0.169,0.002,0.624,0.002,10,0.165,0.002,0.618,0.003,10,0.167,0.002,0.004,0.006,0.002,0.004,0.002,0.004,0.16,0.345,0.492,0.51
Diabetes,1138,25945,4.39,0.726,0.004,10,0.117,0.004,0.84,0.003,10,0.27,0.006,0.836,0.003,10,0.259,0.005,0.83,0.003,10,0.256,0.006,0.002,0.004,0.002,0.004,0.002,0.004,0.004,0.014,0.064,0.095
Endometriosis,547,25945,2.11,0.792,0.003,10,0.055,0.001,0.802,0.002,10,0.062,0.002,0.784,0.003,10,0.057,0.002,0.802,0.002,10,0.062,0.001,0.014,0.02,0.037,0.065,0.01,0.017,0.492,0.626,0.004,0.016
