Organ system,Diagnosis,Positive scans (n),Individually analysed (Supplementary Table 2),Organ-system positive scans (n),System evaluated in Extended Data Fig. 3,Note
Cardiovascular,Hypertension,1095,Yes,1463,Yes,—
Cardiovascular,Heart valve disease,156,Yes,1463,Yes,—
Cardiovascular,Ischemic heart disease,123,Yes,1463,Yes,—
Cardiovascular,Erectile dysfunction,56,No,1463,Yes,—
Cardiovascular,Loss of consciousness,34,No,1463,Yes,—
Cardiovascular,Atrial fibrillation,33,No,1463,Yes,—
Cardiovascular,Atherosclerotic disease,32,No,1463,Yes,—
Cardiovascular,AV. conduction disorder,21,No,1463,Yes,—
Cardiovascular,Myocarditis,18,No,1463,Yes,—
Cardiovascular,Stroke,7,No,1463,Yes,—
Cardiovascular,Heart failure,6,No,1463,Yes,—
Cardiovascular,Pulmonary embolism,5,No,1463,Yes,—
Cardiovascular,Aortic aneurysm,4,No,1463,Yes,—
Dermatology,Allergy,2246,Yes,1676,Yes,"Also grouped under Immunology in the source mapping. Assigned here to the primary system used by the analysis; the count is the union across both systems, which is the endpoint actually modelled, and therefore exceeds this system's own total."
Dermatology,Atopic dermatitis,361,Yes,1676,Yes,—
Dermatology,Psoriasis,291,Yes,1676,Yes,—
Dermatology,Vitiligo,66,No,1676,Yes,—
Dermatology,Skin rash,56,No,1676,Yes,—
Dermatology,Haemangioma,12,No,1676,Yes,—
ENT,Hearing loss,438,Yes,1058,Yes,—
ENT,Chronic sinusitis,381,Yes,1058,Yes,—
ENT,Episodic vertigo,276,Yes,1058,Yes,—
ENT,Tinnitus,18,No,1058,Yes,—
ENT,Vertigo,7,No,1058,Yes,—
Endocrinology,Hypothyroidism,696,Yes,1242,Yes,—
Endocrinology,Osteopenia,330,No,1242,Yes,—
Endocrinology,Osteoporosis,174,No,1242,Yes,—
Endocrinology,Hyperthyroidism,149,Yes,1242,Yes,—
Endocrinology,Hashimoto,71,No,1242,Yes,—
Endocrinology,Goiter,34,No,1242,Yes,—
