Endpoint,Category,Participants (n),Events (n),Median follow-up (yr),LeDXA + covariates C-index,LeDXA + covariates s.e.m.,DINOv3 + covariates C-index,DINOv3 + covariates s.e.m.,DXA-tabular + covariates C-index,DXA-tabular + covariates s.e.m.,Covariates only C-index,Covariates only s.e.m.,LeDXA vs DINOv3 (P),LeDXA vs DINOv3 (adj. P),LeDXA vs DXA-tabular (P),LeDXA vs DXA-tabular (adj. P),LeDXA vs covariates only (P),LeDXA vs covariates only (adj. P),Significant vs DXA-tabular
Osteoporosis,Musculoskeletal,25068,159,4.32,0.789,0.011,0.781,0.014,0.792,0.011,0.755,0.012,0.275,0.482,0.695,0.73,0.004,0.014,No
Hip Arthrosis,Musculoskeletal,25784,288,4.31,0.758,0.008,0.673,0.01,0.633,0.014,0.62,0.013,0.002,0.021,0.002,0.01,0.002,0.008,Yes
Knee Arthrosis,Musculoskeletal,24634,285,4.32,0.744,0.006,0.716,0.006,0.677,0.005,0.671,0.004,0.002,0.021,0.002,0.01,0.002,0.008,Yes
Spondylopathy,Musculoskeletal,25355,113,4.32,0.699,0.015,0.7,0.015,0.682,0.019,0.694,0.015,0.695,0.851,0.037,0.06,0.16,0.21,No
Arthrosis,Musculoskeletal,22481,422,4.3,0.659,0.013,0.651,0.014,0.65,0.013,0.644,0.012,0.037,0.156,0.006,0.021,0.002,0.008,Yes
Intervertebral Disk Disease,Musculoskeletal,24551,134,4.31,0.592,0.02,0.599,0.021,0.59,0.022,0.59,0.021,0.131,0.305,1.0,1.0,1.0,1.0,No
Type 2 Diabetes,Metabolic,24853,252,4.31,0.753,0.007,0.752,0.01,0.721,0.008,0.722,0.008,0.922,0.922,0.002,0.01,0.002,0.008,Yes
Hypothyroidism,Metabolic,24263,117,4.32,0.645,0.015,0.641,0.014,0.639,0.015,0.64,0.015,0.77,0.851,0.02,0.041,0.037,0.065,Yes
Heart Failure,Cardiovascular,25762,184,4.32,0.766,0.007,0.769,0.008,0.763,0.008,0.765,0.008,0.432,0.647,0.375,0.463,0.695,0.73,No
Atrial Fibrillation,Cardiovascular,25003,400,4.31,0.74,0.006,0.741,0.006,0.734,0.007,0.735,0.006,0.77,0.851,0.027,0.052,0.014,0.032,No
Ischaemic Heart Disease,Cardiovascular,24694,437,4.31,0.691,0.006,0.697,0.005,0.687,0.006,0.688,0.006,0.064,0.226,0.002,0.01,0.002,0.008,Yes
Angina Pectoris,Cardiovascular,24880,209,4.31,0.68,0.01,0.68,0.01,0.677,0.01,0.679,0.01,0.492,0.689,0.232,0.305,0.322,0.376,No
Myocardial Infarction,Cardiovascular,25314,167,4.32,0.659,0.012,0.66,0.012,0.657,0.012,0.659,0.012,0.695,0.851,0.193,0.271,0.322,0.376,No
COPD,Respiratory,25450,101,4.32,0.693,0.011,0.684,0.013,0.678,0.014,0.678,0.014,0.084,0.252,0.01,0.029,0.01,0.029,Yes
Chronic Renal Failure,Hepatic & Renal,25408,250,4.31,0.744,0.006,0.744,0.006,0.742,0.007,0.742,0.007,0.375,0.606,0.049,0.073,0.105,0.158,No
Acute Renal Failure,Hepatic & Renal,25777,219,4.32,0.718,0.013,0.721,0.013,0.715,0.013,0.715,0.013,0.105,0.277,0.492,0.574,0.625,0.691,No
Liver Disease,Hepatic & Renal,25608,206,4.31,0.677,0.012,0.671,0.012,0.671,0.012,0.671,0.012,0.02,0.103,0.037,0.06,0.02,0.041,No
Cerebral Infarction,Neurological,25785,119,4.32,0.653,0.019,0.655,0.019,0.654,0.019,0.655,0.019,0.16,0.336,0.557,0.615,0.16,0.21,No
All-Cause Death,Mortality,25945,275,3.71,0.717,0.004,0.734,0.005,0.715,0.004,0.715,0.004,0.01,0.068,0.006,0.021,0.027,0.052,Yes
Cancer Death,Mortality,25945,148,3.71,0.717,0.012,0.717,0.011,0.716,0.012,0.716,0.012,0.846,0.888,0.014,0.032,0.014,0.032,Yes
