ATC-3 class,Drug class,Sex,Pairs (n),Gap before initiation (yr),Gap after initiation (yr),Change in gap (yr),P,Adj. P
G03F,Progestogens and estrogens in combination,Women,11,3.14,0.48,-2.66,0.00098,0.034
N06A,Antidepressants,Men,17,0.354,-2.608,-2.961,0.002,0.037
C09C,"Angiotensin II receptor blockers (ARBs), plain",Men,14,1.095,-1.46,-2.555,0.005,0.061
B03B,Vitamin B12 and folic acid,Women,52,1.588,0.488,-1.1,0.01,0.087
B03A,Iron antianemic preparations,Women,27,1.652,0.576,-1.077,0.041,0.287
N05C,Hypnotics and sedatives,Women,11,2.175,0.192,-1.983,0.054,0.313
A11C,"Vitamin A and D, incl. combinations of the two",Women,117,0.626,0.138,-0.489,0.153,0.765
N06A,Antidepressants,Women,21,2.307,1.242,-1.065,0.203,0.888
A10B,"Blood glucose lowering drugs, excl. insulins",Men,35,0.433,1.14,0.707,0.232,0.89
C10A,"Lipid modifying agents, plain",Men,89,-0.151,0.074,0.225,0.321,0.89
B01A,Antithrombotic agents,Men,20,0.215,-0.807,-1.022,0.33,0.89
A12A,Calcium supplements,Men,22,-0.25,-0.985,-0.734,0.337,0.89
A11G,"Ascorbic acid (vitamin C), incl. combinations",Women,29,-0.353,0.294,0.646,0.369,0.89
M05B,Drugs affecting bone structure and mineralization,Women,16,2.757,2.419,-0.338,0.404,0.89
G03D,Progestogen sex hormones and modulators of the genital system,Women,12,-2.184,-1.721,0.463,0.424,0.89
A02B,Drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),Women,14,0.397,0.872,0.475,0.502,0.89
A11C,"Vitamin A and D, incl. combinations of the two",Men,73,0.2,-0.033,-0.233,0.518,0.89
C09D,"Angiotensin II receptor blockers (ARBs), combinations",Women,11,1.058,0.509,-0.549,0.52,0.89
C10B,"Lipid modifying agents, combinations",Men,14,-0.574,-0.281,0.293,0.542,0.89
C10A,"Lipid modifying agents, plain",Women,86,0.222,0.354,0.132,0.554,0.89
A12C,Other mineral supplements,Women,114,0.019,-0.211,-0.23,0.575,0.89
C09D,"Angiotensin II receptor blockers (ARBs), combinations",Men,14,-0.211,-0.473,-0.261,0.583,0.89
G04C,Drugs used in benign prostatic hypertrophy,Men,15,-0.624,-0.552,0.072,0.599,0.89
B03B,Vitamin B12 and folic acid,Men,51,0.433,0.282,-0.151,0.633,0.89
A10B,"Blood glucose lowering drugs, excl. insulins",Women,52,0.523,0.84,0.317,0.636,0.89
A11D,"Vitamin B1, plain and in combination with vitamin B6 and B12",Women,15,-0.536,-1.288,-0.753,0.679,0.914
A12A,Calcium supplements,Women,51,0.342,-0.029,-0.371,0.75,0.923
G03C,"Estrogens, sex hormones and modulators of the genital system",Women,44,-0.68,-0.874,-0.194,0.777,0.923
A12C,Other mineral supplements,Men,74,-0.338,-0.43,-0.092,0.781,0.923
C09C,"Angiotensin II receptor blockers (ARBs), plain",Women,12,-0.714,-1.046,-0.332,0.791,0.923
A11G,"Ascorbic acid (vitamin C), incl. combinations",Men,20,-0.761,-0.694,0.067,0.869,0.982
A02B,Drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),Men,12,-0.507,-0.771,-0.263,0.97,1.0
G02C,Other gynecologicals,Women,11,-0.057,0.069,0.125,1.0,1.0
C10B,"Lipid modifying agents, combinations",Women,13,-0.701,-0.543,0.158,1.0,1.0
B03A,Iron antianemic preparations,Men,11,1.592,1.676,0.084,1.0,1.0
