Feature ID,Feature,System,Feature type,Cohen's d (B − A),95% CI lower,95% CI upper,Cluster A mean,Cluster B mean,Prevalence difference (B − A),P,Adj. P,Cluster A (n),Cluster B (n),Significant (adj. P < 0.05),Unit
body_comp_legs_fat_mass,Legs fat mass,Body composition,continuous,-0.942,-1.034,-0.85,8.56084,6.96569,,4.6e-92,5.4e-90,1002,1001,Yes,kg
body_comp_leg_left_fat_mass,Leg left fat mass,Body composition,continuous,-0.936,-1.028,-0.844,4.24711,3.45664,,5.7e-91,3.4e-89,1002,1001,Yes,kg
body_comp_leg_right_fat_mass,Leg right fat mass,Body composition,continuous,-0.933,-1.025,-0.84,4.31373,3.50903,,2.3e-90,9.1e-89,1002,1001,Yes,kg
body_comp_gynoid_fat_mass,Gynoid fat mass,Body composition,continuous,-0.75,-0.84,-0.659,4.2743,3.63605,,3.3e-60,9.8e-59,1002,1001,Yes,kg
body_comp_total_right_fat_mass,Total right fat mass,Body composition,continuous,-0.6,-0.69,-0.511,11.1976,9.66943,,6.8e-44,1.6e-42,1002,1001,Yes,kg
body_comp_total_fat_mass,Total fat mass,Body composition,continuous,-0.6,-0.689,-0.51,22.3938,19.3189,,9.4e-44,1.8e-42,1002,1001,Yes,kg
body_comp_total_left_fat_mass,Total left fat mass,Body composition,continuous,-0.596,-0.685,-0.506,11.1962,9.64942,,4e-43,6.6e-42,1002,1001,Yes,kg
body_comp_arms_fat_mass,Arms fat mass,Body composition,continuous,-0.579,-0.669,-0.49,2.43307,2.08656,,1e-41,1.5e-40,1002,1001,Yes,kg
body_comp_arm_left_fat_mass,Arm left fat mass,Body composition,continuous,-0.582,-0.672,-0.493,1.21578,1.03867,,2.9e-41,3.8e-40,1002,1001,Yes,kg
body_comp_arm_right_fat_mass,Arm right fat mass,Body composition,continuous,-0.554,-0.643,-0.465,1.21728,1.0479,,2e-39,2.3e-38,1002,1001,Yes,kg
body_comp_arm_right_lean_mass,Arm right lean mass,Body composition,continuous,0.56,0.471,0.65,1.89025,2.07046,,2.7e-33,2.9e-32,1002,1001,Yes,kg
body_comp_arms_lean_mass,Arms lean mass,Body composition,continuous,0.555,0.466,0.645,3.68724,4.03311,,3.2e-33,3.1e-32,1002,1001,Yes,kg
body_comp_arm_right_fat_free_mass,Arm right fat free mass,Body composition,continuous,0.551,0.462,0.64,2.0201,2.2047,,2.7e-32,2.5e-31,1002,1001,Yes,
body_comp_arms_fat_free_mass,Arms fat free mass,Body composition,continuous,0.545,0.456,0.634,3.94346,4.29765,,3.7e-32,3.1e-31,1002,1001,Yes,
body_comp_total_lean_mass,Total lean mass,Body composition,continuous,0.526,0.437,0.615,37.0212,39.3959,,7.2e-30,5.6e-29,1002,1001,Yes,kg
body_comp_total_left_lean_mass,Total left lean mass,Body composition,continuous,0.522,0.433,0.611,18.5377,19.7291,,7.8e-30,5.7e-29,1002,1001,Yes,kg
body_comp_trunk_lean_mass,Trunk lean mass,Body composition,continuous,0.518,0.429,0.607,18.3563,19.5418,,1.5e-29,1e-28,1002,1001,Yes,kg
body_comp_arm_left_lean_mass,Arm left lean mass,Body composition,continuous,0.517,0.428,0.606,1.79698,1.96264,,1.6e-29,1e-28,1002,1001,Yes,kg
body_comp_trunk_fat_free_mass,Trunk fat free mass,Body composition,continuous,0.512,0.423,0.601,18.9646,20.1698,,4.9e-29,3e-28,1002,1001,Yes,
body_comp_total_left_fat_free_mass,Total left fat free mass,Body composition,continuous,0.511,0.422,0.6,19.5685,20.7875,,9.6e-29,5.6e-28,1002,1001,Yes,
body_comp_arm_left_fat_free_mass,Arm left fat free mass,Body composition,continuous,0.508,0.419,0.597,1.92336,2.09295,,1.1e-28,6e-28,1002,1001,Yes,
total_scan_sat_area,Total scan SAT area,Body composition,continuous,-0.492,-0.581,-0.403,150.968,122.638,,1.2e-28,6.3e-28,1001,1000,Yes,cm²
body_comp_total_fat_free_mass,Total fat free mass,Body composition,continuous,0.514,0.425,0.603,39.1401,41.5691,,1.5e-28,7.4e-28,1002,1001,Yes,
total_scan_sat_volume,Total scan SAT volume,Body composition,continuous,-0.488,-0.577,-0.399,1344.86,1090.1,,1.6e-28,7.8e-28,1001,1000,Yes,
body_comp_total_right_lean_mass,Total right lean mass,Body composition,continuous,0.516,0.427,0.605,18.4834,19.6668,,2e-28,9.2e-28,1002,1001,Yes,kg
body_comp_trunk_left_lean_mass,Trunk left lean mass,Body composition,continuous,0.506,0.417,0.595,9.39694,10.0018,,2.1e-28,9.3e-28,1002,1001,Yes,kg
body_comp_trunk_left_fat_free_mass,Trunk left fat free mass,Body composition,continuous,0.5,0.411,0.589,9.69659,10.311,,6.6e-28,2.8e-27,1002,1001,Yes,
body_comp_trunk_right_lean_mass,Trunk right lean mass,Body composition,continuous,0.5,0.411,0.589,8.95933,9.54003,,1.9e-27,7.9e-27,1002,1001,Yes,kg
body_comp_total_right_fat_free_mass,Total right fat free mass,Body composition,continuous,0.503,0.414,0.592,19.5717,20.7816,,4.5e-27,1.8e-26,1002,1001,Yes,
body_comp_trunk_right_fat_free_mass,Trunk right fat free mass,Body composition,continuous,0.495,0.406,0.583,9.26801,9.85882,,7e-27,2.7e-26,1002,1001,Yes,
total_scan_sat_mass,Total scan SAT mass,Body composition,continuous,0.075,-0.013,0.162,1.33306,1.75102,,1.4e-25,5.1e-25,1001,1000,Yes,
body_comp_leg_right_lean_mass,Leg right lean mass,Body composition,continuous,0.436,0.347,0.525,6.10254,6.50069,,2.3e-21,8.5e-21,1002,1001,Yes,kg
body_comp_legs_lean_mass,Legs lean mass,Body composition,continuous,0.436,0.348,0.525,12.1322,12.9156,,3e-21,1.1e-20,1002,1001,Yes,kg
body_comp_leg_right_fat_free_mass,Leg right fat free mass,Body composition,continuous,0.428,0.339,0.516,6.48045,6.88885,,1.2e-20,4.2e-20,1002,1001,Yes,
body_comp_legs_fat_free_mass,Legs fat free mass,Body composition,continuous,0.428,0.339,0.516,12.8839,13.6878,,1.7e-20,5.7e-20,1002,1001,Yes,
body_comp_gynoid_lean_mass,Gynoid lean mass,Body composition,continuous,0.428,0.339,0.516,5.66105,5.98848,,1.8e-20,6e-20,1002,1001,Yes,kg
body_comp_leg_left_lean_mass,Leg left lean mass,Body composition,continuous,0.427,0.338,0.515,6.02962,6.41488,,2.1e-20,6.7e-20,1002,1001,Yes,kg
body_comp_gynoid_fat_free_mass,Gynoid fat free mass,Body composition,continuous,0.425,0.337,0.514,5.85225,6.18773,,2.8e-20,8.6e-20,1002,1001,Yes,
body_comp_leg_left_fat_free_mass,Leg left fat free mass,Body composition,continuous,0.419,0.33,0.507,6.40346,6.79892,,8.5e-20,2.6e-19,1002,1001,Yes,
body_comp_android_fat_free_mass,Android fat free mass,Body composition,continuous,0.398,0.31,0.487,2.71314,2.86495,,7.5e-18,2.1e-17,1002,1001,Yes,
body_comp_android_lean_mass,Android lean mass,Body composition,continuous,0.399,0.31,0.487,2.67175,2.82204,,7.3e-18,2.1e-17,1002,1001,Yes,kg
