Event,N,Total Events,Median Follow-up (yr),Emb Penalizer,Dxa Penalizer,DXA SSL (LeJEPA) Penalizer,DXA SSL (DINO) Penalizer,Covariates C-Index,Covariates C-Index SE,DXA Tabular + Covariates C-Index,DXA Tabular + Covariates C-Index SE,DXA SSL (LeJEPA) + Covariates C-Index,DXA SSL (LeJEPA) + Covariates C-Index SE,DXA SSL (DINO) + Covariates C-Index,DXA SSL (DINO) + Covariates C-Index SE,P-Value (DXA Tabular + Covariates vs Covariates),P-Value (DXA SSL (LeJEPA) + Covariates vs Covariates),P-Value (DXA SSL (DINO) + Covariates vs Covariates),P-Value (DXA SSL (LeJEPA) + Covariates vs DXA Tabular + Covariates),P-Value (DXA SSL (DINO) + Covariates vs DXA Tabular + Covariates),P-Value (DXA SSL (LeJEPA) + Covariates vs DXA SSL (DINO) + Covariates),P-Value-adj (DXA Tabular + Covariates vs Covariates),P-Value-adj (DXA SSL (LeJEPA) + Covariates vs Covariates),P-Value-adj (DXA SSL (DINO) + Covariates vs Covariates),P-Value-adj (DXA SSL (LeJEPA) + Covariates vs DXA Tabular + Covariates),P-Value-adj (DXA SSL (DINO) + Covariates vs DXA Tabular + Covariates),P-Value-adj (DXA SSL (LeJEPA) + Covariates vs DXA SSL (DINO) + Covariates)
Date I20 first reported (angina pectoris) - visit 0,24880,209,4.31,1.0,30.0,1.0,1.0,0.6785503966298583,0.010160125934580842,0.6773108111418801,0.010209324028172961,0.6804498443502256,0.009959370756379099,0.6797825224902239,0.010296767147337888,0.083984375,0.322265625,0.322265625,0.232421875,0.130859375,0.4921875,0.19596354166666669,0.3759765625,0.4833984375,0.3050537109375,0.22900390625,0.6890625
Date I21 first reported (acute myocardial infarction) - visit 0,25314,167,4.32,10.0,30.0,10.0,3.0,0.659099781399181,0.012119462089477506,0.657464656416088,0.012356160440007858,0.6592934420733921,0.012040500035466304,0.6595302732892162,0.01191213430663927,0.16015625,0.322265625,0.556640625,0.193359375,0.4921875,0.6953125,0.2587139423076923,0.3759765625,0.6494140625,0.270703125,0.6079963235294118,0.8505345394736842
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,25068,159,4.32,0.3,0.1,0.3,0.3,0.7551478015077302,0.011684384886027297,0.7916500519543062,0.01149107444900419,0.7889172053722697,0.01128633595666024,0.7807557894958308,0.013706110473351324,0.01953125,0.00390625,0.001953125,0.6953125,0.322265625,0.275390625,0.1025390625,0.013671875,0.008203125,0.730078125,0.451171875,0.48193359375
Date K76 first reported (other diseases of liver) - visit 0,25608,206,4.31,1.0,30.0,1.0,1.0,0.6709064769509603,0.011955455290178154,0.6713037916195006,0.011877728799982301,0.6770584527697804,0.011814893778505729,0.671100074622272,0.012276647772744786,0.4921875,0.01953125,0.76953125,0.037109375,0.921875,0.01953125,0.57421875,0.041015625,0.8505345394736842,0.05994591346153846,0.921875,0.1025390625
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,25450,101,4.32,1.0,30.0,1.0,1.0,0.6781304708977949,0.013586623020855055,0.6781614549163575,0.013658121633152547,0.6933982772117495,0.011395160539808038,0.6836741272094737,0.012939059170840535,1.0,0.009765625,0.232421875,0.009765625,0.193359375,0.083984375,1.0,0.029296875,0.37545072115384615,0.029296875,0.3123497596153846,0.251953125
Date N17 first reported (acute renal failure) - visit 0,25777,219,4.32,0.3,30.0,0.3,1.0,0.7152875946359407,0.01299683797684366,0.7150510276085853,0.013331372872900565,0.7177151188210863,0.013207335758025228,0.7214882896598469,0.013227508464108825,0.845703125,0.625,0.00390625,0.4921875,0.001953125,0.10546875,0.8879882812500001,0.6907894736842105,0.01025390625,0.57421875,0.008203125,0.27685546875
Date M48 first reported (other spondylopathies) - visit 0,25355,113,4.32,1.0,3.0,1.0,1.0,0.6939000013136803,0.01528853282841132,0.6819352325075083,0.01927026148938351,0.6991800767671321,0.014671267887240031,0.6997245674372217,0.014999756167860133,0.10546875,0.16015625,0.16015625,0.037109375,0.013671875,0.6953125,0.2013494318181818,0.210205078125,0.2802734375,0.05994591346153846,0.03190104166666667,0.8505345394736842
Date I25 first reported (chronic ischaemic heart disease) - visit 0,24694,437,4.31,1.0,30.0,1.0,0.3,0.6881269158995472,0.005630782066106827,0.6874306343466604,0.0057067885780611215,0.6913983402414754,0.0058060663724510495,0.6973621747161263,0.004636502370392314,0.375,0.001953125,0.02734375,0.001953125,0.01953125,0.064453125,0.525,0.008203125,0.057421875000000004,0.01025390625,0.041015625,0.2255859375
Date I63 first reported (cerebral infarction) - visit 0,25785,119,4.32,1.0,30.0,1.0,30.0,0.655359148369323,0.0185868162251081,0.653908851932863,0.01881685569802178,0.6529291655229141,0.01850172681766854,0.6553366810911023,0.018568927097522767,0.00390625,0.16015625,0.921875,0.556640625,0.009765625,0.16015625,0.041015625,0.210205078125,0.921875,0.615234375,0.029296875,0.33632812500000003
Date of death - visit 0,25945,275,3.71,3.0,30.0,3.0,0.3,0.7153862920469178,0.003959510660620555,0.7150396973647578,0.003999818007935477,0.7170945430895521,0.004236462903713647,0.7338169276922126,0.005123661583810359,0.130859375,0.02734375,0.00390625,0.005859375,0.00390625,0.009765625,0.22900390625,0.052201704545454544,0.01025390625,0.0205078125,0.013671875,0.068359375
