Event,Arm,Seed,C-Index
Date I20 first reported (angina pectoris) - visit 0,Covariates,42,0.6982319244633698
Date I20 first reported (angina pectoris) - visit 0,Covariates,142,0.698641314660898
Date I20 first reported (angina pectoris) - visit 0,Covariates,242,0.6962870014981027
Date I20 first reported (angina pectoris) - visit 0,Covariates,342,0.7057976578997889
Date I20 first reported (angina pectoris) - visit 0,Covariates,442,0.6842655063485077
Date I20 first reported (angina pectoris) - visit 0,Covariates,542,0.6914184033274019
Date I20 first reported (angina pectoris) - visit 0,Covariates,642,0.6395118988460052
Date I20 first reported (angina pectoris) - visit 0,Covariates,742,0.6054893132104839
Date I20 first reported (angina pectoris) - visit 0,Covariates,842,0.6960450060471404
Date I20 first reported (angina pectoris) - visit 0,Covariates,942,0.6698159399968842
Date I20 first reported (angina pectoris) - visit 0,DXA Tabular + Covariates,42,0.6973797414591115
Date I20 first reported (angina pectoris) - visit 0,DXA Tabular + Covariates,142,0.6954235183769512
Date I20 first reported (angina pectoris) - visit 0,DXA Tabular + Covariates,242,0.6953219827444805
Date I20 first reported (angina pectoris) - visit 0,DXA Tabular + Covariates,342,0.7015769410086937
Date I20 first reported (angina pectoris) - visit 0,DXA Tabular + Covariates,442,0.6849479918213169
Date I20 first reported (angina pectoris) - visit 0,DXA Tabular + Covariates,542,0.6894534021811513
Date I20 first reported (angina pectoris) - visit 0,DXA Tabular + Covariates,642,0.6370382640384297
Date I20 first reported (angina pectoris) - visit 0,DXA Tabular + Covariates,742,0.603635454014842
Date I20 first reported (angina pectoris) - visit 0,DXA Tabular + Covariates,842,0.6980753128916276
Date I20 first reported (angina pectoris) - visit 0,DXA Tabular + Covariates,942,0.6702555028821972
Date I20 first reported (angina pectoris) - visit 0,DXA SSL (LeJEPA) + Covariates,42,0.6967644272132254
Date I20 first reported (angina pectoris) - visit 0,DXA SSL (LeJEPA) + Covariates,142,0.6940626643461666
Date I20 first reported (angina pectoris) - visit 0,DXA SSL (LeJEPA) + Covariates,242,0.7014674846089077
Date I20 first reported (angina pectoris) - visit 0,DXA SSL (LeJEPA) + Covariates,342,0.7119490990867454
Date I20 first reported (angina pectoris) - visit 0,DXA SSL (LeJEPA) + Covariates,442,0.6939345148224703
Date I20 first reported (angina pectoris) - visit 0,DXA SSL (LeJEPA) + Covariates,542,0.6877121928321125
Date I20 first reported (angina pectoris) - visit 0,DXA SSL (LeJEPA) + Covariates,642,0.6477831152338358
Date I20 first reported (angina pectoris) - visit 0,DXA SSL (LeJEPA) + Covariates,742,0.6092720753773034
Date I20 first reported (angina pectoris) - visit 0,DXA SSL (LeJEPA) + Covariates,842,0.6991260377275886
Date I20 first reported (angina pectoris) - visit 0,DXA SSL (LeJEPA) + Covariates,942,0.6624268322539004
Date I20 first reported (angina pectoris) - visit 0,DXA SSL (DINO) + Covariates,42,0.696606514707644
Date I20 first reported (angina pectoris) - visit 0,DXA SSL (DINO) + Covariates,142,0.6939596514912466
Date I20 first reported (angina pectoris) - visit 0,DXA SSL (DINO) + Covariates,242,0.7013526665135759
Date I20 first reported (angina pectoris) - visit 0,DXA SSL (DINO) + Covariates,342,0.709409538436223
Date I20 first reported (angina pectoris) - visit 0,DXA SSL (DINO) + Covariates,442,0.6852934130402082
Date I20 first reported (angina pectoris) - visit 0,DXA SSL (DINO) + Covariates,542,0.6886783183956857
Date I20 first reported (angina pectoris) - visit 0,DXA SSL (DINO) + Covariates,642,0.643249958588703
Date I20 first reported (angina pectoris) - visit 0,DXA SSL (DINO) + Covariates,742,0.603996775897051
Date I20 first reported (angina pectoris) - visit 0,DXA SSL (DINO) + Covariates,842,0.7018513552708626
Date I20 first reported (angina pectoris) - visit 0,DXA SSL (DINO) + Covariates,942,0.6734270325610381
Date I21 first reported (acute myocardial infarction) - visit 0,Covariates,42,0.6485400120482762
