cohort,key,raw_key,model_a,model_b,mean_a,mean_b,p_two_tailed_adj
HPP,Allergy,dis__allergy,lejepa,dino,0.6001,0.5975,0.52941
HPP,Allergy,dis__allergy,lejepa,tabular,0.6001,0.6003,1.0
HPP,Allergy,dis__allergy,lejepa,covariates,0.6001,0.5901,0.01585
HPP,Allergy,dis__allergy,dino,tabular,0.5975,0.6003,0.58916
HPP,Allergy,dis__allergy,dino,covariates,0.5975,0.5901,0.16125
HPP,Allergy,dis__allergy,tabular,covariates,0.6003,0.5901,0.01023
HPP,Anal Fissure,dis__anal_fissure,lejepa,dino,0.5232,0.4944,0.12981
HPP,Anal Fissure,dis__anal_fissure,lejepa,tabular,0.5232,0.5083,0.31641
HPP,Anal Fissure,dis__anal_fissure,lejepa,covariates,0.5232,0.5004,0.12981
HPP,Anal Fissure,dis__anal_fissure,dino,tabular,0.4944,0.5083,0.801
HPP,Anal Fissure,dis__anal_fissure,dino,covariates,0.4944,0.5004,0.90208
HPP,Anal Fissure,dis__anal_fissure,tabular,covariates,0.5083,0.5004,0.40673
HPP,Anemia,dis__anemia,lejepa,dino,0.6846,0.6745,0.01023
HPP,Anemia,dis__anemia,lejepa,tabular,0.6846,0.6755,0.02083
HPP,Anemia,dis__anemia,lejepa,covariates,0.6846,0.6666,0.01023
HPP,Anemia,dis__anemia,dino,tabular,0.6745,0.6755,0.90208
HPP,Anemia,dis__anemia,dino,covariates,0.6745,0.6666,0.06563
HPP,Anemia,dis__anemia,tabular,covariates,0.6755,0.6666,0.01023
HPP,Anxiety,dis__anxiety,lejepa,dino,0.648,0.639,0.2298
HPP,Anxiety,dis__anxiety,lejepa,tabular,0.648,0.6352,0.16125
HPP,Anxiety,dis__anxiety,lejepa,covariates,0.648,0.6268,0.01585
HPP,Anxiety,dis__anxiety,dino,tabular,0.639,0.6352,0.74074
HPP,Anxiety,dis__anxiety,dino,covariates,0.639,0.6268,0.06563
HPP,Anxiety,dis__anxiety,tabular,covariates,0.6352,0.6268,0.2298
HPP,Asthma,dis__asthma,lejepa,dino,0.5686,0.6155,0.01023
HPP,Asthma,dis__asthma,lejepa,tabular,0.5686,0.5751,0.74074
HPP,Asthma,dis__asthma,lejepa,covariates,0.5686,0.5647,0.74074
HPP,Asthma,dis__asthma,dino,tabular,0.6155,0.5751,0.0368
HPP,Asthma,dis__asthma,dino,covariates,0.6155,0.5647,0.01023
HPP,Asthma,dis__asthma,tabular,covariates,0.5751,0.5647,0.31641
HPP,Atopic Derm.,dis__atopic_dermatitis,lejepa,dino,0.5717,0.5834,0.85569
HPP,Atopic Derm.,dis__atopic_dermatitis,lejepa,tabular,0.5717,0.5693,0.90208
HPP,Atopic Derm.,dis__atopic_dermatitis,lejepa,covariates,0.5717,0.5779,0.95161
HPP,Atopic Derm.,dis__atopic_dermatitis,dino,tabular,0.5834,0.5693,0.74074
HPP,Atopic Derm.,dis__atopic_dermatitis,dino,covariates,0.5834,0.5779,0.85569
HPP,Atopic Derm.,dis__atopic_dermatitis,tabular,covariates,0.5693,0.5779,0.64432
HPP,ADHD,dis__attention_deficit_disorder_adhd,lejepa,dino,0.5923,0.5817,0.02083
HPP,ADHD,dis__attention_deficit_disorder_adhd,lejepa,tabular,0.5923,0.5791,0.01585
HPP,ADHD,dis__attention_deficit_disorder_adhd,lejepa,covariates,0.5923,0.5791,0.01023
HPP,ADHD,dis__attention_deficit_disorder_adhd,dino,tabular,0.5817,0.5791,0.64432
HPP,ADHD,dis__attention_deficit_disorder_adhd,dino,covariates,0.5817,0.5791,0.46875
HPP,ADHD,dis__attention_deficit_disorder_adhd,tabular,covariates,0.5791,0.5791,0.58916
HPP,B12 Deficiency,dis__b12_deficiency,lejepa,dino,0.5918,0.5811,0.1034
HPP,B12 Deficiency,dis__b12_deficiency,lejepa,tabular,0.5918,0.5812,0.19597
HPP,B12 Deficiency,dis__b12_deficiency,lejepa,covariates,0.5918,0.5654,0.01023
HPP,B12 Deficiency,dis__b12_deficiency,dino,tabular,0.5811,0.5812,0.90208
HPP,B12 Deficiency,dis__b12_deficiency,dino,covariates,0.5811,0.5654,0.0368
HPP,B12 Deficiency,dis__b12_deficiency,tabular,covariates,0.5812,0.5654,0.01023
HPP,Back Pain ,dis__back_pain,lejepa,dino,0.5792,0.5655,0.0368
HPP,Back Pain ,dis__back_pain,lejepa,tabular,0.5792,0.5743,0.58916
HPP,Back Pain ,dis__back_pain,lejepa,covariates,0.5792,0.5457,0.01023
HPP,Back Pain ,dis__back_pain,dino,tabular,0.5655,0.5743,0.40673
HPP,Back Pain ,dis__back_pain,dino,covariates,0.5655,0.5457,0.01585
HPP,Back Pain ,dis__back_pain,tabular,covariates,0.5743,0.5457,0.01023
HPP,BCC,dis__basal_cell_carcinoma,lejepa,dino,0.6698,0.6698,0.95161
HPP,BCC,dis__basal_cell_carcinoma,lejepa,tabular,0.6698,0.6773,0.19597
HPP,BCC,dis__basal_cell_carcinoma,lejepa,covariates,0.6698,0.676,0.12981
HPP,BCC,dis__basal_cell_carcinoma,dino,tabular,0.6698,0.6773,0.40673
HPP,BCC,dis__basal_cell_carcinoma,dino,covariates,0.6698,0.676,0.74074
HPP,BCC,dis__basal_cell_carcinoma,tabular,covariates,0.6773,0.676,0.52941
HPP,Breast Cancer,dis__breast_cancer,lejepa,dino,0.6332,0.5911,0.2298
HPP,Breast Cancer,dis__breast_cancer,lejepa,tabular,0.6332,0.5433,0.02083
HPP,Breast Cancer,dis__breast_cancer,lejepa,covariates,0.6332,0.538,0.01023
