cohort,key,raw_key,arm,mean,in_top_set,tier,sole_winner,argmax
HPP,Allergy,dis__allergy,lejepa,0.6001,True,1,False,False
HPP,Allergy,dis__allergy,dino,0.5975,True,1,False,False
HPP,Allergy,dis__allergy,tabular,0.6003,True,1,False,True
HPP,Allergy,dis__allergy,covariates,0.5901,False,2,False,False
HPP,Anal Fissure,dis__anal_fissure,lejepa,0.5232,True,1,False,True
HPP,Anal Fissure,dis__anal_fissure,dino,0.4944,True,1,False,False
HPP,Anal Fissure,dis__anal_fissure,tabular,0.5083,True,1,False,False
HPP,Anal Fissure,dis__anal_fissure,covariates,0.5004,True,1,False,False
HPP,Anemia,dis__anemia,lejepa,0.6846,True,1,True,True
HPP,Anemia,dis__anemia,dino,0.6745,False,2,False,False
HPP,Anemia,dis__anemia,tabular,0.6755,False,2,False,False
HPP,Anemia,dis__anemia,covariates,0.6666,False,3,False,False
HPP,Anxiety,dis__anxiety,lejepa,0.648,True,1,False,True
HPP,Anxiety,dis__anxiety,dino,0.639,True,1,False,False
HPP,Anxiety,dis__anxiety,tabular,0.6352,True,1,False,False
HPP,Anxiety,dis__anxiety,covariates,0.6268,False,2,False,False
HPP,Asthma,dis__asthma,lejepa,0.5686,False,2,False,False
HPP,Asthma,dis__asthma,dino,0.6155,True,1,True,True
HPP,Asthma,dis__asthma,tabular,0.5751,False,2,False,False
HPP,Asthma,dis__asthma,covariates,0.5647,False,2,False,False
HPP,Atopic Derm.,dis__atopic_dermatitis,lejepa,0.5717,True,1,False,False
HPP,Atopic Derm.,dis__atopic_dermatitis,dino,0.5834,True,1,False,True
HPP,Atopic Derm.,dis__atopic_dermatitis,tabular,0.5693,True,1,False,False
HPP,Atopic Derm.,dis__atopic_dermatitis,covariates,0.5779,True,1,False,False
HPP,ADHD,dis__attention_deficit_disorder_adhd,lejepa,0.5923,True,1,True,True
HPP,ADHD,dis__attention_deficit_disorder_adhd,dino,0.5817,False,2,False,False
HPP,ADHD,dis__attention_deficit_disorder_adhd,tabular,0.5791,False,2,False,False
HPP,ADHD,dis__attention_deficit_disorder_adhd,covariates,0.5791,False,2,False,False
HPP,B12 Deficiency,dis__b12_deficiency,lejepa,0.5918,True,1,False,True
HPP,B12 Deficiency,dis__b12_deficiency,dino,0.5811,True,1,False,False
HPP,B12 Deficiency,dis__b12_deficiency,tabular,0.5812,True,1,False,False
HPP,B12 Deficiency,dis__b12_deficiency,covariates,0.5654,False,2,False,False
HPP,Back Pain ,dis__back_pain,lejepa,0.5792,True,1,False,True
HPP,Back Pain ,dis__back_pain,dino,0.5655,False,2,False,False
HPP,Back Pain ,dis__back_pain,tabular,0.5743,True,1,False,False
HPP,Back Pain ,dis__back_pain,covariates,0.5457,False,3,False,False
HPP,BCC,dis__basal_cell_carcinoma,lejepa,0.6698,True,1,False,False
HPP,BCC,dis__basal_cell_carcinoma,dino,0.6698,True,1,False,False
HPP,BCC,dis__basal_cell_carcinoma,tabular,0.6773,True,1,False,True
HPP,BCC,dis__basal_cell_carcinoma,covariates,0.676,True,1,False,False
HPP,Breast Cancer,dis__breast_cancer,lejepa,0.6332,True,1,False,True
HPP,Breast Cancer,dis__breast_cancer,dino,0.5911,True,1,False,False
HPP,Breast Cancer,dis__breast_cancer,tabular,0.5433,False,2,False,False
HPP,Breast Cancer,dis__breast_cancer,covariates,0.538,False,2,False,False
HPP,Chr. Sinusitis,dis__chronic_sinusitis,lejepa,0.6174,True,1,False,False
HPP,Chr. Sinusitis,dis__chronic_sinusitis,dino,0.6159,True,1,False,False
HPP,Chr. Sinusitis,dis__chronic_sinusitis,tabular,0.614,True,1,False,False
HPP,Chr. Sinusitis,dis__chronic_sinusitis,covariates,0.6227,True,1,False,True
HPP,Covid-19,dis__covid_19,lejepa,0.5553,True,1,True,True
HPP,Covid-19,dis__covid_19,dino,0.5299,False,2,False,False
HPP,Covid-19,dis__covid_19,tabular,0.5239,False,2,False,False
HPP,Covid-19,dis__covid_19,covariates,0.5029,False,3,False,False
HPP,Depression,dis__depression,lejepa,0.6319,True,1,False,False
HPP,Depression,dis__depression,dino,0.6473,True,1,False,True
HPP,Depression,dis__depression,tabular,0.6182,False,2,False,False
HPP,Depression,dis__depression,covariates,0.6142,False,2,False,False
HPP,Diabetes,dis__diabetes,lejepa,0.7377,True,1,False,True
HPP,Diabetes,dis__diabetes,dino,0.6788,True,1,False,False
HPP,Diabetes,dis__diabetes,tabular,0.6678,False,2,False,False
HPP,Diabetes,dis__diabetes,covariates,0.5605,False,3,False,False
HPP,Endometriosis,dis__endometriosis_and_adenomyosis,lejepa,0.7763,True,1,False,False
HPP,Endometriosis,dis__endometriosis_and_adenomyosis,dino,0.7768,True,1,False,False
HPP,Endometriosis,dis__endometriosis_and_adenomyosis,tabular,0.7766,True,1,False,False
HPP,Endometriosis,dis__endometriosis_and_adenomyosis,covariates,0.7777,True,1,False,True
HPP,Episodic Vertigo,dis__episodic_vertigo,lejepa,0.6164,False,2,False,False
HPP,Episodic Vertigo,dis__episodic_vertigo,dino,0.6322,True,1,False,True
HPP,Episodic Vertigo,dis__episodic_vertigo,tabular,0.6232,True,1,False,False
HPP,Episodic Vertigo,dis__episodic_vertigo,covariates,0.6155,False,2,False,False
HPP,Fatty Liver,dis__fatty_liver_disease,lejepa,0.7738,True,1,True,True
HPP,Fatty Liver,dis__fatty_liver_disease,dino,0.7601,False,2,False,False
HPP,Fatty Liver,dis__fatty_liver_disease,tabular,0.7452,False,3,False,False
HPP,Fatty Liver,dis__fatty_liver_disease,covariates,0.7207,False,4,False,False
HPP,Fibromyalgia,dis__fibromyalgia,lejepa,0.7569,True,1,False,True
HPP,Fibromyalgia,dis__fibromyalgia,dino,0.7471,True,1,False,False
HPP,Fibromyalgia,dis__fibromyalgia,tabular,0.7427,True,1,False,False
HPP,Fibromyalgia,dis__fibromyalgia,covariates,0.7254,False,2,False,False
HPP,Folic Acid Deficiency,dis__folic_acid_deficiency,lejepa,0.5931,True,1,False,False
HPP,Folic Acid Deficiency,dis__folic_acid_deficiency,dino,0.5431,True,1,False,False
HPP,Folic Acid Deficiency,dis__folic_acid_deficiency,tabular,0.6172,True,1,False,True
HPP,Folic Acid Deficiency,dis__folic_acid_deficiency,covariates,0.6067,True,1,False,False
HPP,Fracture,dis__fracture,lejepa,0.6019,True,1,False,True
HPP,Fracture,dis__fracture,dino,0.5895,True,1,False,False
HPP,Fracture,dis__fracture,tabular,0.5769,False,2,False,False
HPP,Fracture,dis__fracture,covariates,0.5264,False,3,False,False
HPP,G6Pd,dis__g6pd,lejepa,0.5723,True,1,False,False
HPP,G6Pd,dis__g6pd,dino,0.5942,True,1,False,True
HPP,G6Pd,dis__g6pd,tabular,0.5245,False,2,False,False
HPP,G6Pd,dis__g6pd,covariates,0.5807,True,1,False,False
HPP,Gallstones,dis__gallstone_disease,lejepa,0.7135,True,1,True,True
HPP,Gallstones,dis__gallstone_disease,dino,0.6865,False,2,False,False
HPP,Gallstones,dis__gallstone_disease,tabular,0.6918,False,2,False,False
HPP,Gallstones,dis__gallstone_disease,covariates,0.6878,False,2,False,False
HPP,Haemorrhoids,dis__haemorrhoids,lejepa,0.5241,True,1,False,True
HPP,Haemorrhoids,dis__haemorrhoids,dino,0.5209,True,1,False,False
HPP,Haemorrhoids,dis__haemorrhoids,tabular,0.5215,True,1,False,False
HPP,Haemorrhoids,dis__haemorrhoids,covariates,0.5225,True,1,False,False
HPP,Headache,dis__headache,lejepa,0.6286,False,2,False,False
