Phenotype,Cohens_d,P_Value,N_Q1,N_Q4,Adjusted_P_Value
total_scan_vat_area,0.5379286920660389,1.9432269142258415e-12,364,362,1.9432269142258415e-10
femur_upper_neck_mean_bmd,-0.5422150219182883,1.8798644143732625e-12,355,356,1.9432269142258415e-10
waist,0.5281276594204932,9.91410664535878e-13,378,379,1.9432269142258415e-10
femur_right_upper_neck_bmd,-0.5370739534456224,3.068892100730558e-12,356,356,2.3016690755479182e-10
femur_left_upper_neck_bmd,-0.525552234104403,5.350688723022584e-12,355,356,3.2104132338135506e-10
total_scan_vat_volume,0.5226217744589973,9.795331807001078e-12,364,362,4.897665903500539e-10
femur_right_wards_bmd,-0.5179490753587749,1.7093037226210453e-11,356,356,7.325587382661622e-10
femur_wards_mean_bmd,-0.5107207090025557,3.392288048713885e-11,355,356,1.2721080182677067e-09
femur_left_wards_bmd,-0.4879502547740118,2.158296805389106e-10,355,356,7.194322684630353e-09
body_comp_android_fat_mass,0.45462297581024463,2.7571934557439565e-10,373,368,8.27158036723187e-09
body_comp_android_tissue_mass,0.4621217560391244,3.8705344977611807e-10,373,368,1.0556003175712311e-08
body_comp_android_total_mass,0.46116255456339716,4.515626896362793e-10,373,368,1.1289067240906982e-08
body_comp_trunk_right_fat_mass,0.4338236654715259,2.860254992865757e-09,373,368,6.600588445074823e-08
femur_total_mean_area,0.480944521397892,3.620958132048466e-09,355,356,6.789296497590873e-08
femur_left_wards_area,0.3514012904888598,3.429674030373367e-09,355,356,6.789296497590873e-08
body_comp_trunk_fat_mass,0.42586671013644467,3.3385094979680376e-09,373,368,6.789296497590873e-08
body_comp_trunk_left_fat_mass,0.415126590898704,4.161598759323754e-09,373,368,7.343997810571331e-08
femur_left_total_area,0.4749079039986708,5.709674169600874e-09,355,356,9.516123616001458e-08
femur_right_total_area,0.4727455003689851,6.031708465073835e-09,356,356,9.523750208011317e-08
femur_wards_mean_area,0.4020747459720301,9.634686501615223e-09,355,356,1.4452029752422834e-07
femur_left_neck_area,0.37061914939457574,1.3039502735308937e-08,355,356,1.8627861050441337e-07
body_comp_arms_fat_mass,0.4351736723139123,1.8660998684483212e-08,373,368,2.153192155901909e-07
body_comp_total_left_fat_mass,0.4021168940602292,1.8022631675709585e-08,373,368,2.153192155901909e-07
femur_neck_mean_area,0.41212347925532167,1.7714227142129086e-08,355,356,2.153192155901909e-07
body_comp_total_fat_mass,0.40243705036195093,1.7509789571990958e-08,373,368,2.153192155901909e-07
body_comp_arm_right_fat_mass,0.4274794764132481,1.8040517401741458e-08,373,368,2.153192155901909e-07
body_comp_total_right_fat_mass,0.4015135198159421,2.0608414100592794e-08,373,368,2.289823788954755e-07
femur_shaft_mean_area,0.4179395233551013,2.2868021713401847e-08,355,356,2.450145183578769e-07
femur_left_upper_neck_area,0.3399229096934955,3.246310399289491e-08,355,356,3.3582521371960257e-07
femur_right_total_bmd,-0.4201373887397864,3.656842510096641e-08,356,356,3.4282898532156005e-07
body_comp_arm_left_fat_mass,0.42999382317626267,3.443904432436844e-08,373,368,3.4282898532156005e-07
femur_left_lower_neck_area,0.33335527572654977,3.646777126577169e-08,355,356,3.4282898532156005e-07
femur_lower_neck_mean_area,0.372412455057923,4.120444563291705e-08,355,356,3.74585869390155e-07
femur_left_shaft_area,0.4056733301106679,4.629713485170519e-08,355,356,4.0850413104445757e-07
femur_upper_neck_mean_area,0.3970163702245096,5.199643118891065e-08,355,356,4.456836959049484e-07
femur_right_shaft_area,0.4005814533969479,5.8296771598010554e-08,356,356,4.858064299834213e-07
femur_right_wards_area,0.3886185284636053,6.415313105199337e-08,356,356,5.201605220431895e-07
body_comp_trunk_right_tissue_mass,0.40357341169154376,7.487225141455217e-08,373,368,5.910967216938329e-07
femur_right_neck_area,0.4007937341277873,8.255582102929703e-08,356,356,6.350447771484387e-07
body_comp_trunk_tissue_mass,0.3922325361389203,9.245177564447221e-08,373,368,6.933883173335415e-07
body_comp_trunk_right_total_mass,0.3982167513154456,1.1217649120749894e-07,373,368,8.208035942012118e-07
femur_neck_mean_bmd,-0.4077173028997599,1.185532104289476e-07,355,356,8.468086459210542e-07
femur_right_upper_neck_area,0.39849136213339337,1.3468538888099656e-07,356,356,9.396655038209062e-07
body_comp_trunk_total_mass,0.3862520823844142,1.394472524030689e-07,373,368,9.507767209300152e-07
femur_right_neck_bmd,-0.3993041097730088,1.479907101048156e-07,356,356,9.86604734032104e-07
femur_total_mean_bmd,-0.40061274795074864,1.765301717274354e-07,355,356,1.1267883301751196e-06
total_scan_sat_area,0.34696365231878246,1.7445642824147927e-07,372,363,1.1267883301751196e-06
femur_left_neck_bmd,-0.40170352825474503,1.8399159803848128e-07,355,356,1.149947487740508e-06
body_comp_trunk_left_tissue_mass,0.37382896423495265,2.2170149150546912e-07,373,368,1.3573560704416476e-06
femur_right_lower_neck_area,0.36855077250894797,2.4298621631103475e-07,356,356,1.4579172978662085e-06
body_comp_trunk_left_total_mass,0.36801614934019194,3.3108930594163674e-07,373,368,1.947584152597863e-06
femur_right_shaft_bmd,-0.3891505012798363,5.702040444439271e-07,356,356,3.2275700628901535e-06
body_pelvis_bmd,-0.3725649752383784,5.603225878601733e-07,373,368,3.2275700628901535e-06
femur_upper_neck_mean_bmc,-0.3473789905361774,1.1779063283659429e-06,355,356,6.543924046477461e-06
total_scan_sat_volume,0.3224483413311985,1.3200149486844224e-06,372,363,7.200081538278668e-06
femur_right_upper_neck_bmc,-0.3443513535194681,1.36565301067501e-06,356,356,7.315998271473268e-06
femur_left_total_bmd,-0.37304678957139703,2.1000039847792223e-06,355,356,1.1052652551469591e-05
weight,0.3551413308899474,2.4025891661562246e-06,380,380,1.242718534218737e-05
femur_left_upper_neck_bmc,-0.331956052003522,3.6698758786288667e-06,355,356,1.866038582353661e-05
body_comp_total_total_mass,0.36266798755617197,3.7623900423817e-06,373,368,1.88119502119085e-05
femur_right_troch_bmd,-0.35774180725461807,3.8364877603853425e-06,356,356,1.8867972592059062e-05
femur_shaft_mean_bmd,-0.35823280003969793,4.025144943742855e-06,355,356,1.947650779230414e-05
body_comp_total_left_tissue_mass,0.35108557004591134,4.419240628117519e-06,373,368,2.1044002991035805e-05
total_scan_sat_mass,0.01665782801277778,4.510432642497643e-06,372,363,2.11426530117077e-05
body_comp_total_tissue_mass,0.35013550965792856,4.7387071238410696e-06,373,368,2.1870955956189553e-05
body_comp_total_right_tissue_mass,0.3465697527016767,6.1514664138501775e-06,373,368,2.7961210972046262e-05
body_comp_total_left_total_mass,0.34560897023553255,6.632252149718634e-06,373,368,2.96966514166506e-05
femur_troch_mean_bmd,-0.35092558951305997,8.351378763263843e-06,355,356,3.684431807322284e-05
femur_troch_mean_area,0.367500251726065,9.14609335946338e-06,355,356,3.9765623302014694e-05
body_comp_total_right_total_mass,0.33951656356523624,9.876231548012585e-06,373,368,4.232670663433965e-05
femur_right_troch_area,0.3476168647353818,1.5173876436594013e-05,356,356,6.411497085884795e-05
spine_l1_l3_bmd,-0.3515029873503433,2.171195658190464e-05,291,287,9.0466485757936e-05
femur_left_troch_area,0.36329546236420956,2.5084507189997794e-05,355,356,0.000103087015849306
femur_left_troch_bmd,-0.3321802779220938,3.9416464363615346e-05,355,356,0.00015979647714979195
femur_left_shaft_bmd,-0.31767166075065156,4.727722304453977e-05,355,356,0.00018910889217815908
body_comp_arm_left_tissue_mass,0.30672244406158006,0.00010977169575557952,373,368,0.00043330932535097174
body_ribs_bmd,-0.20783657244752585,0.00013624830259881474,373,368,0.0005308375425927848
body_comp_arm_left_total_mass,0.3010678270574652,0.00014087630888761144,373,368,0.000541831957260044
spine_l3_bmd,-0.26347331640510885,0.00017353676465253214,357,360,0.0006590003720982234
body_comp_android_lean_mass,0.30009407132742383,0.00017816702534350414,373,368,0.0006681263450381405
hips,0.29554094474728726,0.00019917895373010037,378,379,0.0007376998286300013
body_comp_legs_fat_mass,0.2840459953034355,0.00020570612025967854,373,368,0.000752583366803702
body_comp_android_fat_free_mass,0.2968981460890997,0.00020879672250585142,373,368,0.0007546869488163305
spine_l2_l3_bmd,-0.2706472820578316,0.00022812187965719148,354,357,0.0008147209987756838
body_comp_leg_right_fat_mass,0.2748652987627592,0.0002360924831373324,373,368,0.0008332675875435261
body_comp_arms_tissue_mass,0.3080304557407133,0.0002444858310550061,373,368,0.0008528575501918816
body_comp_leg_left_fat_mass,0.2911428646898126,0.0002506275285070936,373,368,0.0008642328569210126
spine_l1_l4_bmd,-0.2808322215795753,0.0002714912400321162,293,288,0.0009255383182913053
body_comp_arms_total_mass,0.30165857839735816,0.00035462428854365907,373,368,0.0011953627703718845
body_total_right_bmd,-0.2785951728771523,0.00038039506108518845,373,368,0.0012525618022594472
body_legs_area,0.2756364708218516,0.00037791813056833423,373,368,0.0012525618022594472
body_leg_left_area,0.2713151664908809,0.0003841189526928971,373,368,0.0012525618022594472
