Phenotype,Cohens_d,P_Value,N_Q1,N_Q4,Adjusted_P_Value
total_scan_vat_area,0.45999716344771696,2.3661637915343243e-08,297,299,3.549245687301486e-06
total_scan_vat_volume,0.4642541031122877,2.3180825711934873e-08,297,299,3.549245687301486e-06
femur_wards_mean_area,0.3667994615302741,5.266329386639716e-06,288,281,0.00019748735199898935
femur_right_neck_area,0.3579506901710178,3.896313001186951e-06,288,283,0.00019748735199898935
waist,0.3726296045732229,2.8400859514407897e-06,304,306,0.00019748735199898935
femur_right_wards_area,0.3625807823336493,2.7916432321758493e-06,288,283,0.00019748735199898935
femur_right_upper_neck_area,0.3202770328760935,5.202182817977556e-06,288,283,0.00019748735199898935
femur_right_lower_neck_area,0.3610465985803793,4.207543759128887e-06,288,283,0.00019748735199898935
femur_lower_neck_mean_area,0.3603411075583838,7.4755561335776266e-06,288,281,0.0002491852044525876
femur_neck_mean_area,0.3565126760571548,9.18335390010073e-06,288,281,0.00025045510636638354
femur_right_total_area,0.37596111777191565,8.600357857549988e-06,288,283,0.00025045510636638354
femur_total_mean_area,0.37966152375563395,1.4587564435315204e-05,288,281,0.00036461284392082574
femur_upper_neck_mean_area,0.30841554566318574,1.5799889903235783e-05,288,281,0.00036461284392082574
body_comp_android_tissue_mass,0.346962134273314,1.7688990927581568e-05,300,299,0.00037017482784782666
body_comp_android_total_mass,0.3459436037615522,1.8508741392391333e-05,300,299,0.00037017482784782666
body_leg_right_area,0.33985635030918876,2.0430959568979884e-05,300,299,0.0003830804919183728
body_comp_android_fat_mass,0.33525123868949,2.555634339754094e-05,300,299,0.0004509942952507225
femur_left_wards_area,0.3104524738265647,3.0839687379192723e-05,288,282,0.0005139947896532121
femur_left_total_area,0.36955827950818726,3.385466204970276e-05,288,281,0.0005345472955216225
body_legs_area,0.3261274219215592,4.5039589381975204e-05,300,299,0.0006755938407296281
femur_left_lower_neck_area,0.2912270071927817,5.258750230627112e-05,288,282,0.0007512500329467302
femur_left_neck_area,0.28482994563265673,5.673018318557025e-05,288,282,0.000773593407075958
spine_l1_l4_average_width,0.3325113196876472,6.695317051819288e-05,286,279,0.000836914631477411
femur_left_upper_neck_area,0.23960483028214968,6.645663006661268e-05,288,282,0.000836914631477411
femur_left_upper_neck_bmd,-0.3359291170922315,7.147245033390645e-05,288,282,0.0008576694040068774
femur_right_wards_bmd,-0.34880467775934226,9.167604700756777e-05,288,283,0.0010578005423950126
body_leg_left_area,0.3043347231149842,0.00012560581954890754,300,299,0.0013821593015508078
spine_l1_l3_average_width,0.33127692556531757,0.00012900153481140873,286,279,0.0013821593015508078
spine_l2_l4_average_width,0.3109488444331622,0.0001339656553288741,287,282,0.0013844997349514718
femur_right_troch_area,0.28753875006425,0.000147679971728157,288,283,0.0013844997349514718
femur_upper_neck_mean_bmd,-0.3177485231553833,0.00014526396314681975,288,281,0.0013844997349514718
femur_wards_mean_bmd,-0.33926579088420017,0.0001420106628724263,288,281,0.0013844997349514718
spine_l1_average_width,0.3327139491707265,0.00016210422844650481,286,284,0.0014736748040591347
body_comp_trunk_right_fat_mass,0.30302801833113563,0.00020666873593154744,300,299,0.0018235476699842421
spine_l2_l3_average_width,0.31125227392579974,0.0002458430864859651,287,282,0.0020273080989131843
body_comp_trunk_fat_mass,0.2958640282993145,0.00025670547997865326,300,299,0.0020273080989131843
