Disease,N_positives,Sex_flag,Covariates (age/sex/BMI)_mean,Covariates (age/sex/BMI)_SE,Covariates (age/sex/BMI)_N,DXA-FM + Covariates_mean,DXA-FM + Covariates_SE,DXA-FM + Covariates_N,DINOv3 + Covariates_mean,DINOv3 + Covariates_SE,DINOv3 + Covariates_N,DXA Tabular + Covariates_mean,DXA Tabular + Covariates_SE,DXA Tabular + Covariates_N
ADHD,1835,,0.5791,0.0055,10,0.5923,0.0062,10,0.5817,0.0048,10,0.5791,0.0048,10
Allergy,2246,,0.5901,0.0052,10,0.6001,0.0048,10,0.5975,0.0047,10,0.6003,0.005,10
Anal Fissure,665,,0.5004,0.01,10,0.5232,0.0077,10,0.4944,0.0111,10,0.5083,0.0085,10
Anemia,523,,0.6666,0.0058,10,0.6846,0.0072,10,0.6745,0.0074,10,0.6755,0.006,10
Anxiety,390,,0.6268,0.0123,10,0.648,0.0141,10,0.639,0.0145,10,0.6352,0.0138,10
Asthma,573,,0.5647,0.012,10,0.5686,0.0082,10,0.6155,0.0086,10,0.5751,0.0072,10
Atopic Derm.,361,,0.5779,0.0101,10,0.5717,0.0144,10,0.5834,0.0131,10,0.5693,0.0109,10
B12 Deficiency,528,,0.5654,0.0086,10,0.5918,0.0068,10,0.5811,0.0057,10,0.5812,0.0086,10
BCC,224,,0.676,0.0079,10,0.6698,0.0078,10,0.6698,0.0095,10,0.6773,0.0104,10
Back Pain ,2055,,0.5457,0.0044,10,0.5792,0.0053,10,0.5655,0.0027,10,0.5743,0.0059,10
Breast Cancer,142,Women's Disease,0.538,0.0091,10,0.6332,0.0248,10,0.5911,0.0281,10,0.5433,0.0225,10
Chr. Sinusitis,381,,0.6227,0.0089,10,0.6174,0.011,10,0.6159,0.0108,10,0.614,0.0121,10
Covid-19,785,,0.5029,0.009,10,0.5553,0.0055,10,0.5299,0.0106,10,0.5239,0.0086,10
Depression,390,,0.6142,0.0108,10,0.6319,0.0128,10,0.6473,0.0101,10,0.6182,0.0103,10
Diabetes,133,,0.5605,0.0216,10,0.7377,0.0125,10,0.6788,0.0186,10,0.6678,0.0186,10
Endometriosis,244,Women's Disease,0.7777,0.0131,10,0.7763,0.0137,10,0.7768,0.0132,10,0.7766,0.0131,10
Episodic Vertigo,276,,0.6155,0.0148,10,0.6164,0.0145,10,0.6322,0.0127,10,0.6232,0.0139,10
Fatty Liver,606,,0.7207,0.0084,10,0.7738,0.0072,10,0.7601,0.0069,10,0.7452,0.0055,10
Fibromyalgia,129,,0.7254,0.0167,10,0.7569,0.0174,10,0.7471,0.0178,10,0.7427,0.0148,10
Folic Acid Deficiency,100,,0.6067,0.0307,10,0.5931,0.0225,10,0.5431,0.0326,10,0.6172,0.0236,10
Fracture,1004,,0.5264,0.0094,10,0.6019,0.0067,10,0.5895,0.0079,10,0.5769,0.0056,10
G6Pd,114,,0.5807,0.0121,10,0.5723,0.0177,10,0.5942,0.0176,10,0.5245,0.0203,10
Gallstones,419,,0.6878,0.014,10,0.7135,0.012,10,0.6865,0.0126,10,0.6918,0.0136,10
Haemorrhoids,2167,,0.5225,0.0041,10,0.5241,0.0039,10,0.5209,0.003,10,0.5215,0.0037,10
Headache,254,,0.628,0.0131,10,0.6286,0.0155,10,0.6313,0.0127,10,0.6479,0.0179,10
Hearing Loss,438,,0.6563,0.014,10,0.6553,0.0126,10,0.655,0.0128,10,0.6593,0.0143,10
Heart Valve Disease,156,,0.546,0.0148,10,0.5286,0.0137,10,0.4891,0.0148,10,0.5139,0.0113,10
Hyperlipidemia,2289,,0.7006,0.005,10,0.735,0.0049,10,0.7213,0.0055,10,0.7265,0.0048,10
Hypertension,1095,,0.7763,0.0069,10,0.801,0.0063,10,0.796,0.0062,10,0.7873,0.0065,10
Hyperthyroidism,149,,0.6072,0.0256,10,0.6215,0.0262,10,0.6027,0.0236,10,0.6026,0.0268,10
Hypothyroidism,696,,0.6705,0.0064,10,0.6659,0.007,10,0.6592,0.0071,10,0.6744,0.0062,10
IBS,407,,0.6345,0.0075,10,0.6428,0.0067,10,0.6375,0.0071,10,0.6429,0.0078,10
Insomnia,173,,0.5055,0.014,10,0.5223,0.0136,10,0.5538,0.0194,10,0.5579,0.0171,10
Ischemic HD,123,,0.7513,0.0133,10,0.7521,0.0151,10,0.7434,0.0096,10,0.7561,0.0146,10
Migraine,623,,0.6576,0.0066,10,0.6753,0.0064,10,0.6612,0.0057,10,0.6652,0.0083,10
Obesity,562,,0.8948,0.0042,10,0.9077,0.0042,10,0.9049,0.0042,10,0.8996,0.004,10
Oral Aphthae,397,,0.5418,0.0119,10,0.5268,0.0092,10,0.5215,0.0082,10,0.5722,0.0131,10
Osteoarthritis,303,,0.7376,0.0126,10,0.7597,0.0124,10,0.7426,0.0113,10,0.7341,0.0123,10
Osteopenia,330,,0.8192,0.0077,10,0.8959,0.008,10,0.8562,0.0094,10,0.9098,0.0056,10
Osteoporosis,174,,0.8486,0.01,10,0.9175,0.0091,10,0.8879,0.0086,10,0.942,0.0042,10
PCOS,237,Women's Disease,0.6169,0.0102,10,0.6165,0.0086,10,0.6147,0.0093,10,0.6122,0.0097,10
Peptic Dis,207,,0.6139,0.0161,10,0.6023,0.0178,10,0.6023,0.0157,10,0.6088,0.0151,10
Peptic Ulcer,1132,,0.5501,0.0112,10,0.5607,0.01,10,0.5517,0.0072,10,0.5531,0.0099,10
Prediabetes,832,,0.6804,0.0077,10,0.7217,0.0072,10,0.712,0.0064,10,0.7148,0.007,10
Psoriasis,291,,0.5688,0.015,10,0.5299,0.012,10,0.5188,0.0113,10,0.5459,0.0099,10
Sleep Apnea,309,,0.7537,0.0109,10,0.7738,0.0079,10,0.7663,0.0087,10,0.7527,0.0094,10
UTI,1090,Women's Disease,0.7576,0.0023,10,0.7736,0.0046,10,0.77,0.0056,10,0.7669,0.0059,10
Urinary Stones,307,,0.6975,0.0159,10,0.735,0.0129,10,0.7117,0.0135,10,0.7009,0.0138,10
