disease,N_positives,N_total,Prevalence,Covariates (age/sex/BMI)_mean,Covariates (age/sex/BMI)_SE,Covariates (age/sex/BMI)_N,Covariates (age/sex/BMI)_PR_mean,Covariates (age/sex/BMI)_PR_SE,DXA-FM + Covariates_mean,DXA-FM + Covariates_SE,DXA-FM + Covariates_N,DXA-FM + Covariates_PR_mean,DXA-FM + Covariates_PR_SE,DINOv3 + Covariates_mean,DINOv3 + Covariates_SE,DINOv3 + Covariates_N,DINOv3 + Covariates_PR_mean,DINOv3 + Covariates_PR_SE,DXA Tabular + Covariates_mean,DXA Tabular + Covariates_SE,DXA Tabular + Covariates_N,DXA Tabular + Covariates_PR_mean,DXA Tabular + Covariates_PR_SE,P_LeJEPAcov_vs_Cov_raw,P_LeJEPAcov_vs_Cov_adj,P_DINOcov_vs_Cov_raw,P_DINOcov_vs_Cov_adj,P_Tabcov_vs_Cov_raw,P_Tabcov_vs_Cov_adj,P_LeJEPAcov_vs_Tabcov_raw,P_LeJEPAcov_vs_Tabcov_adj,P_LeJEPAcov_vs_DINOcov_raw,P_LeJEPAcov_vs_DINOcov_adj
dis__anemia,1740,25945,0.06706,0.6184,0.0041,10,0.106,0.002,0.649,0.0042,10,0.1099,0.0017,0.6335,0.0049,10,0.1059,0.0017,0.6256,0.0052,10,0.0981,0.0015,0.0009765625,0.002178,0.0009765625,0.00236,0.0322265625,0.062305,0.0009765625,0.00354,0.0009765625,0.00944
dis__anxiety,1705,25945,0.06572,0.5866,0.0058,10,0.0935,0.0027,0.6194,0.0028,10,0.1044,0.0018,0.6102,0.0038,10,0.0957,0.0017,0.5959,0.0038,10,0.0939,0.0023,0.0009765625,0.002178,0.0009765625,0.00236,0.009765625,0.021785,0.0009765625,0.00354,0.0048828125,0.010892
dis__asthma,3544,25945,0.1366,0.5509,0.0036,10,0.1636,0.0022,0.6184,0.0047,10,0.2129,0.0037,0.6166,0.0035,10,0.2174,0.0028,0.5842,0.0043,10,0.1794,0.0025,0.0009765625,0.002178,0.0009765625,0.00236,0.0009765625,0.002832,0.0009765625,0.00354,0.1611328125,0.222517
dis__atrial_fibrillation,942,25945,0.03631,0.7131,0.0065,10,0.0878,0.0037,0.7153,0.0052,10,0.1003,0.0033,0.7031,0.0065,10,0.096,0.0049,0.7064,0.007,10,0.0919,0.0039,0.5390625,0.679688,0.9990234375,1.0,0.986328125,1.0,0.0654296875,0.111615,0.013671875,0.023323
dis__back_pain,4744,25945,0.18285,0.5407,0.0026,10,0.2028,0.0017,0.5878,0.0032,10,0.2362,0.0016,0.5889,0.0037,10,0.2373,0.0026,0.5752,0.0036,10,0.2301,0.0029,0.0009765625,0.002178,0.0009765625,0.00236,0.0009765625,0.002832,0.009765625,0.0236,0.75390625,0.840895
dis__celiac,401,25945,0.01546,0.5679,0.0082,10,0.019,0.0007,0.6295,0.0051,10,0.0249,0.0006,0.6593,0.0065,10,0.0299,0.0011,0.6109,0.005,10,0.0261,0.0021,0.0009765625,0.002178,0.0009765625,0.00236,0.0009765625,0.002832,0.0068359375,0.018022,0.9990234375,0.999023
dis__copd,500,25945,0.01927,0.6579,0.0089,10,0.0401,0.0023,0.7544,0.0075,10,0.1002,0.0054,0.7651,0.0068,10,0.1079,0.0065,0.6991,0.0073,10,0.0543,0.0023,0.0009765625,0.002178,0.0009765625,0.00236,0.0009765625,0.002832,0.0009765625,0.00354,0.9580078125,0.999023
dis__depression,2818,25945,0.10861,0.6108,0.0037,10,0.1636,0.003,0.6202,0.0033,10,0.1681,0.0024,0.6217,0.0024,10,0.164,0.0021,0.6171,0.0032,10,0.165,0.0026,0.009765625,0.0177,0.0009765625,0.00236,0.0966796875,0.164924,0.0966796875,0.155762,0.7216796875,0.837148
dis__diabetes,1138,25945,0.04386,0.7256,0.0035,10,0.1166,0.004,0.8406,0.003,10,0.2701,0.007,0.835,0.0025,10,0.2598,0.0055,0.8247,0.0053,10,0.2395,0.0117,0.0009765625,0.002178,0.0009765625,0.00236,0.0009765625,0.002832,0.001953125,0.006293,0.013671875,0.023323
dis__endometriosis,547,25945,0.02108,0.7918,0.0032,10,0.0549,0.001,0.7996,0.0033,10,0.0607,0.0024,0.7786,0.0043,10,0.0567,0.0024,0.7922,0.0031,10,0.0618,0.003,0.0322265625,0.049188,0.9931640625,1.0,0.4609375,0.668359,0.0244140625,0.04425,0.0009765625,0.00944
