feature,system,cohens_d_B_minus_A,ci_low,ci_high,p_value,adj_p_value,n_ClusterA,n_ClusterB,significant_q05
total_scan_sat_area,body_composition,-0.5240562395218552,-0.6100760612998727,-0.4380364177438377,2.8708098658863942e-34,3.053497766442801e-33,1075,1073,True
total_scan_sat_mass,body_composition,0.0735011637886718,-0.0111076696652607,0.1581099972426044,2.5971706613994887e-30,2.170492624169573e-29,1075,1073,True
total_scan_sat_volume,body_composition,-0.5150915863951362,-0.6010629739383265,-0.4291201988519458,8.737404016360859e-34,8.518968915951839e-33,1075,1073,True
total_scan_vat_area,body_composition,-0.0970330373322307,-0.1821209417381841,-0.0119451329262773,3.4252045562764475e-05,6.909464363523178e-05,1068,1057,True
total_scan_vat_volume,body_composition,-0.0941142010316428,-0.1791991418981041,-0.0090292601651815,3.652020167948551e-05,7.24214168898272e-05,1068,1057,True
body_comp_leg_left_fat_free_mass,body_composition,0.362840617950144,0.2776068955522958,0.4480743403479922,7.5796466892272015e-16,1.927866657912136e-15,1076,1074,True
body_comp_trunk_fat_free_mass,body_composition,0.5019378792076581,0.4160760573082167,0.5877997011070996,4.259034535961113e-29,2.768372448374723e-28,1076,1074,True
body_comp_total_right_tissue_mass,body_composition,-0.1346367905950405,-0.2192734470228329,-0.050000134167248,0.0001168454120741,0.0002241133313552,1076,1074,True
body_comp_gynoid_total_mass,body_composition,-0.2537069615192332,-0.3385873146783553,-0.168826608360111,1.0188483924784243e-09,2.2075048503699193e-09,1076,1074,True
body_comp_trunk_left_bone_mass,body_composition,0.1459885936540468,0.0613351258269211,0.2306420614811725,0.0007608979950608,0.0011561696808067,1076,1074,True
body_comp_leg_right_lean_mass,body_composition,0.379974571335984,0.2946741727509848,0.4652749699209833,3.7688606643431786e-17,1.0755041408003706e-16,1076,1074,True
body_comp_android_tissue_mass,body_composition,-0.0936839145277329,-0.1782712068165329,-0.0090966222389328,0.0011124103114868,0.0016269000805495,1076,1074,True
body_comp_trunk_lean_mass,body_composition,0.5086768597186835,0.4227796133102252,0.5945741061271418,9.602864555659102e-30,7.022094706325716e-29,1076,1074,True
body_comp_total_lean_mass,body_composition,0.48871968685429,0.4029260174270306,0.5745133562815494,2.0491186307110907e-27,1.042377738231294e-26,1076,1074,True
body_comp_trunk_right_fat_mass,body_composition,-0.3731976703349419,-0.4584713354004235,-0.2879240052694604,6.010582931466083e-22,2.0683476558280347e-21,1076,1074,True
body_comp_arms_lean_mass,body_composition,0.5036689282532262,0.4177980505236509,0.5895398059828014,6.113028933146011e-30,4.7681625678538885e-29,1076,1074,True
body_comp_legs_total_mass,body_composition,-0.2960071070046739,-0.3810097449703803,-0.2110044690389675,1.5858634660546102e-12,3.710920510567788e-12,1076,1074,True
body_comp_total_right_fat_mass,body_composition,-0.6386749038035462,-0.7253443330761453,-0.5520054745309471,8.607912982394627e-53,2.0142516378803428e-51,1076,1074,True
