Feature_Index,Cohort,Feature_Name,Measurement_Category
1,UKBB,Android bone mass - visit 2,Composition
2,UKBB,Android fat mass - visit 2,Composition
3,UKBB,Android lean mass - visit 2,Composition
4,UKBB,Android tissue fat percentage - visit 2,Composition
5,UKBB,Android total mass - visit 2,Composition
6,UKBB,Appendicular lean mass - visit 2,Composition
7,UKBB,Arm BMC (bone mineral content) (left) - visit 2,Density/Structure
8,UKBB,Arm BMC (bone mineral content) (right) - visit 2,Density/Structure
9,UKBB,Arm BMD (bone mineral density) (left) - visit 2,Density/Structure
10,UKBB,Arm BMD (bone mineral density) (right) - visit 2,Density/Structure
11,UKBB,Arm bone area (left) - visit 2,Density/Structure
12,UKBB,Arm bone area (right) - visit 2,Density/Structure
13,UKBB,Arm fat mass (left) - visit 2,Composition
14,UKBB,Arm fat mass (right) - visit 2,Composition
15,UKBB,Arm lean mass (left) - visit 2,Composition
16,UKBB,Arm lean mass (right) - visit 2,Composition
17,UKBB,Arm tissue fat percentage (left) - visit 2,Composition
18,UKBB,Arm tissue fat percentage (right) - visit 2,Composition
19,UKBB,Arm total mass (left) - visit 2,Composition
20,UKBB,Arm total mass (right) - visit 2,Composition
21,UKBB,Arms BMC (bone mineral content) - visit 2,Density/Structure
22,UKBB,Arms BMD (bone mineral density) - visit 2,Density/Structure
23,UKBB,Arms combined bone area - visit 2,Density/Structure
24,UKBB,Arms fat mass - visit 2,Composition
25,UKBB,Arms lean mass - visit 2,Composition
26,UKBB,Arms tissue fat percentage - visit 2,Composition
27,UKBB,Arms total mass - visit 2,Composition
28,UKBB,Femur lower neck BMD (bone mineral density) (left) - visit 2,Density/Structure
29,UKBB,Femur lower neck BMD (bone mineral density) (right) - visit 2,Density/Structure
30,UKBB,Femur neck BMD (bone mineral density) (left) - visit 2,Density/Structure
31,UKBB,Femur neck BMD (bone mineral density) (right) - visit 2,Density/Structure
32,UKBB,Femur neck BMD (bone mineral density) T-score (left) - visit 2,Density/Structure
33,UKBB,Femur neck BMD (bone mineral density) T-score (right) - visit 2,Density/Structure
34,UKBB,Femur shaft BMD (bone mineral density) (left) - visit 2,Density/Structure
35,UKBB,Femur shaft BMD (bone mineral density) (right) - visit 2,Density/Structure
36,UKBB,Femur total BMD (bone mineral density) (left) - visit 2,Density/Structure
37,UKBB,Femur total BMD (bone mineral density) (right) - visit 2,Density/Structure
38,UKBB,Femur total BMD (bone mineral density) T-score (left) - visit 2,Density/Structure
39,UKBB,Femur total BMD (bone mineral density) T-score (right) - visit 2,Density/Structure
40,UKBB,Femur troch BMD (bone mineral density) (left) - visit 2,Density/Structure
41,UKBB,Femur troch BMD (bone mineral density) (right) - visit 2,Density/Structure
42,UKBB,Femur troch BMD (bone mineral density) T-score (left) - visit 2,Density/Structure
43,UKBB,Femur troch BMD (bone mineral density) T-score (right) - visit 2,Density/Structure
44,UKBB,Femur upper neck BMD (bone mineral density) (left) - visit 2,Density/Structure
45,UKBB,Femur upper neck BMD (bone mineral density) (right) - visit 2,Density/Structure
46,UKBB,Femur upper neck BMD (bone mineral density) T-score (left) - visit 2,Density/Structure
47,UKBB,Femur upper neck BMD (bone mineral density) T-score (right) - visit 2,Density/Structure
48,UKBB,Femur wards BMD (bone mineral density) (left) - visit 2,Density/Structure
49,UKBB,Femur wards BMD (bone mineral density) (right) - visit 2,Density/Structure
50,UKBB,Femur wards BMD (bone mineral density) T-score (left) - visit 2,Density/Structure
51,UKBB,Femur wards BMD (bone mineral density) T-score (right) - visit 2,Density/Structure
52,UKBB,Gynoid bone mass - visit 2,Composition
53,UKBB,Gynoid fat mass - visit 2,Composition
54,UKBB,Gynoid lean mass - visit 2,Composition
55,UKBB,Gynoid tissue fat percentage - visit 2,Composition
56,UKBB,Gynoid total mass - visit 2,Composition
57,UKBB,Head BMC (bone mineral content) - visit 2,Density/Structure
58,UKBB,Head BMD (bone mineral density) - visit 2,Density/Structure
59,UKBB,Head bone area - visit 2,Density/Structure
60,UKBB,L1-L4 BMC (bone mineral content) - visit 2,Density/Structure
61,UKBB,L1-L4 BMD (bone mineral density) - visit 2,Density/Structure
62,UKBB,L1-L4 BMD (bone mineral density) T-score - visit 2,Density/Structure
63,UKBB,L1-L4 area - visit 2,Density/Structure
64,UKBB,L1-L4 average height - visit 2,Density/Structure
65,UKBB,L1-L4 average width - visit 2,Density/Structure
66,UKBB,Leg BMC (bone mineral content) (left) - visit 2,Density/Structure
67,UKBB,Leg BMC (bone mineral content) (right) - visit 2,Density/Structure
68,UKBB,Leg BMD (bone mineral density) (left) - visit 2,Density/Structure
69,UKBB,Leg BMD (bone mineral density) (right) - visit 2,Density/Structure
70,UKBB,Leg bone area (left) - visit 2,Density/Structure
71,UKBB,Leg bone area (right) - visit 2,Density/Structure
72,UKBB,Leg fat mass (left) - visit 2,Composition
73,UKBB,Leg fat mass (right) - visit 2,Composition
74,UKBB,Leg lean mass (left) - visit 2,Composition
75,UKBB,Leg lean mass (right) - visit 2,Composition
76,UKBB,Leg tissue fat percentage (left) - visit 2,Composition
77,UKBB,Leg tissue fat percentage (right) - visit 2,Composition
78,UKBB,Leg total mass (left) - visit 2,Composition
79,UKBB,Leg total mass (right) - visit 2,Composition
80,UKBB,Legs BMC (bone mineral content) - visit 2,Density/Structure
81,UKBB,Legs BMD (bone mineral density) - visit 2,Density/Structure
82,UKBB,Legs combined bone area - visit 2,Density/Structure
83,UKBB,Legs fat mass - visit 2,Composition
84,UKBB,Legs lean mass - visit 2,Composition
85,UKBB,Legs tissue fat percentage - visit 2,Composition
86,UKBB,Legs total mass - visit 2,Composition
87,UKBB,Pelvis BMC (bone mineral content) - visit 2,Density/Structure
88,UKBB,Pelvis BMD (bone mineral density) - visit 2,Density/Structure
89,UKBB,Pelvis bone area - visit 2,Density/Structure
90,UKBB,Ribs BMC (bone mineral content) - visit 2,Density/Structure
