Index,Feature_Name,Measurement_Category
1,body_arm_left_area,Bone Structure
2,body_arm_left_bmc,Bone Mineral Content
3,body_arm_left_bmd,Bone Mineral Density
4,body_arm_right_area,Bone Structure
5,body_arm_right_bmc,Bone Mineral Content
6,body_arm_right_bmd,Bone Mineral Density
7,body_arms_area,Bone Structure
8,body_arms_bmc,Bone Mineral Content
9,body_arms_bmd,Bone Mineral Density
10,body_head_area,Bone Structure
11,body_head_bmc,Bone Mineral Content
12,body_head_bmd,Bone Mineral Density
13,body_leg_left_area,Bone Structure
14,body_leg_left_bmc,Bone Mineral Content
15,body_leg_left_bmd,Bone Mineral Density
16,body_leg_right_area,Bone Structure
17,body_leg_right_bmc,Bone Mineral Content
18,body_leg_right_bmd,Bone Mineral Density
19,body_legs_area,Bone Structure
20,body_legs_bmc,Bone Mineral Content
21,body_legs_bmd,Bone Mineral Density
22,body_pelvis_area,Bone Structure
23,body_pelvis_bmc,Bone Mineral Content
24,body_pelvis_bmd,Bone Mineral Density
25,body_ribs_area,Bone Structure
26,body_ribs_bmc,Bone Mineral Content
27,body_ribs_bmd,Bone Mineral Density
28,body_spine_area,Bone Structure
29,body_spine_bmc,Bone Mineral Content
30,body_spine_bmd,Bone Mineral Density
31,body_total_area,Bone Structure
32,body_total_bmc,Bone Mineral Content
33,body_total_bmd,Bone Mineral Density
34,body_total_left_area,Bone Structure
35,body_total_left_bmc,Bone Mineral Content
36,body_total_left_bmd,Bone Mineral Density
37,body_total_right_area,Bone Structure
38,body_total_right_bmc,Bone Mineral Content
39,body_total_right_bmd,Bone Mineral Density
40,body_trunk_area,Bone Structure
41,body_trunk_bmc,Bone Mineral Content
42,body_trunk_bmd,Bone Mineral Density
43,body_trunk_left_area,Bone Structure
44,body_trunk_left_bmc,Bone Mineral Content
45,body_trunk_left_bmd,Bone Mineral Density
46,body_trunk_right_area,Bone Structure
47,body_trunk_right_bmc,Bone Mineral Content
48,body_trunk_right_bmd,Bone Mineral Density
49,femur_left_lower_neck_area,Bone Structure
50,femur_left_lower_neck_bmc,Bone Mineral Content
51,femur_left_lower_neck_bmd,Bone Mineral Density
52,femur_left_neck_area,Bone Structure
53,femur_left_neck_bmc,Bone Mineral Content
54,femur_left_neck_bmd,Bone Mineral Density
55,femur_left_shaft_area,Bone Structure
56,femur_left_shaft_bmc,Bone Mineral Content
