Index,Feature_Name,Measurement_Category
1,Android bone mass - visit 2,Composition
2,Android fat mass - visit 2,Composition
3,Android lean mass - visit 2,Composition
4,Android tissue fat percentage - visit 2,Composition
5,Android total mass - visit 2,Composition
6,Appendicular lean mass - visit 2,Composition
7,Arm BMC (bone mineral content) (left) - visit 2,Density/Structure
8,Arm BMC (bone mineral content) (right) - visit 2,Density/Structure
9,Arm BMD (bone mineral density) (left) - visit 2,Density/Structure
10,Arm BMD (bone mineral density) (right) - visit 2,Density/Structure
11,Arm bone area (left) - visit 2,Density/Structure
12,Arm bone area (right) - visit 2,Density/Structure
13,Arm fat mass (left) - visit 2,Composition
14,Arm fat mass (right) - visit 2,Composition
15,Arm lean mass (left) - visit 2,Composition
16,Arm lean mass (right) - visit 2,Composition
17,Arm tissue fat percentage (left) - visit 2,Composition
18,Arm tissue fat percentage (right) - visit 2,Composition
19,Arm total mass (left) - visit 2,Composition
20,Arm total mass (right) - visit 2,Composition
21,Arms BMC (bone mineral content) - visit 2,Density/Structure
22,Arms BMD (bone mineral density) - visit 2,Density/Structure
23,Arms combined bone area - visit 2,Density/Structure
24,Arms fat mass - visit 2,Composition
25,Arms lean mass - visit 2,Composition
26,Arms tissue fat percentage - visit 2,Composition
27,Arms total mass - visit 2,Composition
28,Femur lower neck BMD (bone mineral density) (left) - visit 2,Density/Structure
29,Femur lower neck BMD (bone mineral density) (right) - visit 2,Density/Structure
30,Femur neck BMD (bone mineral density) (left) - visit 2,Density/Structure
31,Femur neck BMD (bone mineral density) (right) - visit 2,Density/Structure
32,Femur neck BMD (bone mineral density) T-score (left) - visit 2,Density/Structure
33,Femur neck BMD (bone mineral density) T-score (right) - visit 2,Density/Structure
34,Femur shaft BMD (bone mineral density) (left) - visit 2,Density/Structure
35,Femur shaft BMD (bone mineral density) (right) - visit 2,Density/Structure
36,Femur total BMD (bone mineral density) (left) - visit 2,Density/Structure
37,Femur total BMD (bone mineral density) (right) - visit 2,Density/Structure
38,Femur total BMD (bone mineral density) T-score (left) - visit 2,Density/Structure
39,Femur total BMD (bone mineral density) T-score (right) - visit 2,Density/Structure
40,Femur troch BMD (bone mineral density) (left) - visit 2,Density/Structure
41,Femur troch BMD (bone mineral density) (right) - visit 2,Density/Structure
42,Femur troch BMD (bone mineral density) T-score (left) - visit 2,Density/Structure
43,Femur troch BMD (bone mineral density) T-score (right) - visit 2,Density/Structure
44,Femur upper neck BMD (bone mineral density) (left) - visit 2,Density/Structure
45,Femur upper neck BMD (bone mineral density) (right) - visit 2,Density/Structure
46,Femur upper neck BMD (bone mineral density) T-score (left) - visit 2,Density/Structure
47,Femur upper neck BMD (bone mineral density) T-score (right) - visit 2,Density/Structure
48,Femur wards BMD (bone mineral density) (left) - visit 2,Density/Structure
49,Femur wards BMD (bone mineral density) (right) - visit 2,Density/Structure
50,Femur wards BMD (bone mineral density) T-score (left) - visit 2,Density/Structure
51,Femur wards BMD (bone mineral density) T-score (right) - visit 2,Density/Structure
52,Gynoid bone mass - visit 2,Composition
53,Gynoid fat mass - visit 2,Composition
54,Gynoid lean mass - visit 2,Composition
55,Gynoid tissue fat percentage - visit 2,Composition
56,Gynoid total mass - visit 2,Composition
57,Head BMC (bone mineral content) - visit 2,Density/Structure
58,Head BMD (bone mineral density) - visit 2,Density/Structure
59,Head bone area - visit 2,Density/Structure
60,L1-L4 BMC (bone mineral content) - visit 2,Density/Structure
61,L1-L4 BMD (bone mineral density) - visit 2,Density/Structure
62,L1-L4 BMD (bone mineral density) T-score - visit 2,Density/Structure
63,L1-L4 area - visit 2,Density/Structure
64,L1-L4 average height - visit 2,Density/Structure
65,L1-L4 average width - visit 2,Density/Structure
66,Leg BMC (bone mineral content) (left) - visit 2,Density/Structure
67,Leg BMC (bone mineral content) (right) - visit 2,Density/Structure
68,Leg BMD (bone mineral density) (left) - visit 2,Density/Structure
69,Leg BMD (bone mineral density) (right) - visit 2,Density/Structure
70,Leg bone area (left) - visit 2,Density/Structure
71,Leg bone area (right) - visit 2,Density/Structure
72,Leg fat mass (left) - visit 2,Composition
73,Leg fat mass (right) - visit 2,Composition
74,Leg lean mass (left) - visit 2,Composition
75,Leg lean mass (right) - visit 2,Composition
76,Leg tissue fat percentage (left) - visit 2,Composition
77,Leg tissue fat percentage (right) - visit 2,Composition
78,Leg total mass (left) - visit 2,Composition
79,Leg total mass (right) - visit 2,Composition
80,Legs BMC (bone mineral content) - visit 2,Density/Structure
81,Legs BMD (bone mineral density) - visit 2,Density/Structure
82,Legs combined bone area - visit 2,Density/Structure
