target,metric,model,mode,fusion,view,n,mean,std,se
dis__allergy,auc,covariates,ridge,early,fusion,10,0.5974016189575195,0.012465637177228928,0.003941980596531545
dis__allergy,auc,dino,ridge,early,fusion,10,0.5751024484634399,0.019400183111429214,0.006134876565644848
dis__allergy,auc,lejepa,ridge,early,fusion,10,0.5914771556854248,0.020407387986779213,0.006453382713298046
dis__allergy,auc,tabular,ridge,early,tabular,10,0.5636007785797119,0.018599702045321465,0.005881742226370818
dis__anal_fissure,auc,covariates,ridge,early,fusion,10,0.5164752006530762,0.020727986469864845,0.0065547648553926025
dis__anal_fissure,auc,dino,ridge,early,fusion,10,0.5225343108177185,0.026987597346305847,0.00853422761898424
dis__anal_fissure,auc,lejepa,ridge,early,fusion,10,0.5364565849304199,0.025482075288891792,0.008058139742079121
dis__anal_fissure,auc,tabular,ridge,early,tabular,10,0.525792121887207,0.021373450756072998,0.006758878584663859
dis__anemia,auc,covariates,ridge,early,fusion,10,0.6652757525444031,0.02793973870575428,0.008835321154014855
dis__anemia,auc,dino,ridge,early,fusion,10,0.6529543995857239,0.026050642132759094,0.008237936364946522
dis__anemia,auc,lejepa,ridge,early,fusion,10,0.6760805249214172,0.02461608685553074,0.007784290154400934
dis__anemia,auc,tabular,ridge,early,tabular,10,0.6470134854316711,0.027597563341259956,0.008727115802914817
dis__anxiety,auc,covariates,ridge,early,fusion,10,0.6296414136886597,0.031525351107120514,0.009969191353501168
dis__anxiety,auc,dino,ridge,early,fusion,10,0.5853888988494873,0.04064672812819481,0.012853624031872813
dis__anxiety,auc,lejepa,ridge,early,fusion,10,0.6384707689285278,0.03679518774151802,0.011635660019670384
dis__anxiety,auc,tabular,ridge,early,tabular,10,0.5984030365943909,0.030929675325751305,0.009780822131888448
dis__asthma,auc,covariates,ridge,early,fusion,10,0.535224437713623,0.02514445036649704,0.00795137336711862
dis__asthma,auc,dino,ridge,early,fusion,10,0.5781999826431274,0.030477415770292282,0.009637805103005874
dis__asthma,auc,lejepa,ridge,early,fusion,10,0.5811628699302673,0.03650291636586189,0.011543235695475978
dis__asthma,auc,tabular,ridge,early,tabular,10,0.554999828338623,0.02799213118851185,0.008851889111793356
dis__atopic_dermatitis,auc,covariates,ridge,early,fusion,10,0.5555400252342224,0.03564867749810219,0.011273101646679573
dis__atopic_dermatitis,auc,dino,ridge,early,fusion,10,0.5335206985473633,0.02564704418182373,0.008110307486553258
dis__atopic_dermatitis,auc,lejepa,ridge,early,fusion,10,0.5322504639625549,0.029988981783390045,0.009483348714481081
dis__atopic_dermatitis,auc,tabular,ridge,early,tabular,10,0.5491539239883423,0.04139263182878494,0.013089499492774123
dis__attention_deficit_disorder_adhd,auc,covariates,ridge,early,fusion,10,0.5865840315818787,0.02627634070813656,0.00830930852123132
dis__attention_deficit_disorder_adhd,auc,dino,ridge,early,fusion,10,0.566646933555603,0.0211021788418293,0.0066730948732394635
dis__attention_deficit_disorder_adhd,auc,lejepa,ridge,early,fusion,10,0.5881347060203552,0.023273074999451637,0.007359592515418912
dis__attention_deficit_disorder_adhd,auc,tabular,ridge,early,tabular,10,0.5552483797073364,0.01528696808964014,0.00483416376815759
dis__b12_deficiency,auc,covariates,ridge,early,fusion,10,0.5653327107429504,0.04022488743066788,0.012720226290478885
dis__b12_deficiency,auc,dino,ridge,early,fusion,10,0.5744434595108032,0.03824871405959129,0.012095305400081375
dis__b12_deficiency,auc,lejepa,ridge,early,fusion,10,0.5775601863861084,0.03154659643769264,0.009975909716926282
dis__b12_deficiency,auc,tabular,ridge,early,tabular,10,0.5704495906829834,0.038234930485486984,0.01209094665123464
dis__back_pain,auc,covariates,ridge,early,fusion,10,0.5568645000457764,0.014187184162437916,0.004486381553757206
dis__back_pain,auc,dino,ridge,early,fusion,10,0.5569075345993042,0.012785575352609158,0.004043153930995538
dis__back_pain,auc,lejepa,ridge,early,fusion,10,0.5671666264533997,0.017750753089785576,0.005613280994699376
dis__back_pain,auc,tabular,ridge,early,tabular,10,0.5755089521408081,0.017681851983070374,0.0055914925516467396
dis__basal_cell_carcinoma,auc,covariates,ridge,early,fusion,10,0.6783859729766846,0.04593370854854584,0.01452551403917518
dis__basal_cell_carcinoma,auc,dino,ridge,early,fusion,10,0.5794479846954346,0.05800560116767883,0.018342981673718763
dis__basal_cell_carcinoma,auc,lejepa,ridge,early,fusion,10,0.6382609605789185,0.03519269824028015,0.011128908344628496
dis__basal_cell_carcinoma,auc,tabular,ridge,early,tabular,10,0.6080527901649475,0.044184669852256775,0.013972419439570687
dis__breast_cancer,auc,covariates,ridge,early,fusion,10,0.4853740632534027,0.04199785739183426,0.01328088862051349
dis__breast_cancer,auc,dino,ridge,early,fusion,10,0.5972695350646973,0.08430591970682144,0.026659872650883057
dis__breast_cancer,auc,lejepa,ridge,early,fusion,10,0.5552185773849487,0.04935760051012039,0.015608243745266911
dis__breast_cancer,auc,tabular,ridge,early,tabular,10,0.5479599237442017,0.0956316739320755,0.030241390607990908
dis__covid_19,auc,covariates,ridge,early,fusion,10,0.51012122631073,0.016458937898278236,0.0052047731625823965
dis__covid_19,auc,dino,ridge,early,fusion,10,0.5251317024230957,0.026458829641342163,0.008367016588901726
dis__covid_19,auc,lejepa,ridge,early,fusion,10,0.5528325438499451,0.022601144388318062,0.0071471093993418135
dis__covid_19,auc,tabular,ridge,early,tabular,10,0.5268760919570923,0.03125869855284691,0.009884868411960542
dis__chronic_sinusitis,auc,covariates,ridge,early,fusion,10,0.6018996834754944,0.028788220137357712,0.009103634541637576
dis__chronic_sinusitis,auc,dino,ridge,early,fusion,10,0.6002568006515503,0.030527854338288307,0.009653755178684345
dis__chronic_sinusitis,auc,lejepa,ridge,early,fusion,10,0.581449568271637,0.026329440996050835,0.008326100306653303
dis__chronic_sinusitis,auc,tabular,ridge,early,tabular,10,0.5768250226974487,0.030035344883799553,0.009498010014149195
dis__depression,auc,covariates,ridge,early,fusion,10,0.6199674010276794,0.030290361493825912,0.009578653347035018
dis__depression,auc,dino,ridge,early,fusion,10,0.5734907388687134,0.03706260398030281,0.011720224459457923
dis__depression,auc,lejepa,ridge,early,fusion,10,0.6094051599502563,0.02465701848268509,0.007797233871415388
dis__depression,auc,tabular,ridge,early,tabular,10,0.5885392427444458,0.022407399490475655,0.0070858418831199485
dis__diabetes,auc,covariates,ridge,early,fusion,10,0.5734812617301941,0.05270928889513016,0.016668140675643133
dis__diabetes,auc,dino,ridge,early,fusion,10,0.6505931615829468,0.03655967861413956,0.011561185494442917
dis__diabetes,auc,lejepa,ridge,early,fusion,10,0.6179433465003967,0.050158075988292694,0.015861376317480597
dis__diabetes,auc,tabular,ridge,early,tabular,10,0.5478945970535278,0.054678041487932205,0.017290714909904782
dis__endometriosis_and_adenomyosis,auc,covariates,ridge,early,fusion,10,0.7742531299591064,0.050445616245269775,0.01595230453058437
dis__endometriosis_and_adenomyosis,auc,dino,ridge,early,fusion,10,0.6924899220466614,0.04533739387989044,0.014336942783663214
dis__endometriosis_and_adenomyosis,auc,lejepa,ridge,early,fusion,10,0.7260724306106567,0.048388537019491196,0.015301798962496761
dis__endometriosis_and_adenomyosis,auc,tabular,ridge,early,tabular,10,0.6567012667655945,0.04985342547297478,0.015765037365605736
dis__episodic_vertigo,auc,covariates,ridge,early,fusion,10,0.6531646847724915,0.049115266650915146,0.015531611050340196
dis__episodic_vertigo,auc,dino,ridge,early,fusion,10,0.6578971147537231,0.046975262463092804,0.01485488230675846
dis__episodic_vertigo,auc,lejepa,ridge,early,fusion,10,0.6457930207252502,0.046393606811761856,0.014670946639547006
dis__episodic_vertigo,auc,tabular,ridge,early,tabular,10,0.6309374570846558,0.046184856444597244,0.014604933977283347
dis__fatty_liver_disease,auc,covariates,ridge,early,fusion,10,0.7365473508834839,0.02470668964087963,0.007812941270806718
dis__fatty_liver_disease,auc,dino,ridge,early,fusion,10,0.7715068459510803,0.015275062061846256,0.004830398751586196
dis__fatty_liver_disease,auc,lejepa,ridge,early,fusion,10,0.7860363721847534,0.019925767555832863,0.006301080960351815
dis__fatty_liver_disease,auc,tabular,ridge,early,tabular,10,0.731163740158081,0.02171160653233528,0.006865812830356971
dis__fibromyalgia,auc,covariates,ridge,early,fusion,10,0.7313114404678345,0.06059575453400612,0.019162060086393432
dis__fibromyalgia,auc,dino,ridge,early,fusion,10,0.7219589948654175,0.05595077946782112,0.017693189998009836
dis__fibromyalgia,auc,lejepa,ridge,early,fusion,10,0.7648043632507324,0.05187951773405075,0.016405743995069794
dis__fibromyalgia,auc,tabular,ridge,early,tabular,10,0.7288604378700256,0.040396399796009064,0.012774463262614994
dis__fracture,auc,covariates,ridge,early,fusion,10,0.5510529279708862,0.03505325689911842,0.01108481312082253
dis__fracture,auc,dino,ridge,early,fusion,10,0.5860849022865295,0.0303700789809227,0.00960386222989211
dis__fracture,auc,lejepa,ridge,early,fusion,10,0.6043930053710938,0.02519146166741848,0.007966239645786553
dis__fracture,auc,tabular,ridge,early,tabular,10,0.5939255952835083,0.020404957234859467,0.006452614042048724
dis__gallstone_disease,auc,covariates,ridge,early,fusion,10,0.6777576208114624,0.02512984536588192,0.007946754860401426
dis__gallstone_disease,auc,dino,ridge,early,fusion,10,0.6690859794616699,0.02864760346710682,0.00905916764613941
dis__gallstone_disease,auc,lejepa,ridge,early,fusion,10,0.70424485206604,0.0222176443785429,0.007025836047983179
dis__gallstone_disease,auc,tabular,ridge,early,tabular,10,0.6748653650283813,0.035493381321430206,0.011223992683659636
dis__haemorrhoids,auc,covariates,ridge,early,fusion,10,0.5307307839393616,0.017468055710196495,0.005523884233893107
dis__haemorrhoids,auc,dino,ridge,early,fusion,10,0.5344463586807251,0.021591471508145332,0.006827822800037004
dis__haemorrhoids,auc,lejepa,ridge,early,fusion,10,0.5261247158050537,0.009506872855126858,0.003006337164782884
dis__haemorrhoids,auc,tabular,ridge,early,tabular,10,0.5005801916122437,0.011440785601735115,0.0036178940723143
dis__headache,auc,covariates,ridge,early,fusion,10,0.6082856059074402,0.03573045879602432,0.011298963163823448
dis__headache,auc,dino,ridge,early,fusion,10,0.6132274866104126,0.053953152149915695,0.017061484773934397
dis__headache,auc,lejepa,ridge,early,fusion,10,0.6014536023139954,0.03846542537212372,0.01216383553431408
dis__headache,auc,tabular,ridge,early,tabular,10,0.6269592046737671,0.046567466109991074,0.014725925777027287
dis__hearing_loss,auc,covariates,ridge,early,fusion,10,0.646294355392456,0.034862689673900604,0.011024550472915872
dis__hearing_loss,auc,dino,ridge,early,fusion,10,0.5789752006530762,0.027277478948235512,0.00862589623037184
dis__hearing_loss,auc,lejepa,ridge,early,fusion,10,0.6083372235298157,0.018117109313607216,0.005729133004924857
dis__hearing_loss,auc,tabular,ridge,early,tabular,10,0.5883527994155884,0.03322619944810867,0.010507046824705298
dis__heart_valve_disease,auc,covariates,ridge,early,fusion,10,0.5472453832626343,0.030762841925024986,0.009728064778279774
dis__heart_valve_disease,auc,dino,ridge,early,fusion,10,0.4947780966758728,0.05270758271217346,0.01666760113321832
dis__heart_valve_disease,auc,lejepa,ridge,early,fusion,10,0.5344699025154114,0.030252616852521896,0.009566717443436342
dis__heart_valve_disease,auc,tabular,ridge,early,tabular,10,0.5343543291091919,0.058027371764183044,0.018349866140816143
dis__hyperlipidemia,auc,covariates,ridge,early,fusion,10,0.6932646036148071,0.015348704531788826,0.004853686545340096
dis__hyperlipidemia,auc,dino,ridge,early,fusion,10,0.6915446519851685,0.01842864230275154,0.005827648386122515
dis__hyperlipidemia,auc,lejepa,ridge,early,fusion,10,0.7218104004859924,0.018204115331172943,0.005756646723489689
dis__hyperlipidemia,auc,tabular,ridge,early,tabular,10,0.6836122274398804,0.022026877850294113,0.006965510374924277
dis__hypertension,auc,covariates,ridge,early,fusion,10,0.7729538083076477,0.013204404152929783,0.0041755992268644425
dis__hypertension,auc,dino,ridge,early,fusion,10,0.7755804061889648,0.01960078999400139,0.006198314031968249
dis__hypertension,auc,lejepa,ridge,early,fusion,10,0.7900789976119995,0.01814340241253376,0.005737447612860058
dis__hypertension,auc,tabular,ridge,early,tabular,10,0.7582423686981201,0.028286069631576538,0.00894484060899017
dis__hyperthyroidism,auc,covariates,ridge,early,fusion,10,0.6301532983779907,0.03507727384567261,0.011092407946177905
dis__hyperthyroidism,auc,dino,ridge,early,fusion,10,0.5884044170379639,0.029749251902103424,0.009407539469674332
dis__hyperthyroidism,auc,lejepa,ridge,early,fusion,10,0.6563278436660767,0.027156153693795204,0.008587529816198758
dis__hyperthyroidism,auc,tabular,ridge,early,tabular,10,0.6134776473045349,0.026030834764242172,0.008231672725049743
dis__hypothyroidism,auc,covariates,ridge,early,fusion,10,0.6774063110351562,0.02376137301325798,0.007514005905475352
dis__hypothyroidism,auc,dino,ridge,early,fusion,10,0.6591802835464478,0.021476004272699356,0.006791308854123783
dis__hypothyroidism,auc,lejepa,ridge,early,fusion,10,0.682808518409729,0.018060583621263504,0.00571125801151245
dis__hypothyroidism,auc,tabular,ridge,early,tabular,10,0.6715583801269531,0.022527262568473816,0.007123745916503209
dis__insomnia,auc,covariates,ridge,early,fusion,10,0.5598787665367126,0.07066197693347931,0.022345279108007494
dis__insomnia,auc,dino,ridge,early,fusion,10,0.5866836309432983,0.049899060279130936,0.01577946835840911
dis__insomnia,auc,lejepa,ridge,early,fusion,10,0.5782577991485596,0.058513835072517395,0.018503699346059874
dis__insomnia,auc,tabular,ridge,early,tabular,10,0.5901875495910645,0.060109447687864304,0.019008276358839313
dis__irritable_bowel_syndrome_ibs,auc,covariates,ridge,early,fusion,10,0.628532886505127,0.029642218723893166,0.009373692606839219
dis__irritable_bowel_syndrome_ibs,auc,dino,ridge,early,fusion,10,0.5921415090560913,0.03077095001935959,0.009730628782837859
dis__irritable_bowel_syndrome_ibs,auc,lejepa,ridge,early,fusion,10,0.6272070407867432,0.029757294803857803,0.009410082858528412
dis__irritable_bowel_syndrome_ibs,auc,tabular,ridge,early,tabular,10,0.6063979864120483,0.03413006663322449,0.0107928747254304
dis__migraine,auc,covariates,ridge,early,fusion,10,0.6334942579269409,0.022424453869462013,0.0070912349512876095
