Disease,N_positives,N_total,Prevalence,n_seeds,Covariates (age/sex/BMI) AUROC,Covariates (age/sex/BMI) SE,LeDXA + covariates AUROC,LeDXA + covariates SE,DINOv3 + covariates AUROC,DINOv3 + covariates SE,DXA-tabular + covariates AUROC,DXA-tabular + covariates SE,"P(LeDXA vs covariates, FDR)","P(LeDXA vs DXA-tabular, FDR)","P(LeDXA vs DINOv3, FDR)"
Anemia,1740,25945,0.06706,10,0.6184,0.0041,0.6514,0.0041,0.6362,0.0048,0.6341,0.0037,0.00354,0.00809,0.0162
Anxiety,1705,25945,0.06572,10,0.5866,0.0058,0.6217,0.0034,0.6153,0.004,0.5964,0.0046,0.00354,0.00809,0.0935
Asthma,3544,25945,0.1366,10,0.5509,0.0036,0.6191,0.0045,0.6186,0.0034,0.5871,0.0031,0.00354,0.00809,0.418
Atrial Fibrillation,942,25945,0.03631,10,0.7131,0.0065,0.7251,0.0054,0.7174,0.007,0.7196,0.0059,0.00354,0.235,0.0885
Back Pain,4744,25945,0.18285,10,0.5407,0.0026,0.5876,0.0032,0.5899,0.0037,0.5915,0.0038,0.00354,0.621,0.374
Celiac,401,25945,0.01546,10,0.5679,0.0082,0.6296,0.0051,0.6589,0.0066,0.6107,0.005,0.00354,0.0396,0.0162
COPD,500,25945,0.01927,10,0.6579,0.0089,0.7608,0.0069,0.7647,0.0067,0.73,0.0075,0.00354,0.00809,0.557
Depression,2818,25945,0.10861,10,0.6108,0.0037,0.6221,0.0029,0.6236,0.0024,0.6184,0.0032,0.00629,0.332,0.51
Diabetes,1138,25945,0.04386,10,0.7256,0.0035,0.8399,0.0031,0.8355,0.0025,0.83,0.0025,0.00354,0.0126,0.0935
Endometriosis,547,25945,0.02108,10,0.7918,0.0032,0.8021,0.0024,0.7843,0.0031,0.8024,0.002,0.0198,0.621,0.0162
Gallstone,1278,25945,0.04926,10,0.6716,0.0046,0.6833,0.0051,0.6785,0.0048,0.6824,0.0052,0.033,0.747,0.0283
Gout,826,25945,0.03184,10,0.7966,0.0051,0.8157,0.0052,0.8129,0.0046,0.8098,0.0053,0.00354,0.00809,0.116
Heart Failure,183,25945,0.00705,10,0.7756,0.0114,0.7826,0.0102,0.7895,0.0097,0.7856,0.0122,0.0198,0.876,0.139
Hyperlipidemia,6044,25945,0.23295,10,0.7099,0.002,0.7361,0.0022,0.732,0.0024,0.7348,0.0022,0.00354,0.374,0.0162
Hypertension,7864,25945,0.3031,10,0.7194,0.002,0.7429,0.0015,0.7386,0.0019,0.741,0.0017,0.00354,0.156,0.0162
Hyperthyroidism,370,25945,0.01426,10,0.6544,0.0067,0.6654,0.0061,0.644,0.0085,0.6516,0.0116,0.0246,0.35,0.0529
Hypothyroidism,1682,25945,0.06483,10,0.6851,0.0038,0.6795,0.0039,0.6741,0.0033,0.6851,0.0034,0.00354,0.0126,0.0283
IBS,1930,25945,0.07439,10,0.592,0.0036,0.5986,0.0034,0.5854,0.0038,0.5995,0.0046,0.0246,1.0,0.0162
Ischemic Heart Disease,1652,25945,0.06367,10,0.7334,0.0035,0.7421,0.0036,0.7341,0.0042,0.7414,0.0036,0.00354,0.596,0.0162
Kidney Stones,604,25945,0.02328,10,0.6301,0.0083,0.6549,0.0046,0.6327,0.0082,0.6533,0.0085,0.00354,0.747,0.0189
Liver Disease,337,25945,0.01299,10,0.6834,0.0122,0.6926,0.0122,0.6793,0.0111,0.6863,0.0085,0.25,0.35,0.165
Osteoarthritis,4328,25945,0.16681,10,0.6475,0.0037,0.6929,0.005,0.6964,0.0039,0.6746,0.0044,0.00354,0.00809,0.333
PCOS,170,25945,0.00655,10,0.8253,0.0074,0.8309,0.0067,0.8208,0.0063,0.8271,0.0058,0.152,0.544,0.0935
Psoriasis,889,25945,0.03426,10,0.5457,0.0058,0.5499,0.0089,0.5449,0.0064,0.5503,0.0066,0.447,0.725,0.51
Renal Failure,699,25945,0.02694,10,0.6871,0.0046,0.6993,0.0034,0.6892,0.005,0.6978,0.0036,0.0246,0.673,0.0283
Rheumatoid Arthritis,392,25945,0.01511,10,0.5935,0.0099,0.6042,0.0077,0.5804,0.0051,0.5969,0.0108,0.216,0.544,0.0283
Sleep Disorders,779,25945,0.03003,10,0.6194,0.0084,0.6437,0.0072,0.6289,0.0055,0.6292,0.0064,0.00629,0.0515,0.0283
Stroke,400,25945,0.01542,10,0.6888,0.0077,0.6883,0.0085,0.6776,0.0075,0.6918,0.0081,0.922,0.374,0.0935
