Condition,Sex,Prev_Q1,Prev_Q4,RR,N_Q1,N_Q4,P_Value,Adj_P_Value
Osteoarthritis,Female,16.15,24.22,1.5,6463,5726,9.231538691500954e-29,1.0462410517034415e-27
Hypertension,Female,22.81,30.79,1.35,6463,5726,2.2899195745108208e-23,1.2976210922227984e-22
Sleep apnoea,Female,4.6,8.52,1.85,6463,5726,1.193086322439483e-18,5.794990708991775e-18
Cancer (any),Female,16.91,23.24,1.37,6463,5726,2.2753200352505157e-18,9.670110149814692e-18
Rheumatoid arthritis,Female,1.19,2.69,2.26,6463,5726,1.4145382233648916e-09,3.5824148682106473e-09
COPD,Female,1.1,2.55,2.32,6463,5726,1.4751120045573252e-09,3.5824148682106473e-09
Osteoporosis,Female,5.01,7.21,1.44,6463,5726,3.676792528544211e-07,7.813184123156448e-07
Atrial fibrillation,Female,1.73,3.09,1.78,6463,5726,8.69962938163676e-07,1.6432633276424991e-06
Asthma,Female,13.45,16.12,1.2,6463,5726,3.179676711671022e-05,5.1480480093721304e-05
Back pain,Female,13.86,16.28,1.17,6463,5726,0.0001960651418501255,0.00030300976467746666
Hyperlipidaemia,Female,4.84,6.27,1.29,6463,5726,0.0005724956000736852,0.0008110354334377206
Cardiovascular disease,Female,3.25,4.4,1.35,6463,5726,0.0008899082203082455,0.0012102751796192138
Diabetes,Female,3.22,4.24,1.32,6463,5726,0.0027586213382194977,0.0034738194629430714
Obesity,Female,5.08,6.16,1.21,6463,5726,0.008932788646178615,0.010123827132335764
Liver disease,Female,1.19,1.68,1.41,6463,5726,0.023819451177898257,0.0253434171626367
Stroke,Female,0.93,1.36,1.47,6463,5726,0.023852627917775718,0.0253434171626367
Renal failure,Female,2.52,3.06,1.21,6463,5726,0.07303680190221588,0.07303680190221588
Hypertension,Male,31.95,43.83,1.37,5387,6124,3.9876314644403294e-39,1.355794697909712e-37
Cancer (any),Male,21.79,31.63,1.45,5387,6124,1.9656242614646401e-32,3.341561244489888e-31
Osteoarthritis,Male,11.75,19.24,1.64,5387,6124,3.594183818053075e-28,2.826682094851299e-27
Diabetes,Male,4.31,9.59,2.23,5387,6124,4.1568854336048515e-28,2.826682094851299e-27
COPD,Male,1.65,4.02,2.43,5387,6124,5.012482698095173e-14,1.8936045748359541e-13
Cardiovascular disease,Male,8.26,12.36,1.5,5387,6124,7.049664213998541e-13,2.396885832759504e-12
Sleep apnoea,Male,2.67,5.06,1.89,5387,6124,5.009825165241796e-11,1.5484914147111007e-10
Atrial fibrillation,Male,4.18,6.99,1.67,5387,6124,7.607590303041054e-11,2.155483919194965e-10
Obesity,Male,4.44,6.83,1.54,5387,6124,3.528262343673383e-08,7.997394645659668e-08
Back pain,Male,12.86,16.18,1.26,5387,6124,5.004856951301907e-07,1.0009713902603813e-06
Rheumatoid arthritis,Male,0.78,1.78,2.28,5387,6124,2.5239748739979366e-06,4.516586616627887e-06
Hyperlipidaemia,Male,10.12,12.85,1.27,5387,6124,4.7452334510479076e-06,8.066896866781442e-06
Stroke,Male,1.74,2.76,1.58,5387,6124,0.00027741978846129034,0.0004100988177253857
Asthma,Male,12.88,14.91,1.16,5387,6124,0.0017539437178589734,0.002293618707969427
Osteoporosis,Male,0.95,1.52,1.6,5387,6124,0.005876544098331397,0.0071358035479738395
Renal failure,Male,3.1,4.05,1.31,5387,6124,0.006392633090898281,0.007494811210018675
Liver disease,Male,1.47,1.99,1.36,5387,6124,0.03167604592942437,0.032635926109103895
