Condition,Sex,Prev_Q1,Prev_Q4,RR,N_Q1,N_Q4,P_Value,Adj_P_Value,source
Osteoarthritis,Female,16.15,24.22,1.5,6463,5726,9.231538691500953e-29,1.7232205557468447e-27,original
Other arthrosis,Female,13.69,20.5,1.5,6463,5726,1.3197539211809827e-23,1.231770326435584e-22,new
Hypertension,Female,22.81,30.79,1.35,6463,5726,2.289919574510821e-23,1.8319356596086569e-22,original
Sleep apnoea,Female,4.6,8.52,1.85,6463,5726,1.193086322439483e-18,7.423648228512337e-18,original
Cancer (any),Female,16.91,23.24,1.37,6463,5726,2.275320035250516e-18,1.2741792197402889e-17,original
Knee arthrosis,Female,3.76,7.07,1.88,6463,5726,4.056581258979578e-16,1.8930712541904697e-15,new
Rheumatoid arthritis,Female,1.19,2.69,2.26,6463,5726,1.4145382233648914e-09,3.977639639347729e-09,original
COPD,Female,1.1,2.55,2.32,6463,5726,1.475112004557325e-09,3.977639639347729e-09,original
Osteoporosis,Female,5.01,7.21,1.44,6463,5726,3.676792528544211e-07,8.579182566603159e-07,original
Atrial fibrillation,Female,1.73,3.09,1.78,6463,5726,8.69962938163676e-07,1.873766328352533e-06,original
Asthma,Female,13.45,16.12,1.2,6463,5726,3.179676711671022e-05,5.9353965284525745e-05,original
Back pain,Female,13.86,16.28,1.17,6463,5726,0.0001960651418501,0.00034311399823767506,original
Hyperlipidaemia,Female,4.84,6.27,1.29,6463,5726,0.0005724956000736,0.00091599296011776,original
Cardiovascular disease,Female,3.25,4.4,1.35,6463,5726,0.0008899082203082,0.0013843016760349777,original
Sarcopenia (EWGSOP2),Female,7.04,10.2,1.45,1605,1412,0.0019331273795406,0.002848819296165095,new
Chronic ischaemic heart disease,Female,2.01,2.85,1.42,6463,5726,0.0026590681419832924,0.003723493703575724,new
Hip arthrosis,Female,0.53,1.0,1.89,6463,5726,0.002659638359696946,0.003723493703575724,new
Diabetes,Female,3.22,4.24,1.32,6463,5726,0.0027586213382194,0.003767873047324059,original
Obesity,Female,5.08,6.16,1.21,6463,5726,0.0089327886461786,0.011369003731500037,original
Myocardial infarction,Female,0.7,1.08,1.56,6463,5726,0.02242435265596328,0.027905861082976522,new
Liver disease,Female,1.19,1.68,1.41,6463,5726,0.0238194511778982,0.02842015241266892,original
Stroke,Female,0.93,1.36,1.47,6463,5726,0.0238526279177757,0.02842015241266892,original
Heart failure,Female,0.39,0.66,1.72,6463,5726,0.03340736022448217,0.03817984025655106,new
Angina,Female,2.06,2.55,1.24,6463,5726,0.06992693896812631,0.0767825212199034,new
Renal failure,Female,2.52,3.06,1.21,6463,5726,0.0730368019022158,0.07865501743315548,original
Chronic kidney disease,Female,2.03,2.46,1.21,6463,5726,0.10422390188251258,0.11012336802680575,new
Acute renal failure,Female,0.43,0.59,1.37,6463,5726,0.2136712433139391,0.21755617501055619,new
Unspecified renal failure,Female,0.31,0.35,1.13,6463,5726,0.7011702197464924,0.7011702197464924,new
Hypertension,Male,31.95,43.83,1.37,5387,6124,3.9876314644403294e-39,2.2330736200865844e-37,original
Cancer (any),Male,21.79,31.63,1.45,5387,6124,1.96562426146464e-32,5.503747932100992e-31,original
Osteoarthritis,Male,11.75,19.24,1.64,5387,6124,3.5941838180530748e-28,4.655711685637433e-27,original
Diabetes,Male,4.31,9.59,2.23,5387,6124,4.1568854336048515e-28,4.655711685637433e-27,original
Knee arthrosis,Male,4.03,8.38,2.08,5387,6124,1.2673171174431206e-21,8.871219822101844e-21,new
Other arthrosis,Male,8.67,13.68,1.58,5387,6124,2.499952755826281e-17,1.2727032211479248e-16,new
COPD,Male,1.65,4.02,2.43,5387,6124,5.0124826980951736e-14,2.1592233161025363e-13,original
Chronic ischaemic heart disease,Male,6.18,9.93,1.61,5387,6124,2.4666808348620453e-13,9.866723339448181e-13,new
Cardiovascular disease,Male,8.26,12.36,1.5,5387,6124,7.049664213998541e-13,2.6318746398927888e-12,original
