Phenotype,Label,Mean_Q1,Mean_Q4,Median_Diff,Cohens_d,N_Q1,N_Q4,P_Value,Adjusted_P_Value
Total BMD (bone mineral density) - visit 2,Total BMD BMD,1.1252704783060536,1.0770205377526754,-0.05286499999999994,-0.38763145258660653,3849,3364,1.589589865702174e-59,1.7326529536153697e-57
Total BMD (bone mineral density) T-score - visit 2,Total BMD BMD T-score,0.4414622654380359,-0.034915866710674995,-0.5215208,-0.38599025356803607,3849,3363,4.742791152468967e-59,2.584821178095587e-57
Ribs BMC (bone mineral content) - visit 2,Ribs BMC BMC,177.99290865159782,161.1253949762188,-17.730500000000006,-0.34931826474915456,3849,3364,1.5806620905755717e-56,5.743072262424577e-55
Legs BMD (bone mineral density) - visit 2,Legs BMD BMD,1.1196883616523772,1.0714271471462546,-0.051120000000000054,-0.372436836437301,3849,3364,8.914796916055539e-56,2.4292821596251343e-54
Femur wards BMD (bone mineral density) (left) - visit 2,Femur wards BMD BMD (left),0.7023236653666147,0.6531692983030664,-0.04962,-0.3531208590966612,3846,3359,1.4168013411542784e-54,3.0886269237163266e-53
Femur wards BMD (bone mineral density) T-score (left) - visit 2,Femur wards BMD BMD T-score (left),-1.598310307171087,-1.9742956789285075,-0.38050000000000006,-0.3516194698048371,3846,3357,2.9020176233014626e-54,5.27199868233099e-53
Pelvis BMD (bone mineral density) - visit 2,Pelvis BMD BMD,0.9515262561704338,0.9025513605826397,-0.04728650000000001,-0.3686247368062959,3849,3364,5.620065856802771e-54,8.751245405592885e-53
Arms BMD (bone mineral density) - visit 2,Arms BMD BMD,0.8341281057417511,0.7963869030915576,-0.03910100000000005,-0.3635652032583678,3849,3364,1.32417420469297e-53,1.8041873538941715e-52
Femur wards BMD (bone mineral density) (right) - visit 2,Femur wards BMD BMD (right),0.7082168806911685,0.6594811521117816,-0.051873999999999976,-0.34634990590954406,3646,3149,2.1503822792337168e-51,2.60435187151639e-50
Femur wards BMD (bone mineral density) T-score (right) - visit 2,Femur wards BMD BMD T-score (right),-1.553021893013988,-1.9273122798793267,-0.3982999999999999,-0.34575730836594637,3646,3149,3.2611949349812146e-51,3.5547024791295236e-50
Femur shaft BMD (bone mineral density) (right) - visit 2,Femur shaft BMD BMD (right),1.1299248245662352,1.0701026740858506,-0.06820000000000004,-0.3505650514621895,3631,3145,2.0188541939587158e-49,2.0005009740136365e-48
Femur total BMD (bone mineral density) (right) - visit 2,Femur total BMD BMD (right),0.9426726488570643,0.8942295914149444,-0.05202399999999996,-0.3503538409819456,3631,3145,6.538388023013315e-49,5.939035787570427e-48
Femur shaft BMD (bone mineral density) (left) - visit 2,Femur shaft BMD BMD (left),1.1296482172665625,1.0705134582587956,-0.06320499999999996,-0.3451431302602389,3834,3354,7.502785993563796e-49,6.290797486911183e-48
Femur total BMD (bone mineral density) T-score (right) - visit 2,Femur total BMD BMD T-score (right),-0.48127652947672817,-0.8834677094848966,-0.43127799999999994,-0.35004426086270213,3631,3145,9.565535667267172e-49,7.447452769515154e-48
Femur total BMD (bone mineral density) (left) - visit 2,Femur total BMD BMD (left),0.9396202751695357,0.8918503079904591,-0.048726999999999965,-0.3435796938663909,3834,3354,2.5457909025209424e-48,1.8499413891652181e-47
Femur total BMD (bone mineral density) T-score (left) - visit 2,Femur total BMD BMD T-score (left),-0.5068143612073552,-0.9033864992499255,-0.398204,-0.34334495909034823,3834,3353,3.3352482096070246e-48,2.2721378427947855e-47
Ribs bone area - visit 2,Ribs bone area,229.82453910106523,217.80483195600473,-12.513000000000005,-0.3331261261185197,3849,3364,4.173291088469221e-47,2.6758160508420298e-46
Ribs BMD (bone mineral density) - visit 2,Ribs BMD BMD,0.7638890309171213,0.7278138635552914,-0.038569500000000034,-0.32579792772689103,3849,3364,1.3218997882654769e-46,8.00483760671872e-46
Head BMC (bone mineral content) - visit 2,Head BMC BMC,496.71080644323195,470.46014030915575,-23.680000000000007,-0.3299403768109828,3849,3364,9.808783484079e-42,5.627144209287426e-41
Total BMD (bone mineral density) (right) - visit 2,Total BMD BMD (right),1.1366174074812967,1.081825114994363,-0.0587899999999999,-0.43574513188894515,2005,1774,6.658918524286872e-39,3.629110595736345e-38
Total BMD (bone mineral density) (left) - visit 2,Total BMD BMD (left),1.1145832493765586,1.0627951708004508,-0.0544300000000002,-0.4178370351118599,2005,1774,6.994691816185412e-36,3.630578133162904e-35
Trunk BMD (bone mineral density) - visit 2,Trunk BMD BMD,0.9071600096128865,0.872079409036861,-0.03506600000000004,-0.29165699727526156,3849,3364,8.20513475878042e-36,4.065271312304844e-35
