Phenotype,Label,Mean_Q1,Mean_Q4,Median_Diff,Cohens_d,N_Q1,N_Q4,P_Value,Adjusted_P_Value
Arms lean mass - visit 2,Arms lean mass,6850.570433436533,6509.532269021739,-339.5,-0.32653215404778735,2584,2944,1.9760560025495674e-31,2.1539010427790283e-29
Legs lean mass - visit 2,Legs lean mass,18906.806114551084,18120.20991847826,-669.0,-0.29899325353930917,2584,2944,2.181330914838763e-25,1.1888253485871258e-23
Gynoid lean mass - visit 2,Gynoid lean mass,8700.96826625387,8389.012907608696,-312.5,-0.282932772869999,2584,2944,2.1833195263309556e-23,7.9327276123358045e-22
Arms BMD (bone mineral density) - visit 2,Arms BMD BMD,1.0489688233981511,1.022892369553377,-0.02801000000000009,-0.24637697210745982,3137,3672,4.3429291399311015e-23,1.1834481906312252e-21
Arms total mass - visit 2,Arms total mass,9617.743850812878,9265.962777777779,-371.3299999999999,-0.2184698439148478,3137,3672,7.805859474907256e-19,1.7016773655297817e-17
Arms combined bone area - visit 2,Arms combined bone area,429.74026203379026,437.97149052287585,9.70249999999993,0.1912665016927361,3137,3672,6.803998080742407e-18,1.2360596513348706e-16
Femur shaft BMD (bone mineral density) (right) - visit 2,Femur shaft BMD BMD (right),1.2590585083724046,1.2208748447024673,-0.03707499999999997,-0.21260787197950726,2986,3445,2.6715565620715117e-17,4.1599952180827824e-16
Femur shaft BMD (bone mineral density) (left) - visit 2,Femur shaft BMD BMD (left),1.252292019476373,1.215627256010929,-0.036475000000000035,-0.2051107839443653,3132,3660,3.5349757435829294e-17,4.816404450631741e-16
Arm lean mass (right) - visit 2,Arm lean mass (right),3482.3053097345132,3317.2794990112066,-163.5,-0.31817067275361416,1356,1517,2.468128131221164e-16,2.989177403367854e-15
L1-L4 BMC (bone mineral content) - visit 2,L1-L4 BMC BMC,83.2318594751193,86.96372579306255,3.7382499999999936,0.20687324944199786,2934,3373,1.212667584703944e-15,1.3218076673272989e-14
Total lean mass - visit 2,Total lean mass,55770.405572755415,54287.80672554348,-1323.0,-0.230691917779394,2584,2944,1.9725161231032647e-15,1.9545841583477804e-14
Total fat-free mass - visit 2,Total fat-free mass,58870.442724458204,57353.97995923913,-1386.5,-0.22555355048619347,2584,2944,9.705504085522259e-15,8.815832877682718e-14
Legs total mass - visit 2,Legs total mass,26401.18724896398,25588.729874727665,-824.1500000000015,-0.18989517621886395,3137,3672,1.079763999906807e-14,9.053405845372459e-14
Ribs BMC (bone mineral content) - visit 2,Ribs BMC BMC,275.30082419509085,263.0556407407407,-12.808500000000038,-0.18521165008569435,3137,3672,3.314260570275681e-14,2.4315121601196283e-13
Femur wards BMD (bone mineral density) (right) - visit 2,Femur wards BMD BMD (right),0.7753325687981253,0.7466035590711174,-0.027603999999999962,-0.19037419696078975,2987,3445,3.346117651540773e-14,2.4315121601196283e-13
Ribs bone area - visit 2,Ribs bone area,289.1793289767293,281.29655310457514,-7.679500000000019,-0.1876136773938689,3137,3672,3.809310606759349e-14,2.5950928508548066e-13
Arm lean mass (left) - visit 2,Arm lean mass (left),3326.9550147492623,3171.6084377059988,-138.5,-0.29561987718238963,1356,1517,5.986733540532594e-14,3.8385526818708985e-13
L1-L4 BMD (bone mineral density) T-score - visit 2,L1-L4 BMD BMD T-score,0.28428671561349694,0.6110442150041532,0.319766,0.19400600460204565,2934,3371,1.210268286435634e-13,7.106383298788314e-13
Femur wards BMD (bone mineral density) T-score (right) - visit 2,Femur wards BMD BMD T-score (right),-1.3950049051055275,-1.6140521133372059,-0.21460999999999997,-0.18895441427470497,2985,3443,1.2387273640089724e-13,7.106383298788314e-13
Arm bone area (left) - visit 2,Arm bone area (left),212.1689852125693,217.583732972973,5.5224999999999795,0.24003089588635276,1623,1850,2.752589615488208e-13,1.5001613404410733e-12
Appendicular lean mass - visit 2,Appendicular lean mass,25696.118731563423,24652.993408042188,-981.0,-0.29544722146401853,1356,1517,3.462060267966553e-13,1.7510842096422504e-12
L1-L4 BMD (bone mineral density) - visit 2,L1-L4 BMD BMD,1.2518649335378322,1.2903711224429293,0.03805499999999995,0.1906473455368214,2934,3373,3.534298404782524e-13,1.7510842096422504e-12
Femur total BMD (bone mineral density) (right) - visit 2,Femur total BMD BMD (right),1.0747764504353652,1.048396076632801,-0.01970000000000005,-0.17831618364834856,2986,3445,3.776117239716264e-12,1.7895512136046642e-11
Femur total BMD (bone mineral density) (left) - visit 2,Femur total BMD BMD (left),1.0723042005108558,1.0469255898907104,-0.02462999999999993,-0.17080138097522218,3132,3660,5.074903569605634e-12,2.3048520378625585e-11
Gynoid total mass - visit 2,Gynoid total mass,12563.173793433216,12224.602821350763,-343.60000000000036,-0.16877531338157412,3137,3672,1.2546168303516821e-11,5.470129380333334e-11
Femur wards BMD (bone mineral density) (left) - visit 2,Femur wards BMD BMD (left),0.7697918726053641,0.7448473807702813,-0.02454299999999998,-0.16849703059160434,3132,3661,1.7418561071551504e-11,7.302396756919669e-11
Legs BMD (bone mineral density) - visit 2,Legs BMD BMD,1.3685224574434172,1.3454695501089322,-0.01963999999999988,-0.16662857863160552,3137,3672,2.3672014556976375e-11,9.556479950779351e-11
Leg lean mass (right) - visit 2,Leg lean mass (right),9474.623156342182,9110.581410678971,-296.5,-0.26904927038509985,1356,1517,2.8317776404951375e-11,1.1023705814784642e-10
Arm bone area (right) - visit 2,Arm bone area (right),215.7519919901417,220.5876172972973,5.657000000000011,0.2174992604030881,1623,1850,3.1210611035596055e-11,1.1730884837517137e-10
Femur total BMD (bone mineral density) T-score (right) - visit 2,Femur total BMD BMD T-score (right),-0.08075809720328199,-0.2745226043430148,-0.16104700000000002,-0.16857286108352895,2986,3443,3.320418439869778e-11,1.2064186998193527e-10
Leg lean mass (left) - visit 2,Leg lean mass (left),9412.235250737464,9053.524060646012,-286.5,-0.2686378038944025,1356,1517,6.715046206770284e-11,2.3610968920579385e-10
Total BMD (bone mineral density) - visit 2,Total BMD BMD,1.3000974571246413,1.2807352862200436,-0.019404999999999895,-0.15931104895644002,3137,3672,7.314444489696378e-11,2.426712614098777e-10
Femur total BMD (bone mineral density) T-score (left) - visit 2,Femur total BMD BMD T-score (left),-0.09493841115298628,-0.282416645445994,-0.18815,-0.16274777660300105,3131,3657,7.346928097730242e-11,2.426712614098777e-10
Femur neck BMD (bone mineral density) (left) - visit 2,Femur neck BMD BMD (left),0.9883601944444445,0.9658214487844851,-0.020776000000000017,-0.16107529738715756,3132,3661,8.013127969435945e-11,2.5689145549074056e-10
Total BMD (bone mineral density) T-score - visit 2,Total BMD BMD T-score,0.9919939683614919,0.8017174962412101,-0.19286999999999999,-0.15773070371720072,3137,3669,9.889328133706688e-11,3.079819333068654e-10
Femur wards BMD (bone mineral density) T-score (left) - visit 2,Femur wards BMD BMD T-score (left),-1.4385227939029066,-1.624204523762647,-0.18240999999999996,-0.1629473405095232,3131,3657,1.2262857880251596e-10,3.7129208581872884e-10
Pelvis BMD (bone mineral density) - visit 2,Pelvis BMD BMD,1.082804375836787,1.0595829921023965,-0.024060000000000192,-0.15652657679937163,3137,3672,2.8517739043504313e-10,8.401171772275595e-10
Femur neck BMD (bone mineral density) T-score (left) - visit 2,Femur neck BMD BMD T-score (left),-0.6082843576588949,-0.7787725978911975,-0.15990349999999998,-0.1591406907622186,3131,3658,3.1394693955565595e-10,9.005320108306973e-10
Ribs BMD (bone mineral density) - visit 2,Ribs BMD BMD,0.9410768504941025,0.9237348799019608,-0.020658999999999983,-0.14682676059016184,3137,3672,5.762061198570377e-10,1.6104222324209514e-09
Femur neck BMD (bone mineral density) (right) - visit 2,Femur neck BMD BMD (right),0.9950879966521594,0.973071618287373,-0.01999800000000007,-0.15679358908928678,2987,3445,6.761682503332711e-10,1.8425584821581636e-09
Femur neck BMD (bone mineral density) T-score (right) - visit 2,Femur neck BMD BMD T-score (right),-0.5599551900462002,-0.7243433958896313,-0.14060499999999998,-0.15232652986063822,2987,3443,2.225648579677653e-09,5.916968175240589e-09
Arm BMD (bone mineral density) (right) - visit 2,Arm BMD BMD (right),1.053518313000616,1.0313467394594595,-0.02546999999999988,-0.20180365421690835,1623,1850,5.911888444674714e-09,1.534275810641771e-08
Android bone mass - visit 2,Android bone mass,56.67685758513932,59.01460597826087,2.0,0.17331427601972932,2584,2944,8.23892484891916e-09,2.0884716477492752e-08
Spine bone area - visit 2,Spine bone area,205.6261042397195,209.00973651960786,3.5880000000000223,0.1302768166547396,3137,3672,2.5476516316006683e-08,6.311227905556201e-08
Arm total mass (right) - visit 2,Arm total mass (right),4873.729414664202,4714.975486486486,-133.3150000000005,-0.19762408501862777,1623,1850,3.682502692496717e-08,8.919839855158713e-08
Arm BMD (bone mineral density) (left) - visit 2,Arm BMD BMD (left),1.0345735847196549,1.0129964978378379,-0.021695000000000242,-0.19865481042673322,1623,1850,3.786352267163515e-08,8.972008633061372e-08
Legs combined bone area - visit 2,Legs combined bone area,861.623942301562,870.8063583877995,9.72700000000009,0.12853269761405128,3137,3672,1.592924993528894e-07,3.694230304141477e-07
L1-L4 area - visit 2,L1-L4 area,66.18017201772324,67.06196667654906,0.9356500000000096,0.13626354058375512,2934,3373,2.36235987606224e-07,5.364525551891336e-07
Arm total mass (left) - visit 2,Arm total mass (left),4666.895668515095,4513.017740540541,-140.8650000000007,-0.18863737764189656,1623,1850,3.1921323057068694e-07,7.100865741266301e-07
VAT (visceral adipose tissue) mass - visit 2,VAT (visceral adipose tissue) mass,1655.6384466019417,1766.4771953710008,134.0,0.11197083035543215,2575,2938,7.647619219051436e-07,1.6379809152062753e-06
VAT (visceral adipose tissue) volume - visit 2,VAT (visceral adipose tissue) volume,1754.9879611650485,1872.4741320626276,143.0,0.11196915779430258,2575,2938,7.663947401423858e-07,1.6379809152062753e-06
Femur upper neck BMD (bone mineral density) (left) - visit 2,Femur upper neck BMD BMD (left),0.8182553646496815,0.7803439002770083,-0.03217749999999997,-0.2639738124801931,628,722,1.7983954952033784e-06,3.7697136341763122e-06
Femur upper neck BMD (bone mineral density) T-score (left) - visit 2,Femur upper neck BMD BMD T-score (l…,-0.7326509692197453,-1.0234657388684212,-0.24751849999999997,-0.2633131500749367,628,722,1.911759145442652e-06,3.931731072702813e-06
Leg bone area (right) - visit 2,Leg bone area (right),429.7876272335182,435.1556227027027,5.874500000000069,0.14458162368419938,1623,1850,7.629297078970344e-06,1.539987743718088e-05
Leg total mass (left) - visit 2,Leg total mass (left),13093.897171903882,12757.040086486486,-347.2000000000007,-0.15547010043250015,1623,1850,8.007392470113227e-06,1.5869195986224394e-05
Head bone area - visit 2,Head bone area,230.8746850494103,229.1938924291939,-2.1110000000000184,-0.10331718802823801,3137,3672,8.333294597708198e-06,1.62201626991106e-05
Leg bone area (left) - visit 2,Leg bone area (left),431.0196654343808,436.5203178378378,5.7140000000000555,0.14738506255597147,1623,1850,9.47682172445125e-06,1.8122343297634847e-05
Body mass index (BMI) - visit 2.1,Body mass index (BMI).1,27.24034314362109,26.835780578093306,-0.31505000000000294,-0.10113844565770098,5236,5916,1.05465249726986e-05,1.9820193483174954e-05
Total mass - visit 2,Total mass,83429.97832323876,81958.61759259258,-1298.9000000000087,-0.1120807142060209,3137,3672,1.1099157901641723e-05,2.0505223919982167e-05
