sex,quartile,n,n_sarcopenic,prevalence,ci_low,ci_high
Female,ALL,6125,516,0.08424489795918368,0.07754683469845834,0.09146413838355867
Female,Q1,1605,113,0.07040498442367601,0.05888785786448659,0.08397361401054299
Female,Q2,1572,126,0.08015267175572519,0.0677308382293985,0.0946214449832523
Female,Q3,1536,133,0.08658854166666667,0.07353539788519202,0.1017043693486084
Female,Q4,1412,144,0.10198300283286119,0.08726266155833544,0.11886314228963175
Male,ALL,5550,546,0.09837837837837837,0.09081851261575612,0.10649382821101745
Male,Q1,1307,86,0.06579954093343535,0.05359019036938816,0.08055376551288221
Male,Q2,1360,125,0.09191176470588236,0.07768558304095884,0.10843682670026532
Male,Q3,1440,139,0.09652777777777778,0.08233094585686085,0.1128715516880549
Male,Q4,1443,196,0.13582813582813583,0.11911500661553957,0.15447506533563365
