feature,delta_z,ci_low,ci_high,p_value,mean_Cluster 0,mean_Cluster 1,n_Cluster 0,n_Cluster 1,adj_p_value,-log10_p,-log10_q,significant,regulation,analysis_type,system
total_scan_sat_area,0.13068016022081455,0.02672602170457547,0.23463429873705363,0.01686681052828984,135.9530027865077,142.75665742476968,713,712,0.04698611504309312,1.7729670336480854,1.3280304622998242,True,upregulated,continuous,body_composition
total_scan_sat_mass,0.018486625355320436,-0.08535895504693891,0.12233220575757978,0.01336618001890572,1.232157565132386,1.2723325888681616,713,712,0.04173633671479448,1.8739926939910994,1.3794856725290365,True,upregulated,continuous,body_composition
total_scan_sat_volume,0.13293542194799488,0.028977429043321776,0.23689341485266796,0.013375817411716208,1210.3526201502132,1273.4489892289648,713,712,0.04173633671479448,1.8736796682562353,1.3794856725290365,True,upregulated,continuous,body_composition
total_scan_vat_area,0.47337451723597507,0.3676023767677494,0.5791466577042008,3.484175206529988e-18,45.43330524193172,64.88690634794358,703,709,8.152969983280173e-17,17.457900014021448,16.088684156611304,True,upregulated,continuous,body_composition
total_scan_vat_volume,0.4764677887736446,0.37067675634907526,0.5822588211982139,1.5621414467818663e-18,403.1612187285178,578.7783999096572,703,709,4.5692637318369586e-17,17.806279644738076,16.340153774319877,True,upregulated,continuous,body_composition
body_comp_leg_left_fat_free_mass,-0.03659780646347698,-0.14041341573404412,0.06721780280709017,0.35537070898412526,6.750229073995624,6.712338009524857,713,713,0.4834694529202634,0.4493183712713,0.3156309607687061,False,not_significant,continuous,body_composition
body_comp_trunk_fat_free_mass,-0.13556633287722314,-0.23949242089623965,-0.03164024485820663,0.012637289768188273,20.100559985101217,19.759582790877026,713,713,0.04173633671479448,1.8983460561902756,1.3794856725290365,True,downregulated,continuous,body_composition
body_comp_total_right_tissue_mass,-0.041777266270624315,-0.14559550900215243,0.06204097646090379,0.19551411007300312,30.095779791525263,29.917790926273707,713,713,0.3242744759375078,0.7088218945048623,0.48908723386091685,False,not_significant,continuous,body_composition
body_comp_gynoid_total_mass,-0.24664246127564474,-0.3508433107050984,-0.14244161184619109,1.5324572877795402e-06,10.299771340644782,9.939509439316078,713,713,9.960972370567011e-06,5.814611621175067,5.0016982645322114,True,downregulated,continuous,body_composition
body_comp_trunk_left_bone_mass,-0.06003594933013554,-0.16386625095169538,0.04379435229142429,0.234803597030933,0.3122655941952917,0.30864811866149505,713,713,0.37149749325595577,0.6292952542782575,0.4300441123711823,False,not_significant,continuous,body_composition
body_comp_leg_right_lean_mass,-0.019293125288373663,-0.12310245993004279,0.08451620935329546,0.5123640699519032,6.440528786127098,6.4213738973871894,713,713,0.6100311224993749,0.29042133319889907,0.21464800763685857,False,not_significant,continuous,body_composition
body_comp_android_tissue_mass,0.18820701925538874,0.08417053860295548,0.292243499907822,0.002013584481672393,4.261540337395025,4.423210625117371,713,713,0.01121854211217476,2.6960301444749986,1.9500635774627564,True,upregulated,continuous,body_composition
body_comp_trunk_lean_mass,-0.13761085228760936,-0.24154055970300248,-0.033681144872216226,0.010338084872638027,19.46702377194112,19.13123899707078,713,713,0.03901793322898868,1.9855599067236525,1.4087357388117634,True,downregulated,continuous,body_composition
body_comp_total_lean_mass,-0.07211493774904935,-0.1759555928781803,0.03172571738008158,0.12782664827749055,39.10197666837789,38.74599556891315,713,713,0.23368309138228738,0.8933785984981315,0.6313727107358571,False,not_significant,continuous,body_composition
body_comp_trunk_right_fat_mass,0.3232498236377909,0.21876717627522368,0.42773247100035816,2.8815817729921013e-08,4.82892455737606,5.320624104035747,713,713,2.107156671500474e-07,7.5403690515796455,6.676303172489409,True,upregulated,continuous,body_composition
body_comp_arms_lean_mass,0.08286136495370836,-0.020990091375648126,0.18671282128306482,0.09792280855635513,3.922720085774655,3.980019934373499,713,713,0.18974045155477595,1.0091161388766687,0.7218400701961813,False,not_significant,continuous,body_composition
body_comp_legs_total_mass,-0.3038126588666376,-0.4082167111117841,-0.19940860662149112,1.546644575028129e-09,21.820803146884558,20.828243121620332,713,713,1.7437711184658557e-08,8.810609477405235,7.7585105196962205,True,downregulated,continuous,body_composition
body_comp_total_right_fat_mass,0.00010333279728047485,-0.10370358697314122,0.10391025256770217,0.39980293587238724,10.573125900356526,10.573360440885173,713,713,0.5255836347985315,0.3981540210520793,0.27935816595083046,False,not_significant,continuous,body_composition
body_comp_arms_fat_free_mass,0.07245310472497486,-0.03138786748356334,0.17629407693351307,0.14325983160255976,4.189220969584908,4.241437381801292,713,713,0.2539606105681741,0.8438755636766434,0.5952336374723505,False,not_significant,continuous,body_composition
body_comp_trunk_tissue_mass,0.14423192736126128,0.04029012780820901,0.24817372691431355,0.020420578034461196,29.20933667460806,29.88476791533808,713,713,0.055562968140278134,1.689931968731781,1.255214562565206,False,not_significant,continuous,body_composition
body_comp_android_bone_mass,-0.09870291673166595,-0.2025730243639038,0.005167190900571869,0.04952177157674635,43.54086329342637,42.62729587348247,713,713,0.10932164668828911,1.305203827391752,0.9612938352463793,False,not_significant,continuous,body_composition
body_comp_total_total_mass,-0.04311826748297929,-0.14693724875008454,0.06070071378412597,0.2314766577356132,62.42490808531985,62.05068516981869,713,713,0.37149749325595577,0.6354927969904477,0.4300441123711823,False,not_significant,continuous,body_composition
body_comp_leg_right_bone_mass,-0.1635853227178285,-0.2675657155693602,-0.059604929866296785,0.0034365977599345827,0.3928832506046942,0.3829917067753478,713,713,0.016753414079681093,2.46387129732563,1.7758966772910743,True,downregulated,continuous,body_composition
body_comp_arms_diff_total_mass,-0.04793000624243079,-0.15175182950692784,0.05589181702206627,0.49885693365708306,0.3171653309204404,0.27735736701458624,713,713,0.60798188789457,0.3020239871059121,0.2161093583993189,False,not_significant,continuous,body_composition
body_comp_arm_right_tissue_mass,0.026320868786692868,-0.07749054557978233,0.13013228315316805,0.783481903577117,3.1720952549017407,3.187306468738477,713,713,0.8333398428956608,0.10597103016841339,0.07917785358047681,False,not_significant,continuous,body_composition
body_comp_leg_left_total_mass,-0.3020925360606084,-0.4064898648370962,-0.19769520728412054,2.301415420477179e-09,10.839651890966469,10.34442833082781,713,713,2.071273878429461e-08,8.638004981271859,7.683762471832535,True,downregulated,continuous,body_composition
body_comp_legs_bone_mass,-0.16426644649668856,-0.26824828572594706,-0.060284607267430096,0.0031596581124299504,0.7818064979976607,0.7620131007949034,713,713,0.016073043441491488,2.500359907229024,1.793901881500455,True,downregulated,continuous,body_composition
body_comp_total_diff_total_mass,-0.037157966733520835,-0.14097384403058547,0.06665791056354378,0.05579520756002039,0.8519408767420953,0.8242098311760687,713,713,0.11869162335495247,1.2534031024893335,0.9255799302374157,False,not_significant,continuous,body_composition
body_comp_arm_right_total_mass,0.02155135046591248,-0.08225858258120358,0.12536128351302853,0.8186074241542849,3.3073333159213174,3.3200561811770855,713,713,0.8551523984468868,0.08692432094824029,0.06795648187226029,False,not_significant,continuous,body_composition
body_comp_total_diff_bone_mass,-0.08025557476428989,-0.18410427455358752,0.023593125025007752,0.19678194693643636,0.481948847347453,0.3694761239408892,713,713,0.3242744759375078,0.7060147468880031,0.48908723386091685,False,not_significant,continuous,body_composition
body_comp_arms_diff_bone_mass,0.04538095508666491,-0.05843932520451235,0.1492012353778422,0.548245620356662,3.1871865757445286,3.3266982387436737,713,713,0.6369054620888429,0.2610248289847425,0.19592502659734656,False,not_significant,continuous,body_composition
body_comp_trunk_diff_lean_mass,-0.015955541301667046,-0.1197641126829708,0.08785303007963671,0.7683554779142318,0.6212005805527517,0.6114204982374782,713,713,0.8247485405134414,0.11443780812106907,0.08367844431553109,False,not_significant,continuous,body_composition
body_comp_arm_left_fat_mass,-0.11057926040227167,-0.21446548277654204,-0.006693038028001294,0.013090746275203109,1.1629300610343785,1.1311415033569945,713,713,0.04173633671479448,1.8830355945520476,1.3794856725290365,True,downregulated,continuous,body_composition
body_comp_trunk_left_fat_mass,0.32506964418104495,0.22057939197501608,0.4295598963870738,2.4783566533938917e-08,4.913388345290955,5.432918839477067,713,713,1.9331181896472358e-07,7.605836195354909,6.713741592664429,True,upregulated,continuous,body_composition
body_comp_leg_left_lean_mass,-0.02828149195389976,-0.13209360085134292,0.07553061694354339,0.4297079246861951,6.361326864470858,6.333306797833541,713,713,0.5524816174536794,0.36682663697062395,0.25768216754555595,False,not_significant,continuous,body_composition
body_comp_leg_left_tissue_mass,-0.30337859957457824,-0.4077809516457068,-0.19897624750344967,1.6394429318909753e-09,10.450707605705354,9.96562713316171,713,713,1.7437711184658557e-08,8.785303696284156,7.7585105196962205,True,downregulated,continuous,body_composition
body_comp_trunk_right_fat_free_mass,-0.13006915569396013,-0.23398578017234908,-0.02615253121557118,0.010771213560716824,9.827441495425747,9.66231662127818,713,713,0.03938224958137088,1.967735363272911,1.4046994798466554,True,downregulated,continuous,body_composition
body_comp_arms_bone_mass,-0.12317816468993674,-0.22708347825243969,-0.019272851127433793,0.023852280888304798,0.2664980787612048,0.26143007014870545,713,713,0.05813993466524295,1.6224700849743563,1.2355254606037818,False,not_significant,continuous,body_composition
