feature,system,cohens_d_B_minus_A,ci_low,ci_high,p_value,adj_p_value,n_ClusterA,n_ClusterB,significant_q05
bt__hdl_cholesterol,blood_tests_lipids,-0.1749966747074965,-0.3373274351398929,-0.0126659142751002,0.0968785740369347,0.3875142961477391,309,278,False
bt__non_hdl_cholesterol,blood_tests_lipids,-0.0854803787911922,-0.2527586350724466,0.0817978774900621,0.3090974745218576,0.4791441481759271,294,258,False
bt__total_cholesterol,blood_tests_lipids,-0.1033492729898172,-0.2656328676737692,0.0589343216941347,0.3593581111319454,0.4791441481759271,309,277,False
bt__triglycerides,blood_tests_lipids,0.0537197682413821,-0.1079310351518219,0.2153705716345861,0.9479266769255932,0.9479266769255932,311,279,False
body_comp_legs_fat_mass,body_composition,-0.9419556821627456,-1.0342734067378243,-0.8496379575876667,4.605492563803077e-92,5.3884262996496e-90,1002,1001,True
body_comp_leg_left_fat_mass,body_composition,-0.9358869802907334,-1.0281454968639427,-0.8436284637175241,5.744978162399367e-91,3.36081222500363e-89,1002,1001,True
body_comp_leg_right_fat_mass,body_composition,-0.9325805635462948,-1.0248069669275242,-0.8403541601650657,2.341849512538638e-90,9.13321309890069e-89,1002,1001,True
body_comp_gynoid_fat_mass,body_composition,-0.7495232771480109,-0.8401346711847517,-0.6589118831112701,3.336573946769802e-60,9.759478794301672e-59,1002,1001,True
body_comp_total_right_fat_mass,body_composition,-0.6002538351309495,-0.6897927244349653,-0.5107149458269338,6.809181713110228e-44,1.5933485208677933e-42,1002,1001,True
body_comp_total_fat_mass,body_composition,-0.5998316418489821,-0.6893678179044581,-0.510295465793506,9.4299640275598e-44,1.838842985374161e-42,1002,1001,True
body_comp_total_left_fat_mass,body_composition,-0.5957676076845866,-0.6852777594576334,-0.5062574559115398,3.971088764726312e-43,6.637391221042549e-42,1002,1001,True
body_comp_arms_fat_mass,body_composition,-0.5792226608001001,-0.6686286164875805,-0.4898167051126196,1.0200657598328833e-41,1.4918461737555916e-40,1002,1001,True
body_comp_arm_left_fat_mass,body_composition,-0.5824720969642987,-0.6718982947547891,-0.4930458991738082,2.937247254709165e-41,3.818421431121914e-40,1002,1001,True
body_comp_arm_right_fat_mass,body_composition,-0.5538776187761686,-0.6431294254785324,-0.4646258120738048,1.9529951600038345e-39,2.285004337204486e-38,1002,1001,True
body_comp_arm_right_lean_mass,body_composition,0.5604548097716456,0.4711636377621205,0.6497459817811708,2.708984089899628e-33,2.881373986529604e-32,1002,1001,True
body_comp_arms_lean_mass,body_composition,0.5553528925914328,0.4660922951125396,0.644613490070326,3.2234066379420814e-33,3.142821471993529e-32,1002,1001,True
body_comp_arm_right_fat_free_mass,body_composition,0.5509512306522498,0.4617167948923857,0.6401856664121139,2.7429436511040437e-32,2.46864928599364e-31,1002,1001,True
body_comp_arms_fat_free_mass,body_composition,0.5452552116647931,0.4560543329851117,0.6344560903444744,3.664511642511362e-32,3.0624847298130667e-31,1002,1001,True
body_comp_total_lean_mass,body_composition,0.525672187916763,0.4365841111690522,0.6147602646644736,7.1511895049458e-30,5.577927813857724e-29,1002,1001,True
body_comp_total_left_lean_mass,body_composition,0.5220697166660496,0.4330019567499088,0.6111374765821904,7.815292599812363e-30,5.71493271361279e-29,1002,1001,True
