feature,effect_size,effect_ci_low,effect_ci_high,p_value,n_A,n_B,fdr_q_value,significant_at_q05
body_comp_legs_fat_mass,-1.3414712761184537,-1.4143163506667038,-1.2686262015702037,0.0,3054,1188,0.0,True
body_comp_gynoid_fat_mass,-1.3358736146231245,-1.4086720950460172,-1.2630751342002318,5.995567124705132e-300,3054,1188,4.226874822917118e-298,True
body_comp_total_fat_mass,-1.320526825131903,-1.3931984092631127,-1.2478552410006931,1.1515220403258063e-290,3054,1188,5.4121535895312895e-289,True
body_comp_arms_fat_mass,-1.2244326770511569,-1.2963383306597946,-1.1525270234425191,4.255239148847772e-268,3054,1188,1.4999717999688397e-266,True
total_scan_sat_area,-1.203077476944474,-1.2749191532410948,-1.1312358006478533,2.1542787628556054e-245,3034,1187,6.075066111252807e-244,True
total_scan_sat_volume,-1.1793553995896022,-1.251017860305086,-1.1076929388741183,2.1413651122821184e-241,3034,1187,5.032208013862978e-240,True
body_comp_trunk_fat_mass,-1.1261440240536924,-1.1973185219084397,-1.0549695261989451,2.301966290351308e-219,3054,1188,4.63681781342192e-218,True
hips,-1.0908977381205758,-1.1606079261810964,-1.0211875500600551,1.0691357975911949e-212,3155,1231,1.884351843254481e-211,True
body_comp_android_fat_mass,-1.0793187781180322,-1.1501640132270385,-1.008473543009026,6.0613421677317976e-210,3054,1188,8.546492456501833e-209,True
body_comp_legs_tissue_mass,-0.9961209622846884,-1.0664122172181343,-0.9258297073512425,4.3393971230834625e-184,3054,1188,5.562318130497893e-183,True
body_comp_gynoid_tissue_mass,-0.9909886836883085,-1.0612470826923264,-0.9207302846842906,6.015226941651234e-174,3054,1188,6.058192848377314e-173,True
body_comp_legs_total_mass,-0.9842616934711053,-1.0544772614385245,-0.914046125503686,3.332179563522347e-179,3054,1188,3.9153109871387576e-178,True
body_comp_gynoid_total_mass,-0.9832493575160935,-1.053458502899719,-0.9130402121324682,3.682529777635888e-171,3054,1188,3.2452293665416265e-170,True
body_comp_total_tissue_mass,-0.9732933323342875,-1.0434396346289925,-0.9031470300395825,1.5750531408182887e-171,3054,1188,1.4805499523691913e-170,True
weight,-0.9650448925015324,-1.0339375283981236,-0.8961522566049411,2.1370988594968924e-175,3155,1231,2.317930301454322e-174,True
body_comp_android_tissue_mass,-0.9070420992278131,-0.9767851685296322,-0.837299029925994,1.9937539928657628e-158,3054,1188,1.5617739610781808e-157,True
body_comp_android_total_mass,-0.9053011891227506,-0.9750340153783075,-0.8355683628671937,4.330756023888978e-158,3054,1188,3.213876838780768e-157,True
body_comp_trunk_tissue_mass,-0.871485458341355,-0.9410229374763506,-0.8019479792063595,7.587913184768795e-143,3054,1188,5.349478795262e-142,True
body_comp_trunk_total_mass,-0.867309270159138,-0.9368231029085383,-0.7977954374097376,1.9820261744050152e-141,3054,1188,1.330789002814796e-140,True
waist,-0.8454350706973801,-0.9136325921285761,-0.7772375492661842,3.453276771513891e-132,3156,1231,2.2132364762884483e-131,True
body_comp_total_total_mass,-0.8390165010929954,-0.9083729211810414,-0.7696600810049494,2.2876599536265154e-159,3054,1188,1.897412079184345e-158,True
body_comp_arms_tissue_mass,-0.7887051928624684,-0.857793770149847,-0.7196166155750898,1.140841198434741e-124,3054,1188,6.993852564317325e-124,True
body_comp_arms_total_mass,-0.777347338826779,-0.8463776036810453,-0.7083170739725126,4.227120041495549e-121,3054,1188,2.483433024378635e-120,True
total_scan_vat_area,-0.7495422128435663,-0.8189284113278711,-0.6801560143592614,3.7546299917380357e-118,3023,1169,2.117611315340252e-117,True
total_scan_vat_volume,-0.7434737581784894,-0.8128300344297053,-0.6741174819272735,9.774661706268842e-118,3023,1169,5.300874233015026e-117,True
body_spine_bmd,-0.38518154656639786,-0.45270000107662445,-0.31766309205617127,4.021557734750998e-29,3054,1188,1.9553091055168648e-28,True
body_ribs_bmd,-0.34634732902860454,-0.41377045746302055,-0.27892420059418854,3.8524776487731835e-37,3054,1188,2.0118494388037735e-36,True
body_comp_legs_lean_mass,-0.3134579507326121,-0.3808081705407349,-0.24610773092448932,8.082395688116434e-19,3054,1188,3.676186425885216e-18,True
body_comp_legs_fat_free_mass,-0.3060408718022705,-0.37337564384502453,-0.23870609975951648,4.300037629957446e-18,3054,1188,1.8947040806999996e-17,True
body_ribs_bmc,-0.30393713754105084,-0.3712675947798692,-0.23660668030223247,1.8014506032712123e-32,3054,1188,9.071590537901461e-32,True
body_trunk_bmd,-0.2973728183120253,-0.3646900015811139,-0.23005563504293663,2.385485816110257e-17,3054,1188,1.0192530305198371e-16,True
body_trunk_bmc,-0.28381464525462063,-0.3511053216520781,-0.21652396885716318,3.9700584430813627e-16,3054,1188,1.5129141634445193e-15,True
body_comp_trunk_bone_mass,-0.28381464525462025,-0.3511053216520777,-0.2165239688571628,3.9700584430813627e-16,3054,1188,1.5129141634445193e-15,True
body_spine_bmc,-0.28319556437205,-0.3504850597184396,-0.21590606902566048,9.13174524224629e-17,3054,1188,3.7869884681080204e-16,True
body_ribs_area,-0.26452126129233006,-0.3317763338699087,-0.19726618871475143,2.0424860208607322e-16,3054,1188,8.228300826896092e-16,True
body_total_bmd,-0.26217699124449073,-0.32942790721110937,-0.1949260752778721,5.861242289965786e-13,3054,1188,2.1748293760136206e-12,True
femur_shaft_mean_bmd,-0.23635200200263579,-0.30477614146534615,-0.16792786253992542,2.0654032269808937e-11,2967,1143,7.28054637510765e-11,True
femur_lower_neck_mean_bmc,-0.23605820253335424,-0.30448186800214916,-0.1676345370645593,2.132135858693616e-12,2967,1143,7.708491181430764e-12,True
femur_shaft_mean_bmc,-0.2336247425881535,-0.30204450463612603,-0.16520498054018096,3.2481630899359156e-11,2967,1143,1.0904547516213432e-10,True
body_legs_bmd,-0.23278929954417552,-0.29999122831435354,-0.1655873707739975,1.4532264456393103e-10,3054,1188,4.656930200798699e-10,True
spine_l1_bmd,-0.22843289156447433,-0.29659386421012135,-0.16027191891882733,1.4958373260463393e-09,2985,1152,4.585066586359431e-09,True
