feature,delta_z,ci_low,ci_high,p_value,mean_Cluster 0,mean_Cluster 1,n_Cluster 0,n_Cluster 1,adj_p_value,-log10_p,-log10_q,significant,regulation,analysis_type,system
total_scan_sat_area,0.5240562395218552,0.4380364177438377,0.6100760612998727,2.870809865886394e-34,122.49252077198695,152.94762035116838,1073,1075,3.0534977664428006e-33,33.54199556993148,32.51520239334354,True,upregulated,continuous,body_composition
total_scan_sat_mass,-0.07350116378867182,-0.1581099972426044,0.011107669665260778,2.5971706613994887e-30,1.7479636981815414,1.3433966375052773,1073,1075,2.1704926241695727e-29,29.58549951172269,28.663441685654767,True,downregulated,continuous,body_composition
total_scan_sat_volume,0.5150915863951362,0.42912019885194586,0.6010629739383265,8.73740401636086e-34,1089.628781259876,1360.506587933585,1073,1075,8.518968915951839e-33,33.058617582106784,32.06961296640824,True,upregulated,continuous,body_composition
total_scan_vat_area,0.09703303733223077,0.011945132926277371,0.18212094173818416,3.4252045562764475e-05,51.57609084456291,55.653513596724714,1057,1068,6.909464363523178e-05,4.465313486942558,4.160555618759334,True,upregulated,continuous,body_composition
total_scan_vat_volume,0.09411420103164282,0.00902926016518156,0.1791991418981041,3.652020167948551e-05,459.0203196037531,494.48892878368355,1057,1068,7.24214168898272e-05,4.437466832779419,4.140132982675402,True,upregulated,continuous,body_composition
body_comp_leg_left_fat_free_mass,-0.36284061795014405,-0.44807434034799226,-0.27760689555229584,7.579646689227201e-16,6.782619180144416,6.44039510270482,1074,1076,1.9278666579121358e-15,15.120351037705037,14.714923007640449,True,downregulated,continuous,body_composition
body_comp_trunk_fat_free_mass,-0.5019378792076581,-0.5877997011070996,-0.4160760573082167,4.259034535961113e-29,20.150383557521803,18.98755948716948,1074,1076,2.768372448374723e-28,28.370688838274095,27.55777548163124,True,downregulated,continuous,body_composition
body_comp_total_right_tissue_mass,0.13463679059504052,0.05000013416724808,0.21927344702283297,0.00011684541207410662,29.313605110325028,29.85758586494861,1074,1076,0.00022411333135525366,3.9323883354755735,3.649532308740179,True,upregulated,continuous,body_composition
body_comp_gynoid_total_mass,0.2537069615192332,0.16882660836011107,0.33858731467835534,1.0188483924784243e-09,9.820148029204313,10.169756535400571,1074,1076,2.2075048503699193e-09,8.991890435432781,8.656098333509588,True,upregulated,continuous,body_composition
body_comp_trunk_left_bone_mass,-0.14598859365404682,-0.23064206148117253,-0.061335125826921105,0.000760897995060884,0.309570340201377,0.3012793837376189,1074,1076,0.0011561696808067977,3.1186735602484323,2.936978423674753,True,downregulated,continuous,body_composition
body_comp_leg_right_lean_mass,-0.37997457133598406,-0.4652749699209833,-0.29467417275098484,3.7688606643431786e-17,6.485275114539071,6.138278507742064,1074,1076,1.0755041408003706e-16,16.423789918221782,15.968387913195357,True,downregulated,continuous,body_composition
body_comp_android_tissue_mass,0.0936839145277329,0.009096622238932886,0.1782712068165329,0.0011124103114868913,4.215169145470159,4.293743086520612,1074,1076,0.0016269000805495784,2.9537349940967115,2.7886391193424935,True,upregulated,continuous,body_composition
body_comp_trunk_lean_mass,-0.5086768597186835,-0.5945741061271418,-0.4227796133102252,9.602864555659102e-30,19.521360739443345,18.37533858905938,1074,1076,7.022094706325717e-29,29.017599196632894,28.153533317542657,True,downregulated,continuous,body_composition
body_comp_total_lean_mass,-0.48871968685429007,-0.5745133562815494,-0.40292601742703066,2.0491186307110907e-27,39.33361862374071,37.147213448258775,1074,1076,1.042377738231294e-26,26.68843289803032,25.981974872301752,True,downregulated,continuous,body_composition
body_comp_trunk_right_fat_mass,0.37319767033494194,0.2879240052694604,0.4584713354004235,6.010582931466083e-22,4.676628880981501,5.305083111167359,1074,1076,2.0683476558280343e-21,21.22108340625979,20.684376461555882,True,upregulated,continuous,body_composition
body_comp_arms_lean_mass,-0.5036689282532262,-0.5895398059828014,-0.41779805052365093,6.113028933146011e-30,4.023302672932047,3.7103541134568783,1074,1076,4.768162567853889e-29,29.213743548676778,28.3216489459863,True,downregulated,continuous,body_composition
body_comp_legs_total_mass,0.2960071070046739,0.21100446903896752,0.3810097449703803,1.5858634660546102e-12,20.644081761839807,21.569883117747068,1074,1076,3.710920510567788e-12,11.799734205726818,11.430518348316674,True,upregulated,continuous,body_composition
body_comp_total_right_fat_mass,0.6386749038035462,0.5520054745309471,0.7253443330761453,8.607912982394627e-53,9.673566371370592,11.309436531512896,1074,1076,2.0142516378803428e-51,52.06510213194916,50.69588627453902,True,upregulated,continuous,body_composition
body_comp_arms_fat_free_mass,-0.49425317014259934,-0.5800751552445691,-0.4084311850406296,5.0384671701971217e-29,4.2881001013838596,3.9679094426040393,1074,1076,3.102635046910859e-28,28.29770156688308,27.508269306089748,True,downregulated,continuous,body_composition
body_comp_trunk_tissue_mass,0.03138750428123461,-0.05315863180148984,0.11593364036395906,0.136918077829615,28.95641659096354,29.096934387098752,1074,1076,0.18413120811568912,0.8635392064801961,0.734872597352653,False,not_significant,continuous,body_composition
body_comp_android_bone_mass,-0.17866716169437377,-0.2633765938799468,-0.09395772950880078,0.000374891365973285,42.95935886585103,41.426181234647004,1074,1076,0.0006091984697065881,3.4260945615878864,3.215241196272993,True,downregulated,continuous,body_composition
body_comp_total_total_mass,0.12783135411571156,0.04320412552281706,0.21245858270860607,0.0003166614102296725,60.833485820459394,61.88060465452124,1074,1076,0.0005218223238996012,3.499404858464061,3.2824773454369747,True,upregulated,continuous,body_composition
body_comp_leg_right_bone_mass,-0.15816434367798482,-0.2428373506952115,-0.07349133666075815,0.0002334275341982516,0.3886100136913724,0.3796537735458587,1074,1076,0.0004031725537237711,3.6318479175919336,3.3945090404812546,True,downregulated,continuous,body_composition
body_comp_arms_diff_total_mass,0.09044418846695099,0.00586004642817721,0.17502833050572475,0.8059713821284864,0.2789651196377905,0.362024225070986,1074,1076,0.8165668723347695,0.09368037854767898,0.08800824314195087,False,not_significant,continuous,body_composition
body_comp_arm_right_tissue_mass,0.03156654291385907,-0.052979652720019386,0.11611273854773752,0.22092561694570212,3.116163385033852,3.1331403299056095,1074,1076,0.26481808077838326,0.6557539235439932,0.5770523662330599,False,not_significant,continuous,body_composition
body_comp_leg_left_total_mass,0.29181516603491237,0.20682547824212794,0.3768048538276968,4.225805320513703e-12,10.251432058453483,10.707160710007203,1074,1076,9.508061971155831e-12,11.374090514423825,11.021907996312462,True,upregulated,continuous,body_composition
body_comp_legs_bone_mass,-0.15901599538777608,-0.2436904274656106,-0.07434156330994159,0.0002049030678414983,0.7728623248949171,0.755007979756472,1074,1076,0.00036882552211469694,3.688451539223695,3.433179034120389,True,downregulated,continuous,body_composition
body_comp_total_diff_total_mass,0.046089893576386966,-0.03846226071739723,0.13064204787017117,0.14970201308611056,0.8148126248877718,0.8505075893777974,1074,1076,0.19547438132231254,0.8247723595346291,0.7089101527407794,False,not_significant,continuous,body_composition
body_comp_arm_right_total_mass,0.02523786889208179,-0.05930642732928926,0.10978216511345285,0.2933496483955982,3.250537443112887,3.2643780998706533,1074,1076,0.3398208798246038,0.5326144279860611,0.4687499400225421,False,not_significant,continuous,body_composition
body_comp_total_diff_bone_mass,0.05081254711769005,-0.033742024882756266,0.13536711911813637,0.7204228026461155,0.38147925229050184,0.4541062510915576,1074,1076,0.7525845349071028,0.14241254945237322,0.1234447103763932,False,not_significant,continuous,body_composition
body_comp_arms_diff_bone_mass,-0.05797619897339385,-0.1425348880079537,0.026582490061165982,0.4126552782464207,3.4596047733534805,3.2815211391567716,1074,1076,0.4554779958002945,0.38441259548706186,0.34153259900567046,False,not_significant,continuous,body_composition
body_comp_trunk_diff_lean_mass,0.013050977540932608,-0.07149085320357072,0.09759280828543594,0.30782415287547227,0.6122555027861694,0.620328143100408,1074,1076,0.353092410651277,0.5116973070223747,0.4521116170381307,False,not_significant,continuous,body_composition
body_comp_arm_left_fat_mass,0.6194579780680862,0.5329132500224376,0.7060027061137348,1.4146732353436765e-49,1.0413805949859694,1.2306845725760867,1074,1076,1.8390752059467794e-48,48.849343862949205,47.735400510642364,True,upregulated,continuous,body_composition
body_comp_trunk_left_fat_mass,0.37482382074006215,0.28954378394517105,0.46010385753495325,3.1167782093467753e-22,4.758445592512668,5.416525698024491,1074,1076,1.1050395469502203e-21,21.506294101118705,20.95662217925043,True,upregulated,continuous,body_composition
body_comp_leg_left_lean_mass,-0.36935527785511896,-0.45461399550956205,-0.28409656020067586,2.4592831895303317e-16,6.3983584890526375,6.065067848167102,1074,1076,6.394136292778862e-16,15.609191458829809,15.19421811085899,True,downregulated,continuous,body_composition
body_comp_leg_left_tissue_mass,0.3040711881592874,0.2190431241288902,0.3890992521896846,4.456120450835348e-13,9.867559635518116,10.331994236138616,1074,1076,1.0640124341790524e-12,12.35104307851069,11.973053296793042,True,upregulated,continuous,body_composition
body_comp_trunk_right_fat_free_mass,-0.48498945714551017,-0.5707642131057376,-0.3992147011852828,9.875735427539815e-27,9.851019923564902,9.28142900073615,1074,1076,4.6218441800886336e-26,26.005430553399748,25.335184700325623,True,downregulated,continuous,body_composition
body_comp_arms_bone_mass,-0.1893692131835027,-0.2740994129766162,-0.10463901339038914,1.88651424566331e-05,0.26481139493227657,0.2575571878832565,1074,1076,3.8723187147825837e-05,4.724339910956171,4.4120289048825,True,downregulated,continuous,body_composition
body_comp_arm_right_fat_mass,0.5911033824174349,0.5047360032925464,0.6774707615423233,1.508174546575202e-47,1.0504542022733734,1.232296668517419,1074,1076,1.7645642194929864e-46,46.82154839306326,45.753362531317094,True,upregulated,continuous,body_composition
body_comp_trunk_fat_mass,0.3759205982001079,0.2906362485392681,0.46120494786094773,2.1921885192661913e-22,9.435065162507158,10.721593009935292,1074,1076,8.015189273567011e-22,21.659122101028647,21.096086217602394,True,upregulated,continuous,body_composition
body_comp_arms_diff_fat_free_mass,-0.008415202729155795,-0.09295650767376124,0.07612610221544966,0.18108951579037902,0.3532035367735614,0.3434513550301394,1074,1076,0.22302603523657205,0.7421066925141476,0.6516444360568338,False,not_significant,continuous,body_composition
body_comp_arms_tissue_mass,0.055219816248821524,-0.02933722450819652,0.13977685700583958,0.06826787820115272,6.115131883599182,6.173335354550316,1074,1076,0.0939687264651161,1.165783595022221,1.027016658990352,False,not_significant,continuous,body_composition
body_comp_total_left_fat_mass,0.6297386329477503,0.5431276438344587,0.716349622061042,3.27719471155581e-51,9.649147308888887,11.293184514966464,1074,1076,5.477596875028997e-50,50.48449775463773,49.26140993290583,True,upregulated,continuous,body_composition
body_comp_legs_tissue_mass,0.3081341918797878,0.2230930612554886,0.393175322504087,1.8383313197790076e-13,19.87230975351848,20.815297071076127,1074,1076,4.576271583279658e-13,12.735576213633033,12.339488209822589,True,upregulated,continuous,body_composition
body_comp_android_fat_free_mass,-0.40632438616058003,-0.4917332153694884,-0.3209155569516717,3.9494330864537044e-19,2.8637919052156757,2.711043687117358,1074,1076,1.2160096608291668e-18,18.403465239840553,17.9150629747112,True,downregulated,continuous,body_composition
body_comp_total_fat_mass,0.6360436863284197,0.5493915457478246,0.7226958269090148,2.832279550140046e-52,19.32273602662816,22.60260524722284,1074,1076,5.52294512277309e-51,51.54786388336521,50.25782927200269,True,upregulated,continuous,body_composition
body_comp_trunk_diff_tissue_mass,-0.04523794925318237,-0.1297896924876623,0.039313793981297564,0.39600801054514556,0.829724367734215,0.7929440391509358,1074,1076,0.4455090118632888,0.40229602897255046,0.3511435065251691,False,not_significant,continuous,body_composition
body_comp_total_tissue_mass,0.13610763897609346,0.05146888081677935,0.22074639713540756,0.00013351014081348578,58.65635371927018,59.749809401801315,1074,1076,0.0002519465560512554,3.8744857460441464,3.598691573796239,True,upregulated,continuous,body_composition
body_comp_total_left_bone_mass,-0.1600586738508093,-0.24473486101960226,-0.07538248668201633,0.00024641330638411975,1.0597641204268509,1.0359398413385614,1074,1076,0.0004178312586513335,3.6083358438567856,3.378999072847879,True,downregulated,continuous,body_composition
body_comp_legs_diff_lean_mass,-0.02137468295538041,-0.10591802773914614,0.06316866182838533,0.6341413726169965,0.4255391643370503,0.4018472901220967,1074,1076,0.6744958236017146,0.19781391167170367,0.17102073508376703,False,not_significant,continuous,body_composition
body_comp_trunk_right_tissue_mass,0.03007415861886482,-0.05447155097825883,0.11461986821598848,0.1503649087094712,14.208174911399299,14.275566880058893,1074,1076,0.19547438132231254,0.8228535050476161,0.7089101527407794,False,not_significant,continuous,body_composition
body_comp_arm_left_total_mass,0.06862052682555253,-0.015945280535225315,0.15318633418633038,0.03530275782535658,3.1294691501299217,3.167432658176272,1074,1076,0.04976412850080385,1.4521913665229096,1.303083597152822,True,upregulated,continuous,body_composition
body_comp_leg_right_fat_mass,0.948045615992459,0.8588820347570496,1.0372091972278683,2.4262628752653917e-101,3.5194796589548347,4.3450308327717435,1074,1076,1.419363782030254e-99,100.61506214695984,98.84790628087767,True,upregulated,continuous,body_composition
body_comp_total_diff_lean_mass,-0.002057548281413513,-0.086598501419935,0.08248340485710798,0.7891113750359509,0.6316414546702998,0.6300389486341738,1074,1076,0.8098774638526864,0.1028616962203149,0.09158068581062583,False,not_significant,continuous,body_composition
