analysis,disease,n_cluster1,n_cluster0,prev_cluster1,prev_cluster0,delta_prevalence,log2_fold_change,p_value,q_value
pre_matching,Obesity,1228,3153,0.011400651465798045,0.07167776720583571,-0.06027711574003767,-2.6523030189994903,4.942166780948168e-19,1.6803367055223773e-17
pre_matching,Hyperlipidemia,1228,3153,0.1449511400651466,0.2052013954963527,-0.0602502554312061,-0.5014709393851532,3.2773115940548364e-06,5.5714297098932216e-05
pre_matching,Hypertension,1228,3153,0.05537459283387622,0.0935616872819537,-0.03818709444807748,-0.7566830601836161,2.397467517364501e-05,0.0002717129853013101
pre_matching,Back Pain,1228,3153,0.14250814332247558,0.17919441801458927,-0.03668627469211369,-0.3304792635772803,0.0035091946797140717,0.023862523822055687
pre_matching,Haemorrhoids,1228,3153,0.16775244299674266,0.19854107199492546,-0.0307886289981828,-0.24310237678189683,0.020542297577434816,0.06984381176327838
pre_matching,Gallstone Disease,1228,3153,0.03175895765472313,0.05867427846495401,-0.026915320810230882,-0.8855437946513489,0.00017470956442472332,0.0014850312976101483
pre_matching,Prediabetes,1228,3153,0.06514657980456026,0.09007294640025372,-0.024926366595693458,-0.4673982869792414,0.007258329553433645,0.035254743545249136
pre_matching,ADHD,1228,3153,0.13925081433224756,0.15889628924833493,-0.01964547491608737,-0.1903983880742689,0.11249571279208331,0.24435663524981258
pre_matching,IBS,1228,3153,0.059446254071661236,0.04154773231842689,0.017898521753234344,0.516805711969437,0.013274269306013189,0.05641564455055605
pre_matching,Fatty Liver Disease,1228,3153,0.025244299674267102,0.04249920710434507,-0.01725490743007797,-0.7514550685502125,0.006111837384918329,0.034633745181203865
pre_matching,Migraine,1228,3153,0.06758957654723127,0.08468125594671741,-0.017091679399486137,-0.3252375829204506,0.0627985596675182,0.17792925239130156
pre_matching,Sinusitis,1228,3153,0.03175895765472313,0.045353631462099586,-0.013594673807376459,-0.5140408924821003,0.04316910760616408,0.13343178714632534
pre_matching,Anxiety,1228,3153,0.03501628664495114,0.04598794798604504,-0.010971661341093897,-0.3932198967155419,0.11499135776461768,0.24435663524981258
pre_matching,Depression,1228,3153,0.033387622149837134,0.04376784015223597,-0.010380218002398835,-0.390547595086998,0.12651722286095257,0.25303444572190514
pre_matching,Asthma,1228,3153,0.039902280130293157,0.04979384712971773,-0.009891566999424575,-0.3194891132807328,0.1770887261877962,0.334500927243615
pre_matching,Sleep Apnea,1228,3153,0.005700325732899023,0.014272121788772598,-0.008571796055873576,-1.32393157851725,0.01894269929310636,0.06984381176327838
pre_matching,Anemia,1228,3153,0.07899022801302931,0.07072629241991754,0.008263935593111768,0.159425417545736,0.3654421888163859,0.621251720987856
pre_matching,Fibromyalgia,1228,3153,0.013843648208469055,0.021883920076117985,-0.00804027186764893,-0.6606087198624262,0.0901856474953196,0.23587015498775896
pre_matching,Insomnia,1228,3153,0.013029315960912053,0.02093244529019981,-0.007903129329287757,-0.6839377072803304,0.10566328412154338,0.24435663524981258
pre_matching,Psoriasis,1228,3153,0.02035830618892508,0.026958452267681572,-0.006600146078756492,-0.4051027881168502,0.2373325068946145,0.42470027549562595
pre_matching,Osteoarthritis,1228,3153,0.03013029315960912,0.035838883602917856,-0.0057085904433087364,-0.2503033608491952,0.4051028925647782,0.6337446219122347
pre_matching,Oral apthae,1228,3153,0.030944625407166124,0.0364732001268633,-0.005528574719697178,-0.237140861503945,0.4100700494726225,0.6337446219122347
pre_matching,B12 Deficiency,1228,3153,0.05130293159609121,0.056771328893117666,-0.005468397297026459,-0.14611853578616935,0.5080492587766368,0.690946991936226
pre_matching,Anal Fissure,1228,3153,0.05537459283387622,0.05962575325087219,-0.004251160416995969,-0.1067095436089154,0.6163525289273133,0.8059994609049482
pre_matching,Peptic Ulcer Disease,1228,3153,0.013029315960912053,0.016175071360608945,-0.003145755399696892,-0.3119891998051862,0.4955401441703426,0.690946991936226
pre_matching,Heart valve disease,1228,3153,0.008143322475570033,0.01078338090707263,-0.0026400584315025965,-0.40507676752156835,0.5025348927552581,0.690946991936226
pre_matching,Hearing loss,1228,3153,0.03501628664495114,0.032667300983190616,0.002348985661760526,0.10017587432961533,0.70803907486084,0.8597617337595914
pre_matching,Diabetes,1228,3153,0.015472312703583062,0.01363780526482715,0.0018345074387559127,0.18206482612554986,0.6695955313595643,0.8431943728231551
pre_matching,Endometriosis and Adenomyosis,1228,3153,0.04560260586319218,0.04408499841420869,0.0015176074489834934,0.048827369607302065,0.8072571009575505,0.9074407750475706
pre_matching,Atopic Dermatitis,1228,3153,0.033387622149837134,0.034887408816999685,-0.0014997866671625504,-0.06339124205803717,0.8540619059271253,0.9074407750475706
pre_matching,Headache,1228,3153,0.030944625407166124,0.03235014272121789,-0.0014055173140517657,-0.06408119369921936,0.8489172792906678,0.9074407750475706
pre_matching,Polycystic Ovary Disease,1228,3153,0.04071661237785016,0.04154773231842689,-0.0008311199405767328,-0.029151493674034138,0.9328635644181027,0.9611321572792574
pre_matching,Ischemic Heart Disease,1228,3153,0.005700325732899023,0.00507453219156359,0.0006257935413354326,0.16773832602115016,0.8169999003866983,0.9074407750475706
pre_matching,Allergy,1228,3153,0.20439739413680783,0.20424992071043452,0.00014747342637330685,0.0010412800530811798,1.0,1.0
post_matching,Haemorrhoids,1034,1034,0.17311411992263057,0.20309477756286268,-0.02998065764023211,-0.2304285101837384,0.09130774555163983,0.8205310876458471
post_matching,Migraine,1034,1034,0.06479690522243714,0.0851063829787234,-0.020309477756286262,-0.3933371150427627,0.09459739002288742,0.8205310876458471
post_matching,Prediabetes,1034,1034,0.06576402321083172,0.04932301740812379,0.01644100580270793,0.4150301869248787,0.1305252106415954,0.8205310876458471
post_matching,Back Pain,1034,1034,0.14119922630560927,0.15667311411992263,-0.015473887814313358,-0.1500244348812325,0.35421190120559154,0.8602289029278652
post_matching,B12 Deficiency,1034,1034,0.048355899419729204,0.061895551257253385,-0.013539651837524182,-0.3561372839537859,0.2101937050176154,0.8205310876458471
post_matching,Insomnia,1034,1034,0.010638297872340425,0.02321083172147002,-0.012572533849129595,-1.1254574298958802,0.03927687007194012,0.8205310876458471
post_matching,ADHD,1034,1034,0.13636363636363635,0.14796905222437137,-0.011605415860735019,-0.11783566051432175,0.48857353240569534,0.9160689147454871
post_matching,Polycystic Ovary Disease,1034,1034,0.0425531914893617,0.030947775628626693,0.011605415860735008,0.4594189052420325,0.1982794359322596,0.8205310876458471
post_matching,Anxiety,1034,1034,0.031914893617021274,0.0425531914893617,-0.010638297872340427,-0.41502619847752054,0.24530788538801632,0.8340468103192554
post_matching,Sinusitis,1034,1034,0.029980657640232108,0.03868471953578337,-0.00870406189555126,-0.36772095762739965,0.33401213605352603,0.8602289029278652
post_matching,Psoriasis,1034,1034,0.01644100580270793,0.025145067698259187,-0.008704061895551257,-0.6129465034861828,0.2171994055533125,0.8205310876458471
post_matching,Fatty Liver Disease,1034,1034,0.02804642166344294,0.020309477756286266,0.007736943907156676,0.4656439771651618,0.31629447757080076,0.8602289029278652
post_matching,Fibromyalgia,1034,1034,0.010638297872340425,0.0183752417794971,-0.007736943907156674,-0.7884387986923217,0.1972005784877844,0.8205310876458471
post_matching,Atopic Dermatitis,1034,1034,0.035783365570599614,0.043520309477756286,-0.007736943907156672,-0.28239256333164087,0.4303897468241618,0.9160689147454871
post_matching,Diabetes,1034,1034,0.01644100580270793,0.008704061895551257,0.007736943907156672,0.9174598468341737,0.16594928571606377,0.8205310876458471
post_matching,Peptic Ulcer Disease,1034,1034,0.010638297872340425,0.01644100580270793,-0.005802707930367504,-0.6279833627883596,0.34161712427443075,0.8602289029278652
post_matching,Asthma,1034,1034,0.03868471953578337,0.04448742746615087,-0.0058027079303675025,-0.2016289968958688,0.5820542370419316,0.9423735266393178
post_matching,Hearing loss,1034,1034,0.033849129593810444,0.02804642166344294,0.0058027079303675025,0.2712932038979199,0.5258069371180242,0.9160689147454871
post_matching,Hyperlipidemia,1034,1034,0.15473887814313347,0.15087040618955513,0.0038684719535783396,0.036525636964711956,0.8545483678224165,1.0
post_matching,Heart valve disease,1034,1034,0.005802707930367505,0.009671179883945842,-0.003868471953578337,-0.736866158096934,0.45271748950958074,0.9160689147454871
post_matching,Sleep Apnea,1034,1034,0.006769825918762089,0.010638297872340425,-0.003868471953578336,-0.6519992126105405,0.478734790574811,0.9160689147454871
post_matching,Obesity,1034,1034,0.013539651837524178,0.009671179883945842,0.003868471953578336,0.485384209613878,0.5388640674973454,0.9160689147454871
post_matching,Gallstone Disease,1034,1034,0.033849129593810444,0.029980657640232108,0.003868471953578336,0.17508120720413703,0.7077197110184784,1.0
post_matching,Anemia,1034,1034,0.07736943907156674,0.08123791102514506,-0.0038684719535783257,-0.07038843995815322,0.8071988779578532,1.0
post_matching,Anal Fissure,1034,1034,0.0551257253384913,0.05222437137330754,0.0029013539651837547,0.07800105808425527,0.845382863711239,1.0
post_matching,Osteoarthritis,1034,1034,0.027079303675048357,0.029980657640232108,-0.0029013539651837512,-0.14683623270397742,0.7919054630768377,1.0
post_matching,Allergy,1034,1034,0.2079303675048356,0.2059961315280464,0.0019342359767891837,0.013483164215048637,0.9567183167853853,1.0
post_matching,Hypertension,1034,1034,0.05705996131528046,0.05899419729206963,-0.0019342359767891698,-0.04809345923691183,0.9251102767802599,1.0
post_matching,Oral apthae,1034,1034,0.033849129593810444,0.035783365570599614,-0.0019342359767891698,-0.08016804489433996,0.9046196306907439,1.0
post_matching,Ischemic Heart Disease,1034,1034,0.005802707930367505,0.0038684719535783366,0.0019342359767891685,0.5848382152715466,0.753309224048538,1.0
