analysis,domain,n_conditions,n_cluster1,n_cluster0,mean_cluster1,mean_cluster0,mean_diff_c1_minus_c0,p_value,q_value
pre_matching,Cancer,3,1228,3153,0.019543973941368076,0.029178560101490645,-0.009634586160122569,0.0830163776040725,0.1826360307289595
pre_matching,Cardiometabolic,17,1228,3153,0.3550488599348534,0.5686647637170948,-0.21361590378224143,1.0046852976618807e-14,1.1051538274280688e-13
pre_matching,Endocrine,7,1228,3153,0.15390879478827363,0.1506501744370441,0.0032586203512295353,0.5877073809015171,0.6464781189916688
pre_matching,Eye,4,1228,3153,0.014657980456026058,0.021249603552172536,-0.0065916230961464775,0.1933043425592218,0.3037639668787771
pre_matching,GI,10,1228,3153,0.3469055374592834,0.3907389787503964,-0.04383344129111305,0.01899431222874034,0.05223435862903593
pre_matching,Mental/Neuro,7,1228,3153,0.32003257328990226,0.38947034570250555,-0.0694377724126033,0.0013932966468582935,0.005108754371813743
pre_matching,Musculoskeletal,6,1228,3153,0.19299674267100977,0.24516333650491595,-0.05216659383390618,0.0009461192141575725,0.005108754371813743
pre_matching,Other,6,1228,3153,0.24592833876221498,0.2588011417697431,-0.012872803007528133,0.3412132393059447,0.469168204045674
pre_matching,Reproductive,6,1228,3153,0.0993485342019544,0.10180780209324453,-0.002459267891290126,0.9905058701492457,0.9905058701492457
pre_matching,Respiratory/ENT,5,1228,3153,0.11074918566775244,0.1313035204567079,-0.020554334788955464,0.11947709723010785,0.21904134492186442
pre_matching,Skin,3,1228,3153,0.059446254071661236,0.06533460196638123,-0.005888347894719995,0.5259390210946493,0.6428143591156824
post_matching,Cancer,3,1034,1034,0.0183752417794971,0.03481624758220503,-0.01644100580270793,0.02019582051180166,0.22215402562981826
post_matching,Cardiometabolic,17,1034,1034,0.37524177949709864,0.33945841392649906,0.03578336557059958,0.46860152398814703,0.6056519654986839
post_matching,Endocrine,7,1034,1034,0.14990328820116053,0.16344294003868473,-0.013539651837524203,0.699705250308287,0.7102913566685732
post_matching,Eye,4,1034,1034,0.015473887814313346,0.024177949709864602,-0.008704061895551255,0.2558811606565089,0.5629385534443196
post_matching,GI,10,1034,1034,0.35106382978723405,0.3713733075435203,-0.020309477756286276,0.310852268203633,0.5698958250399938
post_matching,Mental/Neuro,7,1034,1034,0.3065764023210832,0.36363636363636365,-0.05705996131528046,0.09580767040408811,0.49766751403171056
post_matching,Musculoskeletal,6,1034,1034,0.18568665377176016,0.21179883945841393,-0.02611218568665377,0.16879521703807865,0.49766751403171056
post_matching,Other,6,1034,1034,0.2514506769825919,0.26305609284332687,-0.011605415860734991,0.49553342631710506,0.6056519654986839
post_matching,Reproductive,6,1034,1034,0.10058027079303675,0.09090909090909091,0.009671179883945835,0.40567139332722546,0.6056519654986839
post_matching,Respiratory/ENT,5,1034,1034,0.10735009671179883,0.11411992263056092,-0.006769825918762087,0.7102913566685732,0.7102913566685732
post_matching,Skin,3,1034,1034,0.058027079303675046,0.07156673114119923,-0.013539651837524182,0.1809700051024402,0.49766751403171056
