system,n_features_tested,n_continuous,n_binary,n_significant_q05,top_feature,top_effect_size,top_q_value
body_composition,117.0,117.0,0.0,97.0,body_comp_legs_fat_mass,-0.9712086048845768,5.326543705885018e-176
bone_density,182.0,182.0,0.0,58.0,body_pelvis_area,0.1871999237897932,0.0001966696256468
cardiovascular_system,164.0,164.0,0.0,24.0,hr_bpm,-0.3514681299248582,1.7473713644273116e-20
high_level_diet,125.0,125.0,0.0,16.0,Energy / BMR,0.2455895789322112,6.830553197617958e-08
sleep,125.0,125.0,0.0,13.0,heart_rate_min_during_rem,-0.3244316108728536,3.2518369315098315e-10
liver,11.0,11.0,0.0,6.0,liver_sound_speed,0.4671138794532035,1.1915386749651952e-31
frailty,7.0,7.0,0.0,6.0,hand_grip_left,0.3841486852232717,4.852525846882316e-23
hematopoietic_system,8.0,8.0,0.0,5.0,bt__mch,0.2062638256539248,9.791619448814504e-09
exercise_logging,14.0,14.0,0.0,4.0,wearable_total_monthly_hours,0.0343714718390555,0.0029908981266627
diet_questions,144.0,7.0,137.0,2.0,raw_veg_tablespoons_day,0.1103695355090534,0.0024215721559054
immune_system,11.0,11.0,0.0,2.0,bt__neutrophils_abs,-0.0962315272769902,0.0448902703296344
lifestyle,157.0,19.0,138.0,2.0,vigorous_activity_minutes,0.0680619947992439,1.2525831399136629e-08
metabolites_unannotated,1677.0,1677.0,0.0,1.0,4.01_179.1803m_z,0.2167211348659657,0.0087938169543953
renal_function,4.0,4.0,0.0,1.0,bt__creatinine,0.2855343543500812,0.0002031376192687
metabolites_annotated,133.0,133.0,0.0,1.0,3- Allylphenol sulfate_	4- Allylphenol sulfate,0.0456219080930982,0.0378555485790992
gait,152.0,152.0,0.0,0.0,,,
diet,311.0,311.0,0.0,0.0,,,
blood_tests_lipids,4.0,4.0,0.0,0.0,,,
family_medical_conditions,47.0,0.0,47.0,0.0,,,
family_history,13.0,8.0,5.0,0.0,,,
glycemic_status,48.0,48.0,0.0,0.0,,,
mental,31.0,13.0,18.0,0.0,,,
medical_conditions,78.0,0.0,78.0,0.0,,,
medications,47.0,0.0,47.0,0.0,,,
nightingale,167.0,167.0,0.0,0.0,,,
microbiome,516.0,516.0,0.0,0.0,,,
proteomics,1025.0,1025.0,0.0,0.0,,,
rna,15344.0,15344.0,0.0,0.0,,,
