system,feature,feature_type,n_clusterA,n_clusterB,mean_clusterA,mean_clusterB,effect_size,effect_ci_low,effect_ci_high,p_value,fdr_q_value,significant_at_q05
blood_tests_lipids,bt__non_hdl_cholesterol,continuous,358,338,0.0864339799908014,-0.0915484166766474,-0.1782114128545078,-0.2376152171393439,-0.1188076085696718,0.0130724515570054,0.0522898062280218,False
blood_tests_lipids,bt__total_cholesterol,continuous,368,360,0.0693885835522567,-0.0709305520756418,-0.1291502377131442,-0.1978471726669445,-0.0549575479630402,0.0872397611707167,0.1744795223414334,False
blood_tests_lipids,bt__triglycerides,continuous,370,362,0.0117425651586457,-0.0120020693610461,-0.0678967146586609,-0.1357934293173218,-0.0226322382195536,0.1634783046886325,0.2179710729181767,False
blood_tests_lipids,bt__hdl_cholesterol,continuous,369,359,0.0171075225911874,-0.0175840552538947,0.0,-0.0729829659922078,0.0729829659922078,0.7584794033596028,0.7584794033596028,False
body_composition,body_comp_legs_fat_mass,continuous,1304,1374,0.5283698946458608,-0.5014514866216899,-0.9712086048845768,-1.0013604179190023,-0.9414953912873322,4.552601458021384e-178,5.326543705885018e-176,True
body_composition,body_comp_leg_right_fat_mass,continuous,1304,1374,0.5259382649474172,-0.4991437390767332,-0.9661921314173704,-0.9960849467326592,-0.9362510393177615,6.594315500630024e-176,2.6644317238363727e-174,True
body_composition,body_comp_leg_left_fat_mass,continuous,1304,1374,0.5247743722367344,-0.4980391422101178,-0.9652982949729196,-0.995283571436933,-0.9350448260383424,6.831876214965058e-176,2.6644317238363727e-174,True
body_composition,body_comp_gynoid_fat_mass,continuous,1304,1374,0.4752098302070918,-0.4509997224090597,-0.9041991646586204,-0.9363866443890956,-0.8722138699621367,1.2743928515616176e-137,3.7275990908177315e-136,True
body_composition,body_comp_total_right_fat_mass,continuous,1304,1374,0.4338129325343859,-0.4117118369904213,-0.828877718065566,-0.8614359263038212,-0.7967879500313528,2.0118424603245297e-118,4.7077113571594e-117,True
body_composition,body_comp_total_fat_mass,continuous,1304,1374,0.4330162254815316,-0.4109557190887317,-0.8296991717727442,-0.862303673004686,-0.7976950727433383,7.506381113262539e-118,1.4637443170861951e-116,True
