phenotype,Cluster_0_mean,Cluster_0_std,Cluster_0_n,Cluster_1_mean,Cluster_1_std,Cluster_1_n,p_value,adj_p_value,significant
total_scan_sat_volume,1852.7850825364233,783.547307197281,3031,1002.989025908417,528.1500033324338,1185,4.398916156598308e-241,6.158482619237632e-240,True
bmi,26.855949269207215,4.404606108938439,3149,22.51311478785661,2.9952285097153166,1228,1.0036606214504154e-211,7.025624350152908e-211,True
hips,104.63897011011782,9.088092146057136,3146,95.3822331012704,6.608858362562781,1227,4.370719043525372e-211,2.039668886978507e-210,True
total_scan_sat_mass,1.7691540159162127,1.3576567113070572,3031,2.3486935163977636,9.750831021044341,1185,1.2711883271575371e-210,4.44915914505138e-210,True
body_comp_total_tissue_mass,67.89548762699184,11.894221601714769,3051,57.12911777573106,8.569183343424326,1186,2.820854165222438e-171,7.898391662622826e-171,True
waist,84.40193835568496,10.938892825478296,3147,75.61670741708471,8.884943718693012,1227,1.781592461114211e-131,4.1570490759331593e-131,True
total_scan_vat_volume,766.8767639471616,492.987672854214,3020,419.83675401353213,388.75568273843555,1167,7.614165876261121e-118,1.5228331752522242e-117,True
total_scan_vat_mass,2.774686856013536,11.727530401331633,3020,10.308571114213663,25.02582956046455,1167,8.730926872338094e-25,1.5279122026591666e-24,True
body_total_bmd,1.1386168434293673,0.11281459315640972,3051,1.1091987348397978,0.11296844106919851,1186,8.992826673659871e-13,1.3988841492359797e-12,True
body_comp_total_lean_mass,39.6658826057669,5.093048867453634,3051,38.76042772109739,4.798942101919856,1186,6.992906307980113e-07,9.790068831172158e-07,True
spine_l1_l4_bmd,1.1321374706696141,0.15942012430540525,2488,1.1029293872785864,0.16678621184007394,962,5.9076769814957045e-06,7.518861612812715e-06,True
femur_neck_mean_bmd,0.8977244766578948,0.12734310459880196,2964,0.8827414180964067,0.1330732529023329,1141,0.0003166392814637728,0.0003694124950410683,True
age,52.8330164765526,10.123719612386532,3156,51.44589096826688,11.178797540607864,1229,0.0022710869331872548,0.002445785928047813,True
