Phenotype,Label,Mean_Q1,Mean_Q4,Median_Diff,Cohens_d,N_Q1,N_Q4,P_Value,Adjusted_P_Value
Gynoid lean mass,Gynoid lean mass,25.966791979949875,-34.06707317073171,-60.33333333333333,-0.48307402319039355,133,123,7.4192766042663e-06,0.0004203132772936549
Gynoid total mass,Gynoid total mass,62.291964285714236,-142.36074309978764,-91.10833333333282,-0.49315194341388313,168,157,8.94283568709904e-06,0.0004203132772936549
Legs total mass,Legs total mass,99.83680555555557,-314.4905520169851,-218.79166666666637,-0.46599792554090347,168,157,5.1422517528897155e-05,0.001611238882572111
Ribs BMD (bone mineral density),Ribs BMD BMD,-0.006178910714285714,-0.016297925690021232,-0.005151333333333388,-0.43051154049843027,168,157,7.743740849468798e-05,0.0018197790996251676
Trunk BMC (bone mineral content),Trunk BMC BMC,-3.697843253968255,-10.756652866242039,-4.291249999999991,-0.3879488090957846,168,157,0.00012483900929102388,0.002346973374671249
Total mass,Total mass,320.5387400793649,-738.846337579618,-367.5749999999971,-0.4600104426874365,168,157,0.00016776651280387555,0.002628342033927384
Trunk total mass,Trunk total mass,235.81646825396828,-335.0792993630575,-279.92499999999984,-0.4528052692389069,168,157,0.0002576878038719547,0.003202930939275713
Femur total BMD (bone mineral density) T-score (right),Femur total BMD BMD T-score (right),-0.046957902466666666,-0.11721596485879629,-0.04779091666666666,-0.4747026044330322,150,144,0.00027844755107061424,0.003202930939275713
Android total mass,Android total mass,64.97037202380952,-49.47184182590234,-71.74000000000012,-0.4102881445175051,168,157,0.0003066636005689512,0.003202930939275713
Femur total BMD (bone mineral density) (right),Femur total BMD BMD (right),-0.005777701111111114,-0.014139337384259258,-0.005611000000000033,-0.4762404454975125,150,144,0.0003663514081493567,0.0034437032366039532
Legs lean mass,Legs lean mass,48.52944862155388,-95.52439024390245,-112.66666666666666,-0.37682092038897125,133,123,0.0006177865934675966,0.005279267253268553
Total tissue mass,Total tissue mass,356.5482456140351,-787.7283197831978,-308.5,-0.46232201493978087,133,123,0.0007690559242102022,0.006024271406313252
Total fat mass,Total fat mass,219.00626566416042,-714.1151761517615,-247.66666666666666,-0.4255484011598363,133,123,0.0015142086061740452,0.01094889299848925
Femur shaft BMD (bone mineral density) (right),Femur shaft BMD BMD (right),-0.005449621111111108,-0.015162453703703702,-0.007088416666666653,-0.3886018660934215,150,144,0.001694310620422878,0.01123553393359728
Trunk BMD (bone mineral density),Trunk BMD BMD,-0.006585128472222222,-0.01151383598726115,-0.005244000000000018,-0.35367835487960075,168,157,0.0018865631990606737,0.01123553393359728
Leg total mass (left),Leg total mass (left),30.252142857142985,-239.04410087719288,-180.00000000000017,-0.4889766266450241,77,76,0.0019124313078463454,0.01123553393359728
Femur wards BMD (bone mineral density) (right),Femur wards BMD BMD (right),-0.0013334922222222232,-0.013627132183908043,-0.005167166666666667,-0.41871744286071805,150,145,0.002201619010793868,0.012173658059683741
Femur wards BMD (bone mineral density) T-score (right),Femur wards BMD BMD T-score (right),-0.010257323533333333,-0.10438288162068965,-0.039985000000000014,-0.4161219602402834,150,145,0.0024219699946870015,0.012648065527809896
Legs fat mass,Legs fat mass,55.08333333333332,-248.6971544715447,-169.0,-0.4320521338857854,133,123,0.0029692469395401493,0.014689958542988107
Android fat mass,Android fat mass,42.55012531328322,-63.94376693766937,-47.5,-0.3829530727954081,133,123,0.0037020793904664587,0.017399773135192354
Leg total mass (right),Leg total mass (right),33.576904761904764,-189.92730263157893,-160.44499999999925,-0.4342367119017839,77,76,0.004398492956393723,0.01907430759836512
Gynoid fat mass,Gynoid fat mass,36.40726817042606,-120.7567750677507,-53.5,-0.409875652586294,133,123,0.0044641996506811985,0.01907430759836512
Leg BMC (bone mineral content) (left),Leg BMC BMC (left),-2.165365800865799,-4.910504385964908,-2.837999999999985,-0.4227265600502543,77,76,0.005100219408331969,0.020212102687105323
Arms BMD (bone mineral density),Arms BMD BMD,-0.012152798611111107,-0.017961944267515923,-0.007180416666666651,-0.22138457571401024,168,157,0.0051605368562822095,0.020212102687105323
Ribs BMC (bone mineral content),Ribs BMC BMC,-0.7592991071428576,-4.920910297239914,-3.154333333333337,-0.31232629887707314,168,157,0.00588160350603333,0.02211482918268532
Total fat-free mass,Total fat-free mass,120.42919799498746,-99.27574525745258,-259.5,-0.3406439306104531,133,123,0.0064779592092251165,0.022708601422051274
Femur neck BMD (bone mineral density) (right),Femur neck BMD BMD (right),-0.002453033333333335,-0.011185795977011493,-0.003597666666666684,-0.3183883808322652,150,145,0.006522683387184941,0.022708601422051274
Trunk bone area,Trunk bone area,1.09708134920635,-2.980534501061569,-3.937833333333325,-0.2819283518104117,168,157,0.008326442844516606,0.027092967358378343
Total lean mass,Total lean mass,137.49122807017542,-73.59756097560975,-274.83333333333337,-0.33042918946867583,133,123,0.008358468653116723,0.027092967358378343
Arms fat mass,Arms fat mass,9.446115288220549,-58.06639566395664,-64.5,-0.23014079737150953,133,123,0.009885780765628797,0.03097544639897023
Femur neck BMD (bone mineral density) T-score (right),Femur neck BMD BMD T-score (right),-0.012822871966666668,-0.08660608886206897,-0.021888166666666854,-0.31532727308640635,150,145,0.010247318332585482,0.031072513653646303
Leg lean mass (right),Leg lean mass (right),31.407407407407415,-38.923809523809524,-70.0,-0.3195197272403653,72,70,0.010889552585478126,0.031988060719842
Femur neck BMD (bone mineral density) T-score (left),Femur neck BMD BMD T-score (left),-0.020408638602794415,-0.06826756851380042,-0.022670500000000038,-0.28062703568240804,167,157,0.011796400974595231,0.03295597435775017
