Phenotype,Label,Mean_Q1,Mean_Q4,Median_Diff,Cohens_d,N_Q1,N_Q4,P_Value,Adjusted_P_Value
Total mass,Total mass,172.79034772182277,-840.3323643410853,-758.4666666666695,-0.6029721696902991,139,129,7.378719127455832e-07,5.8905083292742155e-05
Legs total mass,Legs total mass,24.40695443645083,-286.121899224806,-309.5499999999993,-0.5506134578384054,139,129,1.2532996445264288e-06,5.8905083292742155e-05
Gynoid total mass,Gynoid total mass,32.92138489208632,-121.63549095607232,-124.90000000000055,-0.5298670862123416,139,129,7.649048979684699e-06,0.00023967020136345392
Total tissue mass,Total tissue mass,175.24848484848485,-907.771978021978,-844.0833333333334,-0.6076675496922143,110,91,1.102780016269627e-05,0.0002591533038233624
Trunk total mass,Trunk total mass,253.28045563549153,-320.50736434108524,-348.59999999999854,-0.5144887373554505,139,129,3.909047040144051e-05,0.0007349008435470816
Gynoid lean mass,Gynoid lean mass,14.375,-82.92765567765566,-62.66666666666667,-0.5641952830910232,110,91,0.00013686517508809597,0.0021442210763801704
Leg total mass (right),Leg total mass (right),-7.7040880503145175,-226.6499346405229,-200.19999999999982,-0.6606643819506277,53,51,0.00052870874677891,0.007099803171031077
Legs lean mass,Legs lean mass,-9.684090909090907,-200.19322344322342,-162.5,-0.5178492823468817,110,91,0.0006869639940875994,0.008071826930529293
Leg total mass (left),Leg total mass (left),27.999339622641482,-200.77297385620926,-205.39333333333283,-0.7054570099072485,53,51,0.0007929823534383003,0.008282260135911138
Arms fat mass,Arms fat mass,-26.12348484848485,-104.03021978021978,-57.125,-0.42396682231306954,110,91,0.0008870299901111238,0.008338081907044563
Total fat-free mass,Total fat-free mass,4.494696969696976,-381.29304029304035,-317.375,-0.5206085347365355,110,91,0.001125611286515408,0.009282301252504826
Total lean mass,Total lean mass,14.431818181818194,-363.50183150183153,-288.8333333333333,-0.51823315622513,110,91,0.0011849746279793394,0.009282301252504826
Android total mass,Android total mass,39.86341726618707,-77.97967054263565,-60.63500000000067,-0.42154232345581855,139,129,0.0022371886947128126,0.016176595177154182
Total fat mass,Total fat mass,160.81439393939394,-544.2261904761905,-527.5,-0.4267508366716299,110,91,0.002411879607215052,0.016194048791301065
