n,std_beta,ci_low,ci_high,p_value,axis_source,system,feature,label,covariates,fdr_q_value
4185,0.8140837737317714,0.7884433359849132,0.8397242114786296,0.0,original_embedding_axis,derived,lean_to_fat_ratio,Lean-to-fat ratio,"age,bmi,vat_volume",0.0
4185,0.4554574954325664,0.42821963959257014,0.4826953512725627,5.551204745662652e-210,original_embedding_axis,derived,almi,Appendicular lean-mass index,"age,bmi,vat_volume",4.996084271096387e-209
4185,-0.426184850880878,-0.45308256615511666,-0.3992871356066393,8.373856934280173e-191,original_embedding_axis,body_composition,body_comp_legs_fat_mass,Legs fat mass,"age,bmi,vat_volume",5.024314160568104e-190
4185,0.474066495165825,0.43164696578890344,0.5164860245427465,8.0233918828203e-101,original_embedding_axis,body_composition,body_comp_arms_lean_mass,Arms lean mass,"age,bmi,vat_volume",3.6105263472691354e-100
4185,0.4533809555719717,0.4091440215651136,0.49761788957882985,8.434186050960237e-86,original_embedding_axis,bone_density,body_pelvis_bmc,Pelvis BMC,"age,bmi,vat_volume",3.036306978345685e-85
4064,0.3480180714440715,0.30218891658961294,0.39384722629853003,7.505788896422907e-49,original_embedding_axis,bone_density,femur_troch_mean_bmd,Femoral trochanteric BMD,"age,bmi,vat_volume",2.2517366689268722e-48
4174,0.3739861751476602,0.3242086937765809,0.4237636565187395,6.516318498018395e-48,original_embedding_axis,frailty,hand_grip_left,Grip strength,"age,bmi,vat_volume",1.6756247566333017e-47
4084,0.24706360384226428,0.20749203989063822,0.2866351677938903,7.358153989185625e-34,original_embedding_axis,liver,liver_sound_speed,Liver sound speed,"age,bmi,vat_volume",1.6555846475667657e-33
4120,-0.23906688574673127,-0.2883319398937345,-0.18980183159972802,3.0334176322867018e-21,original_embedding_axis,cardiovascular_system,hr_bpm,Resting heart rate,"age,bmi,vat_volume",6.0668352645734035e-21
3141,-0.24721449934304499,-0.3040567025210474,-0.19037229616504256,2.2920534503643376e-17,original_embedding_axis,sleep,heart_rate_mean_during_rem,REM sleep heart rate,"age,bmi,vat_volume",4.125696210655807e-17
3141,-0.23726704120684147,-0.295336166496846,-0.17919791591683695,1.5840114674646695e-15,original_embedding_axis,sleep,heart_rate_min_during_rem,Minimum REM heart rate,"age,bmi,vat_volume",2.592018764942186e-15
2774,0.22622068501490156,0.1645832460385134,0.28785812399128974,7.915380372133553e-13,original_embedding_axis,lifestyle,physical_activity_maderate_days_a_week,Moderate activity days/week,"age,bmi,vat_volume",1.1873070558200331e-12
1316,0.28036521699017153,0.1982481778027444,0.36248225617759866,3.128396291010069e-11,original_embedding_axis,proteomics,MYL3,MYL3,"age,bmi,vat_volume",4.331625633706249e-11
3743,0.157765514413658,0.10653284252219036,0.20899818630512562,1.718389654635106e-09,original_embedding_axis,high_level_diet,Energy / BMR,Energy intake / BMR,"age,bmi,vat_volume",2.062067585562127e-09
1316,0.26112854061501717,0.17667748829377716,0.3455795929362572,1.7134942948950327e-09,original_embedding_axis,proteomics,ITGB6,ITGB6,"age,bmi,vat_volume",2.062067585562127e-09
1283,0.24767517906939707,0.15446752730294605,0.3408828308358481,2.1645252091331583e-07,original_embedding_axis,renal_function,bt__creatinine,Creatinine,"age,bmi,vat_volume",2.4350908602748035e-07
3743,0.11750669550824422,0.06383935803667617,0.17117403297981226,1.809043645757671e-05,original_embedding_axis,high_level_diet,IMEDAS_score_per_day,Mediterranean diet score,"age,bmi,vat_volume",1.9154579778610632e-05
4185,-0.029782154365733955,-0.05974985339155893,0.00018554466009101933,0.05143477956735886,original_embedding_axis,derived,android_gynoid_fat_ratio,Android:gynoid fat ratio,"age,bmi,vat_volume",0.05143477956735886
4185,0.4773723580049721,0.46230985270663394,0.4924348633033102,0.0,residualized_embedding_axis,derived,lean_to_fat_ratio,Lean-to-fat ratio,"age,bmi,vat_volume",0.0
4185,-0.27682419060499397,-0.29219671059326024,-0.2614516706167277,3.42933117442792e-239,residualized_embedding_axis,body_composition,body_comp_legs_fat_mass,Legs fat mass,"age,bmi,vat_volume",3.086398056985128e-238
4185,0.26645832446405704,0.2504579516811904,0.2824586972469237,1.8154412631345427e-208,residualized_embedding_axis,derived,almi,Appendicular lean-mass index,"age,bmi,vat_volume",1.0892647578807257e-207
