system,feature,effect_size_cohens_d,ci_low,ci_high,p_value,q_value_fdr,higher_in,significant_q05,analysis_type
blood_tests_lipids,bt__hdl_cholesterol,-0.075,-0.15,0.0,0.4329328378530216,0.7060679761436709,A (adipose),False,continuous
blood_tests_lipids,bt__non_hdl_cholesterol,-0.0874,-0.1748,0.0,0.4050063598382835,0.7060679761436709,A (adipose),False,continuous
blood_tests_lipids,bt__total_cholesterol,-0.0533,-0.1359,0.0266,0.5295509821077532,0.7060679761436709,A (adipose),False,continuous
blood_tests_lipids,bt__triglycerides,-0.0211,-0.0845,0.0423,0.7693839007475805,0.7693839007475805,A (adipose),False,continuous
body_composition,body_comp_legs_fat_mass,-0.7544,-0.7914,-0.7173,1.8304749491697657e-76,2.141655690528626e-74,A (adipose),True,continuous
body_composition,body_comp_leg_left_fat_mass,-0.7549,-0.7929,-0.7173,1.7419638182043376e-75,1.0190488336495374e-73,A (adipose),True,continuous
body_composition,body_comp_leg_right_fat_mass,-0.7442,-0.7822,-0.7074,4.4168883510770123e-75,1.7225864569200348e-73,A (adipose),True,continuous
body_composition,body_comp_gynoid_fat_mass,-0.6294,-0.6706,-0.5882,5.727519318772191e-47,1.6752994007408656e-45,A (adipose),True,continuous
body_composition,body_comp_arm_right_lean_mass,0.6216,0.579,0.6641,9.138203446828644e-43,2.1383396065579027e-41,B (lean),True,continuous
body_composition,body_comp_arms_lean_mass,0.6115,0.5688,0.654,7.012775068315537e-42,1.3674911383215296e-40,B (lean),True,continuous
body_composition,body_comp_arm_right_fat_free_mass,0.6117,0.568,0.6543,2.1760770811204756e-41,3.637157407015651e-40,B (lean),True,continuous
body_composition,body_comp_arms_fat_free_mass,0.601,0.5585,0.6438,1.7244763330130673e-40,2.5220466370316108e-39,B (lean),True,continuous
body_composition,body_comp_arm_left_lean_mass,0.5682,0.5253,0.6113,1.1028115487690225e-36,1.433655013399729e-35,B (lean),True,continuous
body_composition,body_comp_arm_left_fat_free_mass,0.5603,0.517,0.6039,1.2602468299032026e-35,1.474488790986747e-34,B (lean),True,continuous
body_composition,body_comp_total_left_lean_mass,0.5721,0.5274,0.6165,5.633271155062542e-35,5.99175204674834e-34,B (lean),True,continuous
body_composition,body_comp_trunk_lean_mass,0.5692,0.5241,0.6134,2.531838788287725e-34,2.278654909458953e-33,B (lean),True,continuous
body_composition,body_comp_total_lean_mass,0.567,0.5234,0.6111,2.3482245605796763e-34,2.278654909458953e-33,B (lean),True,continuous
body_composition,body_comp_trunk_fat_free_mass,0.5639,0.5187,0.6087,8.149553046531079e-34,5.9593606652758516e-33,B (lean),True,continuous
body_composition,body_comp_trunk_left_lean_mass,0.5654,0.5207,0.6099,7.279541540691811e-34,5.9593606652758516e-33,B (lean),True,continuous
body_composition,body_comp_total_left_fat_free_mass,0.5616,0.5174,0.606,7.708660748032359e-34,5.9593606652758516e-33,B (lean),True,continuous
body_composition,body_comp_trunk_left_fat_free_mass,0.5617,0.5167,0.606,2.028683918189119e-33,1.3962118731066288e-32,B (lean),True,continuous
