feature,delta_z,ci_low,ci_high,p_value,mean_Cluster 0,mean_Cluster 1,n_Cluster 0,n_Cluster 1,adj_p_value,-log10_p,-log10_q,significant,regulation,cohort,raw_mean_A,raw_mean_B,raw_median_A,raw_median_B,raw_n_A,raw_n_B,analysis_type,system
almi,0.5590053142678523,0.45392474543912925,0.6640858830965753,1.290595452926494e-22,6.051454014590753,6.468477842720759,723,723,3.871786358779482e-22,21.889209869348537,21.412088614628875,True,upregulated,rematch_age_fat_height,6.051454014590753,6.468477842720759,6.020226055919097,6.404845492072065,723.0,723.0,,
lean_to_fat_ratio,0.19853104537050714,0.0951908830201983,0.301871207720816,6.491761278853795e-05,1.842058976162192,1.910968260628402,723,723,6.491761278853795e-05,4.187637458836981,4.187637458836981,True,upregulated,rematch_age_fat_height,1.842058976162192,1.910968260628402,1.822204670035112,1.8955569262839234,723.0,723.0,,
android_gynoid_fat_ratio,0.5177980621378593,0.41299832895901,0.6225977953167086,6.690511941416247e-20,0.35420934517308733,0.42046986985899865,723,723,1.0035767912124371e-19,19.174540649821754,18.998449390766073,True,upregulated,rematch_age_fat_height,0.35420934517308733,0.42046986985899865,0.34008016160435145,0.3981617295210703,723.0,723.0,,
total_scan_sat_area,0.12500170798651103,0.021778830638769994,0.22822458533425205,0.009989128852948795,136.98435252209404,143.49156807065097,723,722,0.01600997364102752,2.0004723847323724,1.7956093831066666,True,upregulated,rematch_age_fat_height,,,,,,,continuous,body_composition
total_scan_sat_mass,-0.017959669483626373,-0.12108396681899439,0.08516462785174164,0.013479039499588974,1.2361181269970403,1.2051765209076217,723,722,0.0210273016193588,1.8703410540091912,1.6772164556547295,True,downregulated,rematch_age_fat_height,,,,,,,continuous,body_composition
total_scan_sat_volume,0.13114330534757804,0.02791029928643267,0.2343763114087234,0.010399106463264996,1215.876298422318,1277.4870567604448,723,722,0.016441830489216276,1.9830039755805213,1.7840498335653359,True,upregulated,rematch_age_fat_height,,,,,,,continuous,body_composition
total_scan_vat_area,0.3928561906436143,0.2882357622770506,0.49747661901017803,6.898610751611641e-13,47.813119324385156,64.29388890267504,714,717,2.783232613581248e-12,12.16123835906794,11.555450495220734,True,upregulated,rematch_age_fat_height,,,,,,,continuous,body_composition
total_scan_vat_volume,0.40001261243793473,0.2953557910800637,0.5046694337958058,5.545275505360872e-13,423.0699444506541,572.705957208541,714,717,2.317132979025793e-12,12.256076871970075,11.635049041566132,True,upregulated,rematch_age_fat_height,,,,,,,continuous,body_composition
body_comp_leg_left_fat_free_mass,0.4310152277837158,0.32673864143368986,0.5352918141337417,4.232894008281602e-14,6.433661267987007,6.844184279577364,723,723,1.9809943958757898e-13,13.373362606129046,12.703116753054923,True,upregulated,rematch_age_fat_height,,,,,,,continuous,body_composition
body_comp_trunk_fat_free_mass,0.3469909145356021,0.24313153820087674,0.45085029087032746,2.1689729563275382e-11,19.25987329677472,20.091601139658863,723,723,8.186123738397482e-11,10.66374586291939,10.0869216950075,True,upregulated,rematch_age_fat_height,,,,,,,continuous,body_composition
body_comp_total_right_tissue_mass,0.2855841268559358,0.18197345687579797,0.38919479683607366,7.807802501000635e-07,29.202427332657447,30.325635835725286,723,723,1.6312730225304899e-06,6.107471180716673,5.7874733459767125,True,upregulated,rematch_age_fat_height,,,,,,,continuous,body_composition
