n,std_beta,ci_low,ci_high,p_value,model,system,feature,label,fdr_q_value
4185,0.8134195696488866,0.7877629638806755,0.8390761754170978,0.0,add_reproductive_hormone_covariates,derived,lean_to_fat_ratio,Lean-to-fat ratio,0.0
4185,0.4553689024053421,0.42809755915619246,0.48264024565449176,1.9902057205463602e-209,add_reproductive_hormone_covariates,derived,almi,Appendicular lean-mass index,1.7911851484917243e-208
4185,-0.425691000748767,-0.4526188618974385,-0.39876313960009546,5.249283607102057e-190,add_reproductive_hormone_covariates,body_composition,body_comp_legs_fat_mass,Legs fat mass,3.1495701642612344e-189
4185,0.47372117467476005,0.431264117454904,0.5161782318946161,1.6304659821701249e-100,add_reproductive_hormone_covariates,body_composition,body_comp_arms_lean_mass,Arms lean mass,7.337096919765562e-100
4185,0.45191733325319006,0.4076828738132386,0.4961517926931415,2.74348461328011e-85,add_reproductive_hormone_covariates,bone_density,body_pelvis_bmc,Pelvis BMC,9.876544607808395e-85
4064,0.3466141917309078,0.3007985364523184,0.3924298470094972,1.6567045770964486e-48,add_reproductive_hormone_covariates,bone_density,femur_troch_mean_bmd,Femoral trochanteric BMD,4.970113731289346e-48
4174,0.37368483413523235,0.32388079919603446,0.42348886907443023,8.624042435570837e-48,add_reproductive_hormone_covariates,frailty,hand_grip_left,Grip strength,2.2176109120039297e-47
4084,0.24708964660340935,0.20751884005514604,0.28666045315167266,7.237440017529142e-34,add_reproductive_hormone_covariates,liver,liver_sound_speed,Liver sound speed,1.628424003944057e-33
4120,-0.23930149048072838,-0.28858234974814523,-0.19002063121331153,2.8608819421320925e-21,add_reproductive_hormone_covariates,cardiovascular_system,hr_bpm,Resting heart rate,5.721763884264185e-21
3141,-0.24810705635170485,-0.30491713675439513,-0.1912969759490146,1.6965597460894654e-17,add_reproductive_hormone_covariates,sleep,heart_rate_mean_during_rem,REM sleep heart rate,3.053807542961038e-17
3141,-0.23795327094694704,-0.29603608834393647,-0.17987045354995765,1.337336614407103e-15,add_reproductive_hormone_covariates,sleep,heart_rate_min_during_rem,Minimum REM heart rate,2.188369005393441e-15
2774,0.22646304015980698,0.1647690474629277,0.28815703285668626,7.855806422180456e-13,add_reproductive_hormone_covariates,lifestyle,physical_activity_maderate_days_a_week,Moderate activity days/week,1.1783709633270684e-12
1316,0.28438630905987217,0.20218157633423908,0.3665910417855053,1.7348766576541167e-11,add_reproductive_hormone_covariates,proteomics,MYL3,MYL3,2.4021369105980077e-11
1316,0.2666756027931686,0.18228502256239623,0.351066183023941,7.593713979755514e-10,add_reproductive_hormone_covariates,proteomics,ITGB6,ITGB6,9.763346545399946e-10
3743,0.15717457231366233,0.10591148892495089,0.20843765570237377,2.0173881047776133e-09,add_reproductive_hormone_covariates,high_level_diet,Energy / BMR,Energy intake / BMR,2.420865725733136e-09
1283,0.24102525673702213,0.1484645107016373,0.33358600277240696,3.741707580855606e-07,add_reproductive_hormone_covariates,renal_function,bt__creatinine,Creatinine,4.209421028462557e-07
3743,0.11775320385805997,0.06408126590814267,0.17142514180797727,1.7403168271033317e-05,add_reproductive_hormone_covariates,high_level_diet,IMEDAS_score_per_day,Mediterranean diet score,1.8426884051682336e-05
4185,-0.029748973544813626,-0.05973746679854147,0.000239519708914223,0.05185726464919802,add_reproductive_hormone_covariates,derived,android_gynoid_fat_ratio,Android:gynoid fat ratio,0.05185726464919802
4185,0.8140837737317714,0.7884433359849132,0.8397242114786296,0.0,base_age_bmi_vat,derived,lean_to_fat_ratio,Lean-to-fat ratio,0.0
4185,0.4554574954325664,0.42821963959257014,0.4826953512725627,5.551204745662652e-210,base_age_bmi_vat,derived,almi,Appendicular lean-mass index,4.996084271096387e-209
4185,-0.426184850880878,-0.45308256615511666,-0.3992871356066393,8.373856934280173e-191,base_age_bmi_vat,body_composition,body_comp_legs_fat_mass,Legs fat mass,5.024314160568104e-190
4185,0.474066495165825,0.43164696578890344,0.5164860245427465,8.0233918828203e-101,base_age_bmi_vat,body_composition,body_comp_arms_lean_mass,Arms lean mass,3.6105263472691354e-100
4185,0.4533809555719717,0.4091440215651136,0.49761788957882985,8.434186050960237e-86,base_age_bmi_vat,bone_density,body_pelvis_bmc,Pelvis BMC,3.036306978345685e-85
4064,0.3480180714440715,0.30218891658961294,0.39384722629853003,7.505788896422907e-49,base_age_bmi_vat,bone_density,femur_troch_mean_bmd,Femoral trochanteric BMD,2.2517366689268722e-48
4174,0.3739861751476602,0.3242086937765809,0.4237636565187395,6.516318498018395e-48,base_age_bmi_vat,frailty,hand_grip_left,Grip strength,1.6756247566333017e-47
4084,0.24706360384226428,0.20749203989063822,0.2866351677938903,7.358153989185625e-34,base_age_bmi_vat,liver,liver_sound_speed,Liver sound speed,1.6555846475667657e-33
4120,-0.23906688574673127,-0.2883319398937345,-0.18980183159972802,3.0334176322867018e-21,base_age_bmi_vat,cardiovascular_system,hr_bpm,Resting heart rate,6.0668352645734035e-21
3141,-0.24721449934304499,-0.3040567025210474,-0.19037229616504256,2.2920534503643376e-17,base_age_bmi_vat,sleep,heart_rate_mean_during_rem,REM sleep heart rate,4.125696210655807e-17
3141,-0.23726704120684147,-0.295336166496846,-0.17919791591683695,1.5840114674646695e-15,base_age_bmi_vat,sleep,heart_rate_min_during_rem,Minimum REM heart rate,2.592018764942186e-15
2774,0.22622068501490156,0.1645832460385134,0.28785812399128974,7.915380372133553e-13,base_age_bmi_vat,lifestyle,physical_activity_maderate_days_a_week,Moderate activity days/week,1.1873070558200331e-12
1316,0.28036521699017153,0.1982481778027444,0.36248225617759866,3.128396291010069e-11,base_age_bmi_vat,proteomics,MYL3,MYL3,4.331625633706249e-11
3743,0.157765514413658,0.10653284252219036,0.20899818630512562,1.718389654635106e-09,base_age_bmi_vat,high_level_diet,Energy / BMR,Energy intake / BMR,2.062067585562127e-09
1316,0.26112854061501717,0.17667748829377716,0.3455795929362572,1.7134942948950327e-09,base_age_bmi_vat,proteomics,ITGB6,ITGB6,2.062067585562127e-09
1283,0.24767517906939707,0.15446752730294605,0.3408828308358481,2.1645252091331583e-07,base_age_bmi_vat,renal_function,bt__creatinine,Creatinine,2.4350908602748035e-07
3743,0.11750669550824422,0.06383935803667617,0.17117403297981226,1.809043645757671e-05,base_age_bmi_vat,high_level_diet,IMEDAS_score_per_day,Mediterranean diet score,1.9154579778610632e-05
4185,-0.029782154365733955,-0.05974985339155893,0.00018554466009101933,0.05143477956735886,base_age_bmi_vat,derived,android_gynoid_fat_ratio,Android:gynoid fat ratio,0.05143477956735886
