feature,univariate_AUC,permutation_importance
[best single feature],0.8793297744317669,
"[linear model, all features, 5-fold CV]",0.9263694288240547,
"[nonlinear model, all features, 5-fold CV]",0.9123306157162027,
body_comp_legs_fat_mass,0.8793297744317669,0.2475601989329456
body_comp_gynoid_fat_mass,0.857711064631131,0.0001546879748966612
body_comp_total_fat_mass,0.8519735423494912,5.834811930630623e-05
body_comp_arms_fat_mass,0.8381362075622037,0.030570499827496933
total_scan_sat_area,0.8239464224106064,9.838062791093228e-05
total_scan_sat_volume,0.8213183183830717,4.3639156537267355e-07
body_comp_trunk_fat_mass,0.8054245525189547,8.586645801977877e-06
hips,0.8017467984261153,0.00039919560199443984
total_scan_sat_mass,0.8003918026154744,-1.5787106631748315e-06
body_comp_android_fat_mass,0.7988577579125492,6.879584678365358e-06
body_comp_legs_tissue_mass,0.7796526785200883,1.3091746962701211e-05
body_comp_legs_total_mass,0.7758628744753033,1.5453395434339434e-05
weight,0.7738336536960825,0.000504391639353674
body_comp_gynoid_tissue_mass,0.7720961735133937,7.123450553239152e-05
body_comp_total_tissue_mass,0.7699202481579142,2.104947550818359e-06
body_comp_gynoid_total_mass,0.7699045894017431,3.26010169463431e-05
body_comp_total_total_mass,0.7601484142043915,-1.1551541437837543e-06
body_comp_android_tissue_mass,0.7592522712897476,4.492266114630717e-06
body_comp_android_total_mass,0.758982350271487,1.0601748030536485e-05
body_comp_trunk_tissue_mass,0.7457902332487247,5.788605764833754e-06
body_comp_trunk_total_mass,0.7445710322252068,-4.222730147829257e-06
waist,0.7371971699236879,0.0005245426616393711
body_comp_arms_tissue_mass,0.7293911516219391,4.569276390908872e-06
body_comp_arms_total_mass,0.7260725221173514,1.3053241824578788e-05
total_scan_vat_area,0.7227382338565925,2.117782596902096e-05
total_scan_vat_volume,0.7220024006670117,1.2809375949762724e-05
body_ribs_bmd,0.6227715793062093,2.4373752433493047e-05
body_ribs_bmc,0.6146683013381306,4.019936420310843e-05
body_spine_bmd,0.6081316690899233,1.610798278252057e-05
total_scan_vat_mass,0.6003565832491354,0.00015649771638855947
body_comp_legs_lean_mass,0.5855087452869712,0.0031633254474810026
body_comp_legs_fat_free_mass,0.5835041677961507,0.0001671636396493814
body_trunk_bmd,0.5820416142996787,7.8422131315814e-06
body_spine_bmc,0.5805912540969467,1.1102314826183513e-05
body_ribs_area,0.5792013469610718,4.294606405607082e-05
body_trunk_bmc,0.5784682091311598,0.0
body_comp_trunk_bone_mass,0.5784682091311598,3.421823274761815e-05
body_total_bmd,0.5698221370659701,1.4362416520841137e-05
femur_lower_neck_mean_bmc,0.5679234487049952,1.890602281966469e-05
femur_shaft_mean_bmd,0.564259556461881,1.2129118509507375e-05
femur_shaft_mean_bmc,0.5642133502961302,2.789055504895943e-05
body_head_area,0.5641477632108561,4.052024035414714e-05
femur_lower_neck_mean_bmd,0.5629800307219662,3.5938128917156756e-05
body_legs_bmd,0.5617464544468814,6.246816908574981e-05
body_arms_area,0.5611614330482926,0.00011437309527909668
spine_l1_bmd,0.5575238526495643,4.492266114608512e-06
femur_total_mean_bmc,0.5563916732382103,1.890602281966469e-05
body_arms_bmd,0.5560861991424135,8.142553208964065e-05
femur_total_mean_bmd,0.5557514611416414,7.059275323006986e-06
body_comp_android_fat_free_mass,0.5548768811043479,2.1331846521566165e-05
spine_l1_l2_bmd,0.5547455785833395,2.1177825968887733e-06
body_comp_android_lean_mass,0.5546414863599399,1.5414890296239216e-05
body_comp_gynoid_fat_free_mass,0.5540375974436695,3.3114418787283385e-06
body_comp_gynoid_lean_mass,0.5535908094909519,4.569276390864463e-06
body_comp_total_fat_free_mass,0.5484711663257679,2.5451896301020847e-05
spine_l2_bmd,0.5480911206124679,0.00012220247336466316
body_comp_total_lean_mass,0.5474240832696715,0.00024932076936341475
body_trunk_area,0.546775400042715,1.6890920591050574e-05
spine_l1_l3_bmd,0.5465910887815537,7.2132958754855815e-06
body_comp_gynoid_bone_mass,0.5464389934859575,1.7352982248564074e-05
body_head_bmd,0.5458764334179419,3.2601016946320895e-05
spine_l1_bmc,0.5456279469265712,2.5131020149948835e-05
femur_neck_mean_bmc,0.5450019817311089,7.315976243815747e-06
femur_troch_mean_bmd,0.5441154651009964,2.5131020149948835e-05
body_comp_total_bone_mass,0.543318152040875,1.2706695581410355e-05
body_total_bmc,0.543318152040875,0.0
spine_l2_l3_bmd,0.5426024698735799,2.2499835711375925e-05
spine_l1_l4_bmd,0.5415941486565301,2.746699852906875e-06
spine_l1_average_width,0.5397906963371859,4.307441451649741e-05
femur_wards_mean_bmc,0.5397451319237372,3.98399829139251e-05
spine_l1_l2_bmc,0.539378819709702,5.6859253965035885e-06
spine_l3_bmd,0.5387567050280523,1.0242366741364251e-05
body_pelvis_bmd,0.5378796863320108,1.1782572266394454e-05
femur_troch_mean_bmc,0.5368880506748154,9.337495995458412e-05
spine_l2_l4_bmd,0.5358217150496563,-1.7712363538535669e-06
body_comp_android_bone_mass,0.5350454514650435,1.3772004402878845e-05
femur_neck_mean_bmd,0.5346740052325916,3.503967569373767e-06
spine_l3_l4_bmd,0.534266492520762,1.3155922192897851e-05
body_pelvis_bmc,0.5326962529879986,3.256251180819847e-05
body_legs_area,0.5309888068130478,0.00012947994447044532
spine_l1_l2_average_width,0.5309808490845018,-1.9124218602728503e-06
spine_l1_l3_average_height,0.5306855146750782,1.1204995194502576e-05
spine_l2_bmc,0.5304447292113326,7.444326704253434e-06
spine_l2_average_height,0.5302950725744844,4.620616575023995e-06
spine_l1_l2_average_height,0.5300527469052138,3.799173628360464e-06
spine_l4_bmd,0.5296924671628181,1.895736300380202e-05
spine_l2_l3_average_height,0.5294321724290889,2.1049475508405636e-06
spine_l1_l4_average_height,0.5280230127241512,1.3553808620181407e-05
femur_wards_mean_area,0.5276768515324018,1.5915457091342234e-06
body_comp_arms_lean_mass,0.5273291501351274,0.0005462338894501872
femur_lower_neck_mean_area,0.5270762997281024,1.8739167221115682e-05
spine_l3_l4_average_height,0.5268396214790901,2.8134420923775495e-05
femur_neck_mean_area,0.5262778315138372,6.083811823787144e-06
spine_l2_l4_average_height,0.5262136562836278,1.4015870277683806e-05
body_comp_arms_fat_free_mass,0.5261496094038789,0.00014558792725297698
spine_l3_average_height,0.5255906431487551,8.458295341562393e-06
body_comp_legs_bone_mass,0.5251130510855369,4.8118587610945784e-05
body_legs_bmc,0.5251130510855369,0.0
