layer,feature,mean_diff_B_minus_A,higher_in,p_value,q_value,confidence
Metabolites (NMR),Creatinine,2.3779,B (lean),4.571942881764435e-07,4.891978883487946e-05,strong (q<0.05)
Microbiome,Lawsonibacter asaccharolyticus,-0.0002,A (adipose),0.0004546932687914,0.0671725047834965,discovery (q<0.10)
Microbiome,Oscillibacter sp900544615,0.0002,B (lean),0.0004569558148537,0.0671725047834965,discovery (q<0.10)
Proteomics (Olink),MYL3,0.4345,B (lean),1.6091825598643685e-07,0.000164941212386,strong (q<0.05)
Proteomics (Olink),ITGB6,0.1241,B (lean),5.219819054366566e-05,0.0267515726536286,strong (q<0.05)
Proteomics (Olink),KLB,-0.1876,A (adipose),0.000176505423609,0.0603060197330969,discovery (q<0.10)
Proteomics (Olink),TMPRSS15,0.2946,B (lean),0.0003715265628023,0.0639085693401328,discovery (q<0.10)
Proteomics (Olink),LRIG1,-0.1093,A (adipose),0.0002874798501459,0.0639085693401328,discovery (q<0.10)
Proteomics (Olink),SUSD4,-0.113,A (adipose),0.0004973103955253,0.0639085693401328,discovery (q<0.10)
Proteomics (Olink),DHPS,0.163,B (lean),0.0005611484137182,0.0639085693401328,discovery (q<0.10)
Proteomics (Olink),ITGA11,0.1284,B (lean),0.0005570828048115,0.0639085693401328,discovery (q<0.10)
Proteomics (Olink),MVK,0.1494,B (lean),0.0004357247027435,0.0639085693401328,discovery (q<0.10)
Proteomics (Olink),DAPK2,0.2272,B (lean),0.0015818691403113,0.0713506755090138,discovery (q<0.10)
Proteomics (Olink),GFRAL,-0.184,A (adipose),0.0015904563464921,0.0713506755090138,discovery (q<0.10)
Proteomics (Olink),IPCEF1,0.289,B (lean),0.0012277867391917,0.0713506755090138,discovery (q<0.10)
Proteomics (Olink),PSTPIP1,0.3171,B (lean),0.0012323150698073,0.0713506755090138,discovery (q<0.10)
Proteomics (Olink),BMP4,0.0674,B (lean),0.0014500124247664,0.0713506755090138,discovery (q<0.10)
Proteomics (Olink),CEBPB,0.1859,B (lean),0.0017431614532109,0.0713506755090138,discovery (q<0.10)
Proteomics (Olink),BCL2L15,0.2309,B (lean),0.0016847612464354,0.0713506755090138,discovery (q<0.10)
Proteomics (Olink),EZR,0.0783,B (lean),0.0010866990785457,0.0713506755090138,discovery (q<0.10)
Proteomics (Olink),EPHB6,-0.0712,A (adipose),0.0016607145270591,0.0713506755090138,discovery (q<0.10)
Proteomics (Olink),NCF1C_NCF1,0.2671,B (lean),0.0018098707933993,0.0713506755090138,discovery (q<0.10)
Proteomics (Olink),SRP14,0.1803,B (lean),0.0016048637760827,0.0713506755090138,discovery (q<0.10)
Proteomics (Olink),VWC2,-0.089,A (adipose),0.0011724644962313,0.0713506755090138,discovery (q<0.10)
Proteomics (Olink),CCER2,-0.1564,A (adipose),0.0007356223453847,0.0713506755090138,discovery (q<0.10)
Proteomics (Olink),TG,-0.1245,A (adipose),0.0013068846570602,0.0713506755090138,discovery (q<0.10)
Proteomics (Olink),CAPN3,0.1286,B (lean),0.0012120583306907,0.0713506755090138,discovery (q<0.10)
Proteomics (Olink),DTNB,0.0794,B (lean),0.0017369275549252,0.0713506755090138,discovery (q<0.10)
Proteomics (Olink),ITGAV,0.0824,B (lean),0.0014034225743924,0.0713506755090138,discovery (q<0.10)
Proteomics (Olink),ERG,0.1912,B (lean),0.0022141783016808,0.0734873161746694,discovery (q<0.10)
Proteomics (Olink),EGLN1,0.253,B (lean),0.0022225432208924,0.0734873161746694,discovery (q<0.10)
Proteomics (Olink),LRRFIP1,0.2179,B (lean),0.0020423095756832,0.0734873161746694,discovery (q<0.10)
Proteomics (Olink),NOS1,0.108,B (lean),0.0020860653857882,0.0734873161746694,discovery (q<0.10)
Proteomics (Olink),RAB44,0.2343,B (lean),0.0022147514987905,0.0734873161746694,discovery (q<0.10)
Proteomics (Olink),TCERG1,0.2063,B (lean),0.0023837486310137,0.0762676820643125,discovery (q<0.10)
Proteomics (Olink),CD22,-0.1083,A (adipose),0.0024554473249973,0.0762676820643125,discovery (q<0.10)
Proteomics (Olink),RIPK3,0.2179,B (lean),0.0026594621496477,0.0799285134701266,discovery (q<0.10)
Proteomics (Olink),NUMB,0.1568,B (lean),0.002729266313614,0.0799285134701266,discovery (q<0.10)
Proteomics (Olink),SLITRK1,-0.0519,A (adipose),0.002844441567227,0.0809875724002139,discovery (q<0.10)
Proteomics (Olink),NBN,0.2267,B (lean),0.0031682016924701,0.0811851683695476,discovery (q<0.10)
Proteomics (Olink),PRRT3,-0.0848,A (adipose),0.0029640383754584,0.0811851683695476,discovery (q<0.10)
Proteomics (Olink),BACH1,0.1883,B (lean),0.0031253056533439,0.0811851683695476,discovery (q<0.10)
Proteomics (Olink),CD79B,-0.1003,A (adipose),0.003162810496166,0.0811851683695476,discovery (q<0.10)
Proteomics (Olink),APEX1,0.2403,B (lean),0.0038086118820588,0.0828728388500204,discovery (q<0.10)
Proteomics (Olink),NFKB1,0.2231,B (lean),0.0039054043463741,0.0828728388500204,discovery (q<0.10)
Proteomics (Olink),CCAR1,0.1055,B (lean),0.0038599598410518,0.0828728388500204,discovery (q<0.10)
Proteomics (Olink),CCL25,0.1375,B (lean),0.0040044259209519,0.0828728388500204,discovery (q<0.10)
Proteomics (Olink),LMNB1,0.2438,B (lean),0.004042577504879,0.0828728388500204,discovery (q<0.10)
Proteomics (Olink),EML4,0.2277,B (lean),0.0037015526115187,0.0828728388500204,discovery (q<0.10)
Proteomics (Olink),TFEB,0.2623,B (lean),0.0035371299873947,0.0828728388500204,discovery (q<0.10)
