disease,model,seed,auc,pr
dis__anemia,covariates,42,0.6103368734967365,0.09794048290012342
dis__anemia,lejepa_cov,42,0.6529862263662632,0.1128729325119464
dis__anemia,dino_cov,42,0.6495487538197438,0.11395156353211597
dis__anemia,tab_cov,42,0.6284704167230577,0.09637513858245972
dis__anemia,covariates,73,0.6030992456673956,0.09707865153153301
dis__anemia,lejepa_cov,73,0.6423746399884132,0.10281247905300638
dis__anemia,dino_cov,73,0.6318805841863203,0.10737805993754203
dis__anemia,tab_cov,73,0.6348099447487577,0.10544034537275135
dis__anemia,covariates,99,0.626538878877025,0.11501036183571098
dis__anemia,lejepa_cov,99,0.6639242865656616,0.1193603537028036
dis__anemia,dino_cov,99,0.6414278659059234,0.10547306980161536
dis__anemia,tab_cov,99,0.6528704765568052,0.11295881884337544
dis__anemia,covariates,123,0.6275467926024593,0.11036863610727436
dis__anemia,lejepa_cov,123,0.654501064898247,0.11413586617566222
dis__anemia,dino_cov,123,0.6440188808714833,0.10504290908416442
dis__anemia,tab_cov,123,0.6344561658439526,0.10983518948886799
dis__anemia,covariates,2024,0.6117893852082428,0.10331535456665622
dis__anemia,lejepa_cov,2024,0.6430074056134503,0.1121122482627854
dis__anemia,dino_cov,2024,0.6189314452461849,0.10899535520178612
dis__anemia,tab_cov,2024,0.6260788475830252,0.09812304517872564
dis__anemia,covariates,7,0.6409506205376965,0.10351389850120617
dis__anemia,lejepa_cov,7,0.678092656832088,0.11865591780858675
dis__anemia,dino_cov,7,0.6599502097742701,0.11523981370287009
dis__anemia,tab_cov,7,0.6519314191282792,0.10676472069774473
dis__anemia,covariates,17,0.6249964384674013,0.11494558113929836
dis__anemia,lejepa_cov,17,0.6554798927741252,0.12237420224855915
dis__anemia,dino_cov,17,0.6380010779572,0.1105364702616719
dis__anemia,tab_cov,17,0.642552123029582,0.10772372763757074
dis__anemia,covariates,31,0.6204922869075686,0.11012197973924348
dis__anemia,lejepa_cov,31,0.6472533460598764,0.11311132882065168
dis__anemia,dino_cov,31,0.6330054348987456,0.106420301082822
dis__anemia,tab_cov,31,0.6266902440124701,0.09991454447527644
dis__anemia,covariates,137,0.6211829274373348,0.10435430632741881
dis__anemia,lejepa_cov,137,0.6446783579910106,0.11425214334898467
dis__anemia,dino_cov,137,0.6388546586033568,0.11034952084246064
dis__anemia,tab_cov,137,0.6268220207186224,0.10621991135887769
dis__anemia,covariates,256,0.5973598358845779,0.10313154033231475
dis__anemia,lejepa_cov,256,0.6313196428020239,0.10627135669502424
dis__anemia,dino_cov,256,0.6066827410504622,0.09787744096656123
dis__anemia,tab_cov,256,0.6168164884713189,0.10123502701821159
dis__anxiety,covariates,42,0.5880839091973713,0.09701769445207807
dis__anxiety,lejepa_cov,42,0.6191367120583026,0.10675718909672147
dis__anxiety,dino_cov,42,0.619648456781162,0.09715000179804492
dis__anxiety,tab_cov,42,0.6048175382054335,0.10426096152557818
dis__anxiety,covariates,73,0.5827030283673529,0.09650046282178978
dis__anxiety,lejepa_cov,73,0.6305523697531044,0.10126168213356503
dis__anxiety,dino_cov,73,0.6248584535872942,0.099377165562584
dis__anxiety,tab_cov,73,0.589720463981882,0.08810308079586507
dis__anxiety,covariates,99,0.5477770559313996,0.07545099722656012
dis__anxiety,lejepa_cov,99,0.6232137326635889,0.1116601978304674
dis__anxiety,dino_cov,99,0.6179414312398982,0.10124935166749063
dis__anxiety,tab_cov,99,0.5682810216505522,0.08345722336241093
dis__anxiety,covariates,123,0.583931881091335,0.08813981357402606
dis__anxiety,lejepa_cov,123,0.6137918227306601,0.10408413158667251
dis__anxiety,dino_cov,123,0.5951149550438914,0.09355737445250176
dis__anxiety,tab_cov,123,0.601972697269727,0.09211754116910845
dis__anxiety,covariates,2024,0.5811439006803907,0.08650816158045269
dis__anxiety,lejepa_cov,2024,0.6013097277469682,0.10197522674956033
dis__anxiety,dino_cov,2024,0.6061821907997251,0.09498275558678163
dis__anxiety,tab_cov,2024,0.5800989373130861,0.08990297594306501
dis__anxiety,covariates,7,0.5738721049524308,0.0969797716014395
dis__anxiety,lejepa_cov,7,0.6223759472721465,0.10655117331417492
dis__anxiety,dino_cov,7,0.6140271285193035,0.10434325266342197
dis__anxiety,tab_cov,7,0.60024026596208,0.10479222852282875
dis__anxiety,covariates,17,0.5974450267607406,0.09320591379752477
dis__anxiety,lejepa_cov,17,0.6277414031725754,0.1124717633672162
dis__anxiety,dino_cov,17,0.6276996651278031,0.09904800524435647
dis__anxiety,tab_cov,17,0.5951663714758573,0.09148633513171595
dis__anxiety,covariates,31,0.6058978881759143,0.09917035371739666
dis__anxiety,lejepa_cov,31,0.6370798370159596,0.1163118236685611
dis__anxiety,dino_cov,31,0.6157504863389565,0.09664424490881016
