disease,N_positives,N_total,Prevalence,Covariates (age/sex/BMI)_mean,Covariates (age/sex/BMI)_SE,Covariates (age/sex/BMI)_N,Covariates (age/sex/BMI)_PR_mean,Covariates (age/sex/BMI)_PR_SE,DXA-FM + Covariates_mean,DXA-FM + Covariates_SE,DXA-FM + Covariates_N,DXA-FM + Covariates_PR_mean,DXA-FM + Covariates_PR_SE,DINOv3 + Covariates_mean,DINOv3 + Covariates_SE,DINOv3 + Covariates_N,DINOv3 + Covariates_PR_mean,DINOv3 + Covariates_PR_SE,DXA Tabular + Covariates_mean,DXA Tabular + Covariates_SE,DXA Tabular + Covariates_N,DXA Tabular + Covariates_PR_mean,DXA Tabular + Covariates_PR_SE,P_LeJEPAcov_vs_Cov_raw,P_LeJEPAcov_vs_Cov_adj,P_DINOcov_vs_Cov_raw,P_DINOcov_vs_Cov_adj,P_Tabcov_vs_Cov_raw,P_Tabcov_vs_Cov_adj,P_LeJEPAcov_vs_Tabcov_raw,P_LeJEPAcov_vs_Tabcov_adj,P_LeJEPAcov_vs_DINOcov_raw,P_LeJEPAcov_vs_DINOcov_adj
dis__anemia,1740,25945,0.06706,0.6184,0.0041,10,0.106,0.002,0.6514,0.0041,10,0.1136,0.0019,0.6362,0.0048,10,0.1081,0.0016,0.6341,0.0037,10,0.1045,0.0017,0.001953125,0.00354,0.001953125,0.004046,0.001953125,0.00354,0.001953125,0.008092,0.001953125,0.016183
dis__anxiety,1705,25945,0.06572,0.5866,0.0058,10,0.0935,0.0027,0.6217,0.0034,10,0.1067,0.0021,0.6153,0.004,10,0.0983,0.0018,0.5964,0.0046,10,0.0958,0.0025,0.001953125,0.00354,0.001953125,0.004046,0.013671875,0.020868,0.001953125,0.008092,0.064453125,0.093457
dis__asthma,3544,25945,0.1366,0.5509,0.0036,10,0.1636,0.0022,0.6191,0.0045,10,0.2114,0.0033,0.6186,0.0034,10,0.2179,0.0025,0.5871,0.0031,10,0.1805,0.0021,0.001953125,0.00354,0.001953125,0.004046,0.001953125,0.00354,0.001953125,0.008092,0.375,0.418269
dis__atrial_fibrillation,942,25945,0.03631,0.7131,0.0065,10,0.0878,0.0037,0.7251,0.0054,10,0.1053,0.0039,0.7174,0.007,10,0.1042,0.0055,0.7196,0.0059,10,0.0961,0.0042,0.001953125,0.00354,0.130859375,0.172496,0.01953125,0.02832,0.10546875,0.235276,0.048828125,0.088501
dis__back_pain,4744,25945,0.18285,0.5407,0.0026,10,0.2028,0.0017,0.5876,0.0032,10,0.2365,0.0016,0.5899,0.0037,10,0.2379,0.0026,0.5915,0.0038,10,0.2375,0.0029,0.001953125,0.00354,0.001953125,0.004046,0.001953125,0.00354,0.4921875,0.620584,0.322265625,0.373828
dis__celiac,401,25945,0.01546,0.5679,0.0082,10,0.019,0.0007,0.6296,0.0051,10,0.025,0.0006,0.6589,0.0066,10,0.0302,0.0011,0.6107,0.005,10,0.026,0.0021,0.001953125,0.00354,0.001953125,0.004046,0.001953125,0.00354,0.013671875,0.039648,0.00390625,0.016183
dis__copd,500,25945,0.01927,0.6579,0.0089,10,0.0401,0.0023,0.7608,0.0069,10,0.1011,0.005,0.7647,0.0067,10,0.1071,0.0064,0.73,0.0075,10,0.0745,0.0033,0.001953125,0.00354,0.001953125,0.004046,0.001953125,0.00354,0.001953125,0.008092,0.556640625,0.556641
dis__depression,2818,25945,0.10861,0.6108,0.0037,10,0.1636,0.003,0.6221,0.0029,10,0.1688,0.0023,0.6236,0.0024,10,0.1648,0.0021,0.6184,0.0032,10,0.1668,0.0024,0.00390625,0.006293,0.001953125,0.004046,0.001953125,0.00354,0.16015625,0.331752,0.4921875,0.509766
dis__diabetes,1138,25945,0.04386,0.7256,0.0035,10,0.1166,0.004,0.8399,0.0031,10,0.2697,0.0065,0.8355,0.0025,10,0.2594,0.0053,0.83,0.0025,10,0.2562,0.006,0.001953125,0.00354,0.001953125,0.004046,0.001953125,0.00354,0.00390625,0.012587,0.064453125,0.093457
dis__endometriosis,547,25945,0.02108,0.7918,0.0032,10,0.0549,0.001,0.8021,0.0024,10,0.0616,0.002,0.7843,0.0031,10,0.0567,0.002,0.8024,0.002,10,0.0618,0.001,0.013671875,0.019824,0.037109375,0.063304,0.009765625,0.016659,0.4921875,0.620584,0.00390625,0.016183
